,when,did,the,general,sejm,make,warsaw,it,'s,permanent,seat,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.259066641330719,0.2258434146642685,0.268858402967453,0.22642600536346436,0.5130809545516968,-0.037580832839012146,0.25959497690200806,0.2778983414173126,0.20430970191955566
1529,0.161387100815773,0.12269923090934753,0.17264190316200256,0.1514294445514679,0.28607839345932007,0.050995465368032455,0.2872598171234131,0.14890465140342712,0.029015135020017624,0.12190229445695877,0.1586083471775055,0.17319193482398987
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.3022127151489258,0.21795469522476196,0.324553906917572,0.25300899147987366,0.48329564929008484,-0.0016132977325469255,0.22933200001716614,0.18137462437152863,0.31091248989105225
warsaw,0.1615014374256134,0.1939365565776825,0.23137180507183075,0.13967229425907135,0.43220189213752747,0.12072157114744186,1.0,0.1582006961107254,0.02839025668799877,0.17904946208000183,0.14837482571601868,0.09769917279481888
for,0.43402108550071716,0.318512886762619,0.4739971458911896,0.23497237265110016,0.18089665472507477,0.386745423078537,0.1427849680185318,0.32171204686164856,-0.07241261005401611,0.3345854878425598,0.1597914844751358,0.264628142118454
the,0.5091903209686279,0.34736719727516174,1.0,0.28634732961654663,0.3060725927352905,0.3146495521068573,0.23137180507183075,0.6251175999641418,-0.01540423184633255,0.34165191650390625,0.24530775845050812,0.22068053483963013
first,0.4282494783401489,0.33691170811653137,0.49448907375335693,0.23021191358566284,0.255629301071167,0.24807552993297577,0.19408388435840607,0.3491429388523102,-0.014458609744906425,0.31070181727409363,0.20775261521339417,0.18701928853988647
time,0.4363728165626526,0.3567926585674286,0.43061500787734985,0.2027285099029541,0.1988110989332199,0.2832360565662384,0.1637357622385025,0.3375589847564697,0.01301188487559557,0.24021123349666595,0.13581159710884094,0.27391523122787476
became,0.32363733649253845,0.3632316589355469,0.36325156688690186,0.22311457991600037,0.3190010190010071,0.23902106285095215,0.1935342699289322,0.21312855184078217,0.0067522358149290085,0.1657940149307251,0.21768057346343994,0.11374033987522125
the,0.5091903209686279,0.34736719727516174,1.0,0.28634732961654663,0.3060725927352905,0.3146495521068573,0.23137180507183075,0.6251175999641418,-0.01540423184633255,0.34165191650390625,0.24530775845050812,0.22068053483963013
seat,0.13592976331710815,0.1550004780292511,0.24530775845050812,0.18721497058868408,0.2672843933105469,0.0966724082827568,0.14837482571601868,0.26058685779571533,-0.07323341071605682,0.21098680794239044,1.0,0.06630133837461472
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.28352999687194824,0.28334522247314453,0.2912110388278961,0.19253842532634735,0.38761502504348755,-0.03817026689648628,0.3283363878726959,0.2283020317554474,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.28634732961654663,0.3060725927352905,0.3146495521068573,0.23137180507183075,0.6251175999641418,-0.01540423184633255,0.34165191650390625,0.24530775845050812,0.22068053483963013
general,0.20438088476657867,0.19499315321445465,0.28634732961654663,1.0000001192092896,0.3138797879219055,0.15528690814971924,0.13967229425907135,0.21158641576766968,-0.0757286474108696,0.24080994725227356,0.18721497058868408,0.1972234547138214
sejm,0.2091640830039978,0.20954789221286774,0.3060725927352905,0.3138797879219055,1.0000001192092896,0.19349126517772675,0.43220189213752747,0.19407092034816742,-0.04513292387127876,0.24291573464870453,0.2672843933105469,0.13091540336608887
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.3022127151489258,0.21795469522476196,0.324553906917572,0.25300899147987366,0.48329564929008484,-0.0016132977325469255,0.22933200001716614,0.18137462437152863,0.31091248989105225
permanent,0.28864097595214844,0.17201969027519226,0.34165191650390625,0.24080994725227356,0.24291573464870453,0.24673926830291748,0.17904946208000183,0.25364211201667786,0.029542317613959312,1.0,0.21098680794239044,0.14813289046287537
from,0.405669629573822,0.20248863101005554,0.40150508284568787,0.1645994782447815,0.20748651027679443,0.24641869962215424,0.2396499514579773,0.325604110956192,-0.01936490088701248,0.160145565867424,0.17141884565353394,0.19969791173934937
1569,0.09772887080907822,0.20153585076332092,0.050744492560625076,0.02767428383231163,0.2507774829864502,0.07111640274524689,0.14499592781066895,0.038595009595155716,0.0068958415649831295,0.08000044524669647,0.014046534895896912,-0.07669907808303833
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2929490804672241,0.2066882699728012,0.3547073304653168,0.26825499534606934,0.5593622326850891,-0.003708066651597619,0.24822813272476196,0.20119667053222656,0.4130953550338745
