,what,is,negatively,correlated,to,the,duration,of,economic,growth,?
according,0.2776208221912384,0.2838992476463318,0.11917239427566528,0.3056027293205261,0.28520727157592773,0.3202974498271942,0.09256623685359955,0.3307822346687317,0.22461046278476715,0.19464433193206787,0.21173474192619324
to,0.455847829580307,0.42745086550712585,0.2795628011226654,0.2574850916862488,1.0,0.535392165184021,0.2971265912055969,0.41548454761505127,0.26856908202171326,0.2701800763607025,0.29463258385658264
international,0.10870302468538284,0.19279639422893524,0.056770164519548416,0.11575668305158615,0.21173149347305298,0.23719607293605804,0.12344750016927719,0.23367412388324738,0.2949925363063812,0.13063716888427734,0.15335838496685028
monetary,0.21370409429073334,0.16264118254184723,0.14654196798801422,0.20270687341690063,0.24340187013149261,0.25381726026535034,0.18384501338005066,0.24208438396453857,0.5121512413024902,0.28059327602386475,0.12205808609724045
fund,0.14864346385002136,0.16683584451675415,0.06558185070753098,0.10813713818788528,0.23214511573314667,0.25521403551101685,0.17765581607818604,0.27318620681762695,0.35767433047294617,0.2731309235095978,0.1883198469877243
economists,0.26094529032707214,0.2185990959405899,0.22445279359817505,0.24840791523456573,0.2734855115413666,0.20146530866622925,0.18193751573562622,0.18642286956310272,0.7023411989212036,0.3469206392765045,0.1671878695487976
",",0.3087472915649414,0.4691906273365021,0.21592773497104645,0.24111363291740417,0.44245919585227966,0.4933079481124878,0.19844533503055573,0.4946078956127167,0.2340485155582428,0.2218456119298935,0.31091248989105225
inequality,0.30072227120399475,0.1953488290309906,0.32982686161994934,0.3610312342643738,0.24361056089401245,0.23508106172084808,0.2612477242946625,0.27910974621772766,0.4401332437992096,0.3248327970504761,0.23619021475315094
in,0.30808621644973755,0.5394441485404968,0.21876925230026245,0.23095965385437012,0.45010748505592346,0.6662389636039734,0.20128466188907623,0.5696388483047485,0.22027181088924408,0.2819603681564331,0.20430970191955566
wealth,0.2415573000907898,0.19482117891311646,0.1542367786169052,0.1305524706840515,0.30562296509742737,0.24999672174453735,0.08295638114213943,0.27235376834869385,0.4711625576019287,0.3748585283756256,0.1624586433172226
and,0.31309178471565247,0.3859752118587494,0.266083300113678,0.21611110866069794,0.48971283435821533,0.5171257257461548,0.20523762702941895,0.5116966962814331,0.2707010805606842,0.2731747627258301,0.20544172823429108
income,0.21837803721427917,0.14559021592140198,0.20884791016578674,0.2644977569580078,0.27188464999198914,0.23699946701526642,0.1997343748807907,0.2581324577331543,0.408316433429718,0.37261080741882324,0.14935168623924255
is,0.28837618231773376,1.0,0.24294693768024445,0.25799962878227234,0.42745086550712585,0.5823672413825989,0.19252122938632965,0.4854315221309662,0.21102669835090637,0.2256266176700592,0.22961433231830597
negatively,0.23769304156303406,0.24294693768024445,0.9999999403953552,0.3463774025440216,0.2795628011226654,0.2790641486644745,0.23125462234020233,0.18762752413749695,0.18638533353805542,0.2923332452774048,0.11435684561729431
correlated,0.276222825050354,0.25799962878227234,0.3463774025440216,1.0,0.2574850916862488,0.2541837692260742,0.3063669800758362,0.24420642852783203,0.17818936705589294,0.21406449377536774,0.21943213045597076
