,what,is,used,to,figure,the,relative,strengh,of,gravity,?
this,0.5489566326141357,0.480927973985672,0.3996967375278473,0.5759071707725525,0.19691656529903412,0.6274310946464539,0.28579673171043396,0.2742590010166168,0.45148900151252747,0.3038611114025116,0.3155723512172699
constant,0.22559526562690735,0.1972285658121109,0.2370898425579071,0.26379308104515076,0.12627971172332764,0.2037150114774704,0.4503496587276459,0.2144126296043396,0.25393494963645935,0.34506893157958984,0.14516431093215942
has,0.20338068902492523,0.5668748617172241,0.23367926478385925,0.3619994819164276,0.18531917035579681,0.4177538752555847,0.17383745312690735,0.1617191880941391,0.3909035325050354,0.16565106809139252,0.15994466841220856
come,0.39461299777030945,0.25866594910621643,0.30629512667655945,0.4297197163105011,0.19006143510341644,0.36020293831825256,0.16346517205238342,0.1816883385181427,0.3194141983985901,0.12434022128582001,0.22318024933338165
to,0.455847829580307,0.42745086550712585,0.40058770775794983,1.0,0.24264496564865112,0.535392165184021,0.283727765083313,0.29883819818496704,0.41548454761505127,0.23946231603622437,0.29463258385658264
be,0.3929833769798279,0.4819129705429077,0.3731876611709595,0.4972836375236511,0.24658392369747162,0.4248143136501312,0.2004498690366745,0.23387907445430756,0.33904364705085754,0.2208719402551651,0.3324260413646698
known,0.20381177961826324,0.41921812295913696,0.37155357003211975,0.14337651431560516,0.16886009275913239,0.3624623417854309,0.19171036779880524,0.1453086882829666,0.35814476013183594,0.1486613005399704,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.35160550475120544,0.42092081904411316,0.21703843772411346,0.48381632566452026,0.21516168117523193,0.26017093658447266,0.3886612355709076,0.1831320971250534,0.27043893933296204
newton,0.20841743052005768,0.21921560168266296,0.1013568639755249,0.2176830768585205,0.13528840243816376,0.1876603662967682,0.2467290312051773,0.1772146075963974,0.18479612469673157,0.4363662898540497,0.09645649790763855
's,0.02692362666130066,0.02396530658006668,0.00600846204906702,0.03782717138528824,0.03818259760737419,-0.01540423184633255,-0.023081103339791298,0.057711631059646606,-0.03817026689648628,-0.012237312272191048,-0.023395681753754616
universal,0.20640362799167633,0.21581314504146576,0.1783631443977356,0.19006553292274475,0.11402548104524612,0.2359178364276886,0.2753334641456604,0.15705808997154236,0.20601727068424225,0.27375394105911255,0.2074412703514099
gravitation,0.2342090904712677,0.1929575800895691,0.15602914988994598,0.24520020186901093,0.1754477322101593,0.2239520251750946,0.4378119111061096,0.23089124262332916,0.20778346061706543,0.8235061764717102,0.1806045025587082
constant,0.22559526562690735,0.1972285658121109,0.2370898425579071,0.26379308104515076,0.12627971172332764,0.2037150114774704,0.4503496587276459,0.2144126296043396,0.25393494963645935,0.34506893157958984,0.14516431093215942
",",0.3087472915649414,0.4691906273365021,0.3120402991771698,0.44245919585227966,0.2352312207221985,0.4933079481124878,0.21147610247135162,0.3180902600288391,0.4946078956127167,0.18731217086315155,0.31091248989105225
though,0.4089210331439972,0.3265945613384247,0.34601661562919617,0.46191829442977905,0.2137475162744522,0.38776206970214844,0.2829560935497284,0.3041079044342041,0.37307101488113403,0.1805570423603058,0.3188856542110443
its,0.30393704771995544,0.4447362422943115,0.294392853975296,0.3691340684890747,0.15372097492218018,0.559237003326416,0.3119931221008301,0.2287621647119522,0.48690423369407654,0.24488481879234314,0.15103481709957123
value,0.24056871235370636,0.22550974786281586,0.23343084752559662,0.23921877145767212,0.18942891061306,0.16908381879329681,0.3026885688304901,0.1391359120607376,0.14933855831623077,0.2147272378206253,0.23920650780200958
was,0.22111038863658905,0.5810302495956421,0.23679393529891968,0.3636345863342285,0.2638653516769409,0.48711544275283813,0.12899231910705566,0.27758464217185974,0.4069072902202606,0.15787701308727264,0.18412111699581146
unknown,0.2441980093717575,0.2287159115076065,0.179324209690094,0.2203521579504013,0.16707703471183777,0.23777544498443604,0.23953090608119965,0.21807174384593964,0.2853793799877167,0.17053870856761932,0.22083927690982819
in,0.30808621644973755,0.5394441485404968,0.3090210556983948,0.45010748505592346,0.17097173631191254,0.6662389636039734,0.19146351516246796,0.2637273967266083,0.5696388483047485,0.17083178460597992,0.20430970191955566
newton,0.20841743052005768,0.21921560168266296,0.1013568639755249,0.2176830768585205,0.13528840243816376,0.1876603662967682,0.2467290312051773,0.1772146075963974,0.18479612469673157,0.4363662898540497,0.09645649790763855
's,0.02692362666130066,0.02396530658006668,0.00600846204906702,0.03782717138528824,0.03818259760737419,-0.01540423184633255,-0.023081103339791298,0.057711631059646606,-0.03817026689648628,-0.012237312272191048,-0.023395681753754616
lifetime,0.19307348132133484,0.1807953268289566,0.160828098654747,0.21264873445034027,0.10559263825416565,0.23827359080314636,0.20734572410583496,0.21945559978485107,0.21739114820957184,0.16957291960716248,0.15465202927589417
.,0.3567904531955719,0.4569662809371948,0.33111312985420227,0.4645031690597534,0.24939633905887604,0.5934505462646484,0.21581801772117615,0.2821159362792969,0.5352458953857422,0.19336320459842682,0.4130953550338745
,what,is,used,to,figure,the,relative,strengh,of,gravity,?
in,0.30808621644973755,0.5394441485404968,0.3090210556983948,0.45010748505592346,0.17097173631191254,0.6662389636039734,0.19146351516246796,0.2637273967266083,0.5696388483047485,0.17083178460597992,0.20430970191955566
