,besides,combustion,",",for,what,other,action,did,mayow,show,nitroaereus,responsible,?
from,0.30681347846984863,0.24656102061271667,0.39760664105415344,0.314039945602417,0.2737620174884796,0.30141791701316833,0.14448009431362152,0.20248863101005554,0.23391489684581757,0.2004580795764923,0.2686932384967804,0.23926092684268951,0.19969791173934937
this,0.33461904525756836,0.3247292935848236,0.4316047728061676,0.5082864165306091,0.5489566326141357,0.43044695258140564,0.33745744824409485,0.3609912693500519,0.18337415158748627,0.30299413204193115,0.30699047446250916,0.29961061477661133,0.3155723512172699
he,0.2798825204372406,0.20285411179065704,0.40251094102859497,0.4540175199508667,0.3114890456199646,0.24213658273220062,0.2214130014181137,0.3292143940925598,0.17773355543613434,0.23024743795394897,0.27052071690559387,0.24089227616786957,0.2089974731206894
surmised,0.23963353037834167,0.2104485034942627,0.3047727346420288,0.21219351887702942,0.25697532296180725,0.18402358889579773,0.14615219831466675,0.3729959726333618,0.2221234291791916,0.15797540545463562,0.26449987292289734,0.30479589104652405,0.1541697382926941
that,0.4139655530452728,0.30958232283592224,0.4137537479400635,0.4137635827064514,0.6297725439071655,0.5570666193962097,0.29577216506004333,0.47518548369407654,0.17556115984916687,0.3486354649066925,0.3148280382156372,0.3398503065109253,0.32716336846351624
nitroaereus,0.15999481081962585,0.46370580792427063,0.3335581421852112,0.21193578839302063,0.2122950553894043,0.2911912202835083,0.24169917404651642,0.2013114094734192,0.26818013191223145,0.1668902486562729,1.0,0.2350742220878601,0.17964670062065125
is,0.36560124158859253,0.27011600136756897,0.4691906273365021,0.43268078565597534,0.28837618231773376,0.25895947217941284,0.20976395905017853,0.19247472286224365,0.2678392827510834,0.2144283652305603,0.25135645270347595,0.24123810231685638,0.22961433231830597
consumed,0.1639917939901352,0.3906692564487457,0.2063416838645935,0.22928953170776367,0.20357352495193481,0.28885555267333984,0.13380174338817596,0.22811941802501678,0.23374208807945251,0.1656211018562317,0.2990402579307556,0.34074586629867554,0.2024012953042984
in,0.3447916507720947,0.2270977944135666,0.5201468467712402,0.4322226941585541,0.30808621644973755,0.39989137649536133,0.22362500429153442,0.2593238651752472,0.29630300402641296,0.27595704793930054,0.25901925563812256,0.24309778213500977,0.20430970191955566
both,0.3848419487476349,0.2529316544532776,0.38080528378486633,0.3887220323085785,0.3361809551715851,0.48922300338745117,0.20101843774318695,0.34255191683769226,0.145828977227211,0.23658600449562073,0.25694623589515686,0.24053938686847687,0.19455738365650177
respiration,0.18841949105262756,0.46052151918411255,0.2987004220485687,0.27999183535575867,0.23671798408031464,0.2750990688800812,0.24429482221603394,0.1506333202123642,0.20682470500469208,0.17889882624149323,0.38338157534599304,0.30693280696868896,0.17575538158416748
and,0.3610946238040924,0.21818570792675018,0.6633074283599854,0.5064792633056641,0.31309178471565247,0.5504306554794312,0.25631651282310486,0.34479495882987976,0.27448758482933044,0.3455478549003601,0.2816542387008667,0.29945531487464905,0.20544172823429108
combustion,0.2251022309064865,1.0,0.2079315334558487,0.23782002925872803,0.2678600549697876,0.21739889681339264,0.2865407168865204,0.19428817927837372,0.16323989629745483,0.13679590821266174,0.46370580792427063,0.29959312081336975,0.2177530825138092
.,0.28636154532432556,0.2124136984348297,0.6812511086463928,0.4726039469242096,0.3567904531955719,0.41511186957359314,0.2625104486942291,0.35288307070732117,0.3014738857746124,0.3016606271266937,0.33533892035484314,0.2309054434299469,0.4130953550338745
