,who,donated,rodin,'s,works,to,the,v,&,a,?
rodin,0.24316765367984772,0.2668737769126892,1.0,0.07818061113357544,0.2773949205875397,0.1395432949066162,0.22058722376823425,0.160962775349617,0.0835583359003067,0.24107733368873596,0.2113768309354782
is,0.24293622374534607,0.188657745718956,0.1474413424730301,0.02396530658006668,0.30236580967903137,0.42745086550712585,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.22961433231830597
represented,0.17065028846263885,0.18903802335262299,0.16870157420635223,0.09158138185739517,0.15046696364879608,0.18846964836120605,0.3256146013736725,0.13714782893657684,0.07141020148992538,0.3039659857749939,0.11276352405548096
by,0.39727845788002014,0.24880395829677582,0.17763222754001617,-0.010884488001465797,0.2887086570262909,0.33534231781959534,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,0.17966607213020325
more,0.31567877531051636,0.2209550440311432,0.16810345649719238,0.032942235469818115,0.16768498718738556,0.47084665298461914,0.39758381247520447,0.12196233123540878,0.0793071761727333,0.3452818691730499,0.27894994616508484
than,0.24983921647071838,0.17567910254001617,0.14158867299556732,0.0585811510682106,0.1739061176776886,0.3192550539970398,0.3227543234825134,0.10344221442937851,0.07854517549276352,0.3126874566078186,0.24917294085025787
20,0.01726163923740387,-0.006860785651952028,0.09725194424390793,-0.016651324927806854,0.006432646419852972,-0.018198585137724876,-0.06418957561254501,-0.02702777087688446,0.03732403367757797,-0.014937898144125938,0.11360422521829605
works,0.2919859290122986,0.2451373040676117,0.2773949205875397,0.04286740720272064,1.0,0.22564561665058136,0.26337864995002747,0.1258377879858017,0.12323866784572601,0.2170431762933731,0.19597402215003967
in,0.2792111933231354,0.2671816647052765,0.22827556729316711,-0.037580832839012146,0.2656683027744293,0.45010748505592346,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.20430970191955566
the,0.3733934462070465,0.24606364965438843,0.22058722376823425,-0.01540423184633255,0.26337864995002747,0.535392165184021,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
museum,0.14649315178394318,0.32454055547714233,0.2495928704738617,-0.011753248050808907,0.2308025360107422,0.1640389859676361,0.24861779808998108,0.07561434060335159,0.18110838532447815,0.14725451171398163,0.14128351211547852
collection,0.11647152900695801,0.3425122797489166,0.277570903301239,0.003388406243175268,0.3417747914791107,0.15417452156543732,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.20069393515586853
",",0.3365725874900818,0.2569865584373474,0.20436488091945648,-0.0016132977325469255,0.29211118817329407,0.44245919585227966,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
making,0.2312910407781601,0.1505230814218521,0.13563117384910583,0.043641600757837296,0.25493043661117554,0.3740498423576355,0.35185980796813965,0.13766321539878845,0.17952188849449158,0.3237393796443939,0.2539324164390564
it,0.2868398427963257,0.2015414535999298,0.17293275892734528,0.06608816236257553,0.24762499332427979,0.513711154460907,0.6251175999641418,0.1784781813621521,0.08886928111314774,0.5452592968940735,0.25732165575027466
one,0.40083858370780945,0.260626882314682,0.19993633031845093,0.06913424283266068,0.2639932632446289,0.4025384783744812,0.5514441132545471,0.1586812287569046,0.0723944678902626,0.4910551905632019,0.2673267424106598
of,0.2827862501144409,0.27521181106567383,0.2017039805650711,-0.03817026689648628,0.1964656114578247,0.41548454761505127,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
the,0.3733934462070465,0.24606364965438843,0.22058722376823425,-0.01540423184633255,0.26337864995002747,0.535392165184021,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
largest,0.12422340363264084,0.21918150782585144,0.05051018297672272,-0.02050611935555935,0.06166195496916771,0.18687231838703156,0.3757036626338959,0.06051240116357803,0.13004033267498016,0.24042341113090515,0.12401245534420013
collections,0.16047273576259613,0.38007301092147827,0.3132130801677704,0.006817140616476536,0.3803873360157013,0.18565168976783752,0.27174001932144165,0.09366906434297562,0.163213849067688,0.2494979351758957,0.1873358190059662
of,0.2827862501144409,0.27521181106567383,0.2017039805650711,-0.03817026689648628,0.1964656114578247,0.41548454761505127,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
the,0.3733934462070465,0.24606364965438843,0.22058722376823425,-0.01540423184633255,0.26337864995002747,0.535392165184021,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
sculptor,0.24923312664031982,0.29470720887184143,0.46118688583374023,0.026073001325130463,0.2459132820367813,0.14069709181785583,0.11254248023033142,0.169610857963562,0.03806489333510399,0.17305271327495575,0.13014136254787445
's,0.05599616840481758,-0.09636961668729782,0.07818061113357544,0.9999999403953552,0.04286740720272064,0.03782717138528824,-0.01540423184633255,-0.008823617361485958,-0.02038128487765789,0.04866964742541313,-0.023395681753754616
work,0.3146236836910248,0.28997480869293213,0.24164479970932007,-0.03332063928246498,0.6060804724693298,0.3482864499092102,0.2704800069332123,0.08781450986862183,0.06640969961881638,0.266241192817688,0.2621155381202698
outside,0.2768247425556183,0.1934252381324768,0.18671123683452606,-0.10228612273931503,0.17843855917453766,0.3292369544506073,0.3879719078540802,0.13446339964866638,0.05394068732857704,0.3113526403903961,0.14839068055152893
france,0.18489117920398712,0.20053333044052124,0.27480971813201904,0.024341266602277756,0.1362081617116928,0.2670897841453552,0.35517507791519165,0.1773144006729126,0.06989613175392151,0.24802380800247192,0.15069349110126495
