,when,was,the,russian,policy,``,indigenization,'',defunded,?
never,0.47350817918777466,0.3237079679965973,0.31617826223373413,0.14907574653625488,0.23658983409404755,0.06114619970321655,0.20272478461265564,-0.05205878987908363,0.21345658600330353,0.24137508869171143
formally,0.33162298798561096,0.3541161119937897,0.3323594629764557,0.17793312668800354,0.2841600179672241,0.10147066414356232,0.26981690526008606,0.03383606672286987,0.26748397946357727,0.1371411830186844
revoked,0.24411892890930176,0.3130394220352173,0.23460568487644196,0.13312146067619324,0.3360852003097534,0.10545113682746887,0.2298901081085205,0.029321283102035522,0.29108062386512756,0.2312554121017456
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.27755245566368103,0.2903050184249878,0.09681109338998795,0.28246134519577026,-0.037358131259679794,0.2792084515094757,0.31091248989105225
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.13869339227676392,0.2245468944311142,0.035206809639930725,0.24493585526943207,-0.016964951530098915,0.23878879845142365,0.25732165575027466
stopped,0.3689380884170532,0.3721243143081665,0.3206433951854706,0.13078568875789642,0.20219840109348297,-0.016416726633906364,0.18382613360881805,-0.051158979535102844,0.3251548707485199,0.15542519092559814
being,0.47212454676628113,0.5201660394668579,0.419739305973053,0.16401267051696777,0.24744142591953278,0.0027407517191022635,0.3153519034385681,-0.015289289876818657,0.28281694650650024,0.26743772625923157
implemented,0.18455222249031067,0.2312583029270172,0.21611113846302032,0.16771948337554932,0.38293883204460144,0.05705977603793144,0.24622192978858948,0.020878497511148453,0.31399622559547424,0.27067989110946655
after,0.5331412553787231,0.49306565523147583,0.4565047025680542,0.1469416618347168,0.1468489021062851,0.040442656725645065,0.24068862199783325,-0.08605624735355377,0.2531922459602356,0.16608688235282898
1932,0.09567795693874359,0.032067395746707916,0.13905753195285797,-0.05762321129441261,-0.0810583084821701,-0.07904133945703506,-0.0025250979233533144,-0.03156379982829094,-0.0061342427507042885,-0.1809951514005661
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.24834594130516052,0.25152966380119324,0.05720457062125206,0.27897560596466064,-0.07181349396705627,0.24562451243400574,0.4130953550338745
