,what,is,the,name,of,the,spiritual,teacher,in,hinduism,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.1903325319290161,0.22632350027561188,1.0,0.17516174912452698,0.20430970191955566
hinduism,0.24855244159698486,0.22179758548736572,0.22394193708896637,0.17955927550792694,0.2689528167247772,0.22394193708896637,0.513893187046051,0.24854998290538788,0.17516174912452698,0.9999999403953552,0.20113490521907806
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.2149372547864914,0.17760860919952393,0.6662389636039734,0.22394193708896637,0.22068053483963013
spiritual,0.2431802898645401,0.1757679283618927,0.2149372547864914,0.08161307871341705,0.3108343183994293,0.2149372547864914,1.0,0.36543601751327515,0.1903325319290161,0.513893187046051,0.1801415979862213
teacher,0.20492632687091827,0.2001669555902481,0.17760860919952393,0.12208614498376846,0.19968076050281525,0.17760860919952393,0.36543601751327515,0.9999998807907104,0.22632350027561188,0.24854998290538788,0.1797819435596466
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.1757679283618927,0.2001669555902481,0.5394441485404968,0.22179758548736572,0.22961433231830597
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.3659360110759735,0.35814476013183594,0.3624623417854309,0.2216203510761261,0.18960948288440704,0.32641831040382385,0.16695617139339447,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.21052664518356323,0.27420735359191895,0.3887844979763031,0.2496146708726883,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.2160448133945465,0.31202319264411926,0.539380669593811,0.22051185369491577,0.23916715383529663
guru,0.20961421728134155,0.18819421529769897,0.14288440346717834,0.1501377522945404,0.14324283599853516,0.14288440346717834,0.5178609490394592,0.4242522418498993,0.1448073834180832,0.5285720825195312,0.16716228425502777
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2115405946969986,0.2884024977684021,0.5201468467712402,0.26215988397598267,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.2498117983341217,0.27571162581443787,0.4954058527946472,0.2290825992822647,0.20544172823429108
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2115405946969986,0.2884024977684021,0.5201468467712402,0.26215988397598267,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.1903325319290161,0.22632350027561188,1.0,0.17516174912452698,0.20430970191955566
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.206878662109375,0.37253960967063904,0.4335206151008606,0.23598726093769073,0.16581547260284424,0.41474202275276184,0.2494654357433319,0.2124512493610382
traditions,0.253129243850708,0.2456929087638855,0.26193809509277344,0.17325782775878906,0.2921203374862671,0.26193809509277344,0.4124178886413574,0.23031777143478394,0.251825749874115,0.41413286328315735,0.18007412552833557
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.3108343183994293,0.19968076050281525,0.5696388483047485,0.2689528167247772,0.1826142966747284
hinduism,0.24855244159698486,0.22179758548736572,0.22394193708896637,0.17955927550792694,0.2689528167247772,0.22394193708896637,0.513893187046051,0.24854998290538788,0.17516174912452698,0.9999999403953552,0.20113490521907806
-,0.13380742073059082,0.30179503560066223,0.3207225501537323,0.21760711073875427,0.2919245660305023,0.3207225501537323,0.09073083102703094,0.16703516244888306,0.2593633532524109,0.10627556592226028,0.3336010277271271
especially,0.3590192496776581,0.32683345675468445,0.39420849084854126,0.0910840705037117,0.37220633029937744,0.39420849084854126,0.19770634174346924,0.22534964978694916,0.3526567816734314,0.2199689745903015,0.19751401245594025
those,0.44466671347618103,0.2352088838815689,0.42861196398735046,0.10832960903644562,0.37935635447502136,0.42861196398735046,0.2515328824520111,0.11065024882555008,0.3419301211833954,0.23636086285114288,0.3328189253807068
common,0.19989867508411407,0.2952355444431305,0.2705984115600586,0.21047087013721466,0.2949881851673126,0.2705984115600586,0.14830952882766724,0.11169279366731644,0.23149342834949493,0.18964101374149323,0.20434872806072235
