,how,did,celeron,handle,meeting,with,old,briton,?
céloron,0.17692279815673828,0.14053545892238617,0.4971884787082672,0.18122634291648865,0.19071325659751892,0.2568354606628418,0.2073020190000534,0.15736329555511475,0.21622054278850555
threatened,0.15536727011203766,0.2603054344654083,0.05503377318382263,0.15836066007614136,0.1561887115240097,0.20986543595790863,0.14552786946296692,0.15287943184375763,0.1536843329668045
``,-0.01591024175286293,-0.029888948425650597,-0.012746859341859818,0.1677621603012085,0.030480898916721344,0.08974023163318634,-0.007611577399075031,-0.0031709489412605762,0.0685480609536171
old,0.1789429783821106,0.19123899936676025,0.10062909126281738,0.10401497036218643,0.1300840675830841,0.20720098912715912,1.0000001192092896,0.14478011429309845,0.20577076077461243
briton,0.17628778517246246,0.24976219236850739,0.17804303765296936,0.08742735534906387,0.12452513724565506,0.17734311521053314,0.14478011429309845,0.9999998807907104,0.19319112598896027
'',-0.0029843549709767103,0.01978493109345436,0.013078061863780022,0.02567134238779545,-0.0449235700070858,0.07907696813344955,0.010903947055339813,-8.798392809694633e-05,0.018684765323996544
with,0.3525622487068176,0.25472134351730347,0.2736569046974182,0.312188059091568,0.23396071791648865,0.9999999403953552,0.20720098912715912,0.17734311521053314,0.2433311939239502
severe,0.17009040713310242,0.19491122663021088,0.008648647926747799,0.21220535039901733,0.07442247122526169,0.25497084856033325,0.1765669733285904,0.14677299559116364,0.19589418172836304
consequences,0.3759676516056061,0.245727077126503,0.08380837738513947,0.2081914246082306,0.14760035276412964,0.22642193734645844,0.09992735832929611,0.20510341227054596,0.2676798105239868
if,0.4917012155056,0.3197491765022278,0.10503099113702774,0.3814866542816162,0.16846928000450134,0.34021785855293274,0.20183740556240082,0.17281141877174377,0.4441644251346588
he,0.2594625651836395,0.3292143940925598,0.18588118255138397,0.09978359192609787,0.26579123735427856,0.2845253646373749,0.29039672017097473,0.26694467663764954,0.2089974731206894
continued,0.18852750957012177,0.4863187372684479,0.07606130093336105,0.0462801456451416,0.14591190218925476,0.1984824389219284,0.17985102534294128,0.24029378592967987,0.10404038429260254
to,0.44169697165489197,0.4452643394470215,0.22752350568771362,0.30356109142303467,0.2453547865152359,0.4239959120750427,0.2412436157464981,0.2311343103647232,0.29463258385658264
trade,0.22247354686260223,0.16199031472206116,0.10463004559278488,0.21048621833324432,0.271624356508255,0.2465960830450058,0.13242246210575104,0.14801350235939026,0.09336511790752411
with,0.3525622487068176,0.25472134351730347,0.2736569046974182,0.312188059091568,0.23396071791648865,0.9999999403953552,0.20720098912715912,0.17734311521053314,0.2433311939239502
the,0.33890387415885925,0.34736719727516174,0.2833483815193176,0.23661735653877258,0.3390691578388214,0.4223487675189972,0.31849798560142517,0.24138320982456207,0.22068053483963013
