,hormones,can,alter,the,sensitivity,of,the,immune,system,",",so,they,can,be,referred,to,as,what,?
hormones,1.0,0.2995544970035553,0.21688172221183777,0.2688761353492737,0.42507126927375793,0.23877643048763275,0.2688761353492737,0.460243821144104,0.3152490556240082,0.20446665585041046,0.2761937975883484,0.35706064105033875,0.2995544970035553,0.23348462581634521,0.06192633509635925,0.25030994415283203,0.22467833757400513,0.23283596336841583,0.17588594555854797
can,0.2995544970035553,1.0,0.2536076605319977,0.312528520822525,0.38309115171432495,0.2603091299533844,0.312528520822525,0.2696937620639801,0.25937724113464355,0.3139454126358032,0.5134525895118713,0.47909218072891235,1.0,0.5791122913360596,0.18392983078956604,0.4979398250579834,0.3245031237602234,0.34502777457237244,0.3226337134838104
act,0.2733234763145447,0.24270500242710114,0.20637816190719604,0.28682878613471985,0.2504320740699768,0.2802577316761017,0.28682878613471985,0.16497139632701874,0.22195035219192505,0.1787904053926468,0.24864794313907623,0.27907612919807434,0.24270500242710114,0.29223379492759705,0.14740535616874695,0.24833928048610687,0.2497578263282776,0.2622668445110321,0.1482519507408142
as,0.22467833757400513,0.3245031237602234,0.2623257339000702,0.48381632566452026,0.2295464128255844,0.3886612355709076,0.48381632566452026,0.17487213015556335,0.1973835676908493,0.48816442489624023,0.4399555027484894,0.3294360637664795,0.3245031237602234,0.5230465531349182,0.37252211570739746,0.42092081904411316,1.0,0.31749409437179565,0.27043893933296204
immunomodulators,0.5370136499404907,0.3732166290283203,0.2786749303340912,0.2675628960132599,0.46589961647987366,0.2126888781785965,0.2675628960132599,0.6490476727485657,0.44568899273872375,0.24546398222446442,0.31511563062667847,0.3858993947505951,0.3732166290283203,0.31867551803588867,0.14871183037757874,0.25843942165374756,0.20658105611801147,0.2546605169773102,0.1763046681880951
",",0.20446665585041046,0.3139454126358032,0.21998628973960876,0.4933079481124878,0.19101160764694214,0.4946078956127167,0.4933079481124878,0.15102852880954742,0.18439900875091553,1.0000001192092896,0.3716299831867218,0.390799880027771,0.3139454126358032,0.39254459738731384,0.2511569857597351,0.44245919585227966,0.48816442489624023,0.3087472915649414,0.31091248989105225
altering,0.31038302183151245,0.34197360277175903,0.6892369389533997,0.3527171015739441,0.35937565565109253,0.33697110414505005,0.3527171015739441,0.2983107268810272,0.26759639382362366,0.2700216472148895,0.3797285854816437,0.22612988948822021,0.34197360277175903,0.3654903173446655,0.21032793819904327,0.31267061829566956,0.32138708233833313,0.3310753107070923,0.2441830039024353
the,0.2688761353492737,0.312528520822525,0.2655624747276306,1.0,0.215410053730011,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.4933079481124878,0.4296516180038452,0.49925389885902405,0.312528520822525,0.4248143136501312,0.3088674545288086,0.535392165184021,0.48381632566452026,0.42745697498321533,0.22068053483963013
sensitivity,0.42507126927375793,0.38309115171432495,0.25373196601867676,0.215410053730011,0.9999998807907104,0.19505420327186584,0.215410053730011,0.33598169684410095,0.27769920229911804,0.19101160764694214,0.29710206389427185,0.2623324394226074,0.38309115171432495,0.2982315421104431,0.12516598403453827,0.22600603103637695,0.2295464128255844,0.2732512652873993,0.2218012660741806
of,0.23877643048763275,0.2603091299533844,0.2027089148759842,0.733189046382904,0.19505420327186584,1.0,0.733189046382904,0.16620753705501556,0.25597915053367615,0.4946078956127167,0.3184450566768646,0.3426007330417633,0.2603091299533844,0.33904364705085754,0.317892849445343,0.41548454761505127,0.3886612355709076,0.33290785551071167,0.1826142966747284
the,0.2688761353492737,0.312528520822525,0.2655624747276306,1.0,0.215410053730011,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.4933079481124878,0.4296516180038452,0.49925389885902405,0.312528520822525,0.4248143136501312,0.3088674545288086,0.535392165184021,0.48381632566452026,0.42745697498321533,0.22068053483963013
immune,0.460243821144104,0.2696937620639801,0.20160560309886932,0.21364226937294006,0.33598169684410095,0.16620753705501556,0.21364226937294006,1.0,0.3962631821632385,0.15102852880954742,0.24819941818714142,0.29530614614486694,0.2696937620639801,0.24360142648220062,0.05364510044455528,0.2541976273059845,0.17487213015556335,0.2410416603088379,0.16080476343631744
system,0.3152490556240082,0.25937724113464355,0.1603192538022995,0.3233085572719574,0.27769920229911804,0.25597915053367615,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.18439900875091553,0.24754561483860016,0.24734781682491302,0.25937724113464355,0.24878063797950745,0.08864474296569824,0.26662686467170715,0.1973835676908493,0.23557309806346893,0.15556083619594574
.,0.2792101502418518,0.35783761739730835,0.2393943816423416,0.5934505462646484,0.19709371030330658,0.5352458953857422,0.5934505462646484,0.18267881870269775,0.2277725487947464,0.6812511086463928,0.45412498712539673,0.4510921239852905,0.35783761739730835,0.4383580684661865,0.16569985449314117,0.4645031690597534,0.515582263469696,0.3567904531955719,0.4130953550338745
