,what,are,three,kinds,of,phagocytes,?
the,0.42745697498321533,0.40399202704429626,0.43452659249305725,0.24529235064983368,0.733189046382904,0.18778933584690094,0.22068053483963013
innate,0.2683543860912323,0.2676650285720825,0.15192706882953644,0.29377034306526184,0.255485475063324,0.5581464767456055,0.16386382281780243
leukocytes,0.19061218202114105,0.37580686807632446,0.2292393445968628,0.33061274886131287,0.27625513076782227,0.8899680376052856,0.18717224895954132
include,0.1535889357328415,0.5140694975852966,0.20405615866184235,0.3846867084503174,0.37431180477142334,0.1965981125831604,0.14925788342952728
the,0.42745697498321533,0.40399202704429626,0.43452659249305725,0.24529235064983368,0.733189046382904,0.18778933584690094,0.22068053483963013
phagocytes,0.2258819192647934,0.3706930875778198,0.18760819733142853,0.32641056180000305,0.17896294593811035,0.9999999403953552,0.21603655815124512
(,0.2411840260028839,0.23263892531394958,0.2272176295518875,0.1304299384355545,0.35032153129577637,0.20227107405662537,0.40561532974243164
macrophages,0.19924452900886536,0.28890976309776306,0.19278796017169952,0.33622822165489197,0.20691213011741638,0.7610270380973816,0.1323275864124298
",",0.3087472915649414,0.4062570035457611,0.3347506821155548,0.25084736943244934,0.4946078956127167,0.20911818742752075,0.31091248989105225
neutrophils,0.15195876359939575,0.32790884375572205,0.23701228201389313,0.321247398853302,0.207316592335701,0.7252756953239441,0.1422376185655594
",",0.3087472915649414,0.4062570035457611,0.3347506821155548,0.25084736943244934,0.4946078956127167,0.20911818742752075,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.3826501965522766,0.32501107454299927,0.5116966962814331,0.23138023912906647,0.20544172823429108
dendritic,0.21291865408420563,0.26048845052719116,0.15543730556964874,0.2768354117870331,0.21598482131958008,0.6654239892959595,0.16278338432312012
cells,0.1758001297712326,0.2908284366130829,0.1782200038433075,0.2667614221572876,0.21305565536022186,0.7345613837242126,0.1898086667060852
),0.26259949803352356,0.2373749315738678,0.2493964433670044,0.12724360823631287,0.3680361211299896,0.18641716241836548,0.42300865054130554
",",0.3087472915649414,0.4062570035457611,0.3347506821155548,0.25084736943244934,0.4946078956127167,0.20911818742752075,0.31091248989105225
mast,0.11500950157642365,0.1972760707139969,0.21670682728290558,0.13744525611400604,0.18360409140586853,0.3369496464729309,0.08483324199914932
cells,0.1758001297712326,0.2908284366130829,0.1782200038433075,0.2667614221572876,0.21305565536022186,0.7345613837242126,0.1898086667060852
",",0.3087472915649414,0.4062570035457611,0.3347506821155548,0.25084736943244934,0.4946078956127167,0.20911818742752075,0.31091248989105225
eosinophils,0.17250362038612366,0.31557324528694153,0.2097400575876236,0.3193380534648895,0.2624094486236572,0.7387055158615112,0.1564764529466629
",",0.3087472915649414,0.4062570035457611,0.3347506821155548,0.25084736943244934,0.4946078956127167,0.20911818742752075,0.31091248989105225
basophils,0.21099814772605896,0.37398478388786316,0.25747624039649963,0.3727012574672699,0.23085622489452362,0.7478775978088379,0.16538715362548828
",",0.3087472915649414,0.4062570035457611,0.3347506821155548,0.25084736943244934,0.4946078956127167,0.20911818742752075,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.3826501965522766,0.32501107454299927,0.5116966962814331,0.23138023912906647,0.20544172823429108
natural,0.15666867792606354,0.221140056848526,0.16167324781417847,0.2416802942752838,0.2963479459285736,0.19231025874614716,0.16155436635017395
killer,0.1868809163570404,0.21328569948673248,0.12053853273391724,0.1735645979642868,0.18559542298316956,0.280930757522583,0.13010363280773163
cells,0.1758001297712326,0.2908284366130829,0.1782200038433075,0.2667614221572876,0.21305565536022186,0.7345613837242126,0.1898086667060852
.,0.3567904531955719,0.3452940285205841,0.34968629479408264,0.23792381584644318,0.5352458953857422,0.215576171875,0.4130953550338745
