,upon,what,chemical,characteristic,is,oxygen,'s,solubility,dependent,?
the,0.28184252977371216,0.42745697498321533,0.18641819059848785,0.28210532665252686,0.5823672413825989,0.20428593456745148,-0.01540423184633255,0.14610712230205536,0.23169851303100586,0.22068053483963013
solubility,0.15177582204341888,0.1855776160955429,0.4804737865924835,0.399318128824234,0.21749620139598846,0.4938720762729645,0.008997034281492233,1.0,0.32477253675460815,0.21849468350410461
of,0.3224298357963562,0.33290785551071167,0.22874756157398224,0.2943860590457916,0.4854315221309662,0.16848602890968323,-0.03817026689648628,0.17882999777793884,0.27231869101524353,0.1826142966747284
oxygen,0.13756394386291504,0.16781960427761078,0.46001601219177246,0.2778324782848358,0.21825239062309265,0.9999999403953552,-0.011648092418909073,0.4938720762729645,0.16592927277088165,0.16786395013332367
in,0.20347267389297485,0.30808621644973755,0.23203688859939575,0.2336774468421936,0.5394441485404968,0.1672476977109909,-0.037580832839012146,0.1414058804512024,0.21619132161140442,0.20430970191955566
water,0.17662745714187622,0.17456887662410736,0.27974560856819153,0.2640168070793152,0.2879090905189514,0.4692627191543579,0.06513497978448868,0.46687960624694824,0.22027529776096344,0.14731885492801666
is,0.1675044447183609,0.28837618231773376,0.2387559562921524,0.2790224850177765,1.0,0.21825239062309265,0.02396530658006668,0.21749620139598846,0.2275722324848175,0.22961433231830597
temperature-dependent,0.15018363296985626,0.327208548784256,0.3176790177822113,0.361780047416687,0.3118981420993805,0.3314959406852722,0.03015526756644249,0.514793336391449,0.6768291592597961,0.2021922618150711
",",0.27234330773353577,0.3087472915649414,0.20593619346618652,0.263354629278183,0.4691906273365021,0.21812842786312103,-0.0016132977325469255,0.18928004801273346,0.18615542352199554,0.31091248989105225
and,0.2482176125049591,0.31309178471565247,0.1947544515132904,0.3171210289001465,0.3859752118587494,0.22261030972003937,0.06895173341035843,0.2536124587059021,0.24231232702732086,0.20544172823429108
about,0.17975300550460815,0.47976887226104736,0.17632102966308594,0.19724470376968384,0.3532065451145172,0.1566355675458908,-0.020936643704771996,0.1054752767086029,0.14166197180747986,0.302409827709198
twice,0.19562788307666779,0.20608042180538177,0.09813588112592697,0.10529151558876038,0.272193044424057,0.15423640608787537,-0.08582408726215363,0.10274088382720947,0.19674021005630493,0.16248004138469696
as,0.19482944905757904,0.31749409437179565,0.25971847772598267,0.30598020553588867,0.43216490745544434,0.16691245138645172,-0.05775856226682663,0.1900450885295868,0.20573464035987854,0.27043893933296204
much,0.21184930205345154,0.45316147804260254,0.17869994044303894,0.27009567618370056,0.3156087100505829,0.2913925051689148,0.06731651723384857,0.24720218777656555,0.2513778507709503,0.23442231118679047
(,0.1563204526901245,0.2411840260028839,0.18129213154315948,0.15405966341495514,0.35393038392066956,0.189798504114151,0.0012731997994706035,0.25550398230552673,0.1989695280790329,0.40561532974243164
14.6,-0.03314974904060364,-0.09669674187898636,0.12348681688308716,0.032804861664772034,0.021136902272701263,0.09873392432928085,0.026677830144762993,0.08955996483564377,0.035447217524051666,-0.08022011071443558
mg·l−1,0.09418771415948868,0.18795336782932281,0.18856166303157806,0.3191286623477936,0.13597212731838226,0.1785852611064911,0.004531019367277622,0.24363404512405396,0.1422625631093979,0.1303682178258896
),0.14562536776065826,0.26259949803352356,0.18658967316150665,0.14360031485557556,0.37732169032096863,0.19541971385478973,0.021107977256178856,0.26510801911354065,0.20352236926555634,0.42300865054130554
dissolves,0.20204463601112366,0.15345560014247894,0.41916584968566895,0.23457787930965424,0.3059251010417938,0.43762800097465515,-0.01656658574938774,0.4939931333065033,0.21478910744190216,0.1530132293701172
at,0.21032129228115082,0.2838611304759979,0.16947215795516968,0.08029503375291824,0.25906258821487427,0.1428557187318802,-0.08481216430664062,0.10870788991451263,0.1328713595867157,0.21978627145290375
