,when,did,pope,leo,x,excommunicate,luther,?
as,0.4437963366508484,0.3596470057964325,0.19625233113765717,0.1439058929681778,0.19728422164916992,0.237202987074852,0.20242992043495178,0.27043893933296204
a,0.44397395849227905,0.2552328109741211,0.16180011630058289,0.13168981671333313,0.21952441334724426,0.15767323970794678,0.17967689037322998,0.23916715383529663
consequence,0.2985667884349823,0.21091601252555847,0.2823779582977295,0.16713501513004303,0.12606121599674225,0.35445988178253174,0.13237561285495758,0.196389839053154
",",0.36674630641937256,0.3015086054801941,0.21447758376598358,0.19656455516815186,0.2696380019187927,0.2879274785518646,0.23255878686904907,0.31091248989105225
luther,0.14516782760620117,0.23667675256729126,0.27229586243629456,0.21605272591114044,0.22094453871250153,0.34535089135169983,1.0,0.1732746809720993
was,0.37326499819755554,0.41399896144866943,0.260356068611145,0.2355983406305313,0.15674518048763275,0.25450965762138367,0.19185513257980347,0.18412111699581146
excommunicated,0.2927069067955017,0.284013956785202,0.5937650203704834,0.3041086196899414,0.1475430130958557,0.9605488181114197,0.34141772985458374,0.17474961280822754
by,0.4376842677593231,0.18574509024620056,0.18588386476039886,0.17676231265068054,0.14551936089992523,0.24652355909347534,0.15382802486419678,0.17966607213020325
pope,0.22106969356536865,0.17841137945652008,1.0,0.387607216835022,0.2688843607902527,0.5834224224090576,0.27229586243629456,0.25004681944847107
leo,0.2307606190443039,0.14129512012004852,0.387607216835022,0.9999998807907104,0.25772935152053833,0.3013421893119812,0.21605272591114044,0.14148910343647003
x,0.16217176616191864,0.13131415843963623,0.2688843607902527,0.25772935152053833,0.9999999403953552,0.14786848425865173,0.22094453871250153,0.23304535448551178
on,0.37706470489501953,0.2670976221561432,0.1881118267774582,0.15815727412700653,0.1793646216392517,0.1472884714603424,0.19090485572814941,0.2714994251728058
3,0.06927181035280228,0.0008236956200562418,0.1265563666820526,0.11762246489524841,-0.02759464643895626,0.08074493706226349,0.015351762063801289,0.005975271109491587
january,0.23963238298892975,0.23508968949317932,0.1868317872285843,0.09831808507442474,0.10329682379961014,0.23087960481643677,0.15876203775405884,0.28608936071395874
1521,0.20012322068214417,0.09373841434717178,0.11913667619228363,0.17340205609798431,-0.008447308093309402,0.09604337066411972,0.08881302922964096,0.0046399421989917755
",",0.36674630641937256,0.3015086054801941,0.21447758376598358,0.19656455516815186,0.2696380019187927,0.2879274785518646,0.23255878686904907,0.31091248989105225
in,0.4431333839893341,0.2593238651752472,0.19509877264499664,0.1368853747844696,0.16749148070812225,0.16200825572013855,0.20523880422115326,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.2285010814666748,0.16220510005950928,0.20980626344680786,0.23954226076602936,0.1759674996137619,0.22068053483963013
bull,0.20243389904499054,0.10752205550670624,0.26373761892318726,0.2577507793903351,0.1917845755815506,0.21959300339221954,0.17616742849349976,0.12595409154891968
decet,0.258984237909317,0.2518550455570221,0.2761414349079132,0.22651709616184235,0.20713435113430023,0.3434619605541229,0.24989844858646393,0.31181278824806213
romanum,0.1792781800031662,0.0905899628996849,0.4808759093284607,0.24751164019107819,0.28751859068870544,0.3939436078071594,0.22274965047836304,0.22586792707443237
pontificem,0.15876412391662598,0.17145760357379913,0.5200233459472656,0.25673654675483704,0.19090010225772858,0.4500953257083893,0.26002874970436096,0.174195796251297
.,0.475719153881073,0.35288307070732117,0.20701080560684204,0.1820629984140396,0.27645573019981384,0.23875148594379425,0.24907569587230682,0.4130953550338745
