,what,type,of,boundaries,help,to,define,the,way,kids,behave,?
positive,0.2491111010313034,0.18713849782943726,0.19149050116539001,0.12783782184123993,0.21788384020328522,0.24421703815460205,0.24473513662815094,0.20502062141895294,0.2849273085594177,0.16121438145637512,0.34844711422920227,0.16532565653324127
reinforcement,0.2959302067756653,0.16520023345947266,0.2764717638492584,0.20761291682720184,0.27632850408554077,0.2754564583301544,0.21866245567798615,0.29304003715515137,0.26727160811424255,0.20420098304748535,0.30028560757637024,0.15033507347106934
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.22585651278495789,0.152378648519516,0.42745086550712585,0.21447251737117767,0.5823672413825989,0.31685471534729004,0.18840059638023376,0.2751035690307617,0.22961433231830597
balanced,0.29257306456565857,0.2458379864692688,0.28174325823783875,0.22802521288394928,0.30719175934791565,0.27381017804145813,0.326252281665802,0.2974889874458313,0.34564170241355896,0.14541500806808472,0.3316446840763092,0.24327316880226135
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.21697545051574707,0.32894450426101685,0.4239959120750427,0.24727149307727814,0.4223487675189972,0.3546393811702728,0.19443269073963165,0.25926509499549866,0.2433311939239502
immediate,0.3414689600467682,0.18770024180412292,0.3290686011314392,0.16207727789878845,0.2792649269104004,0.38386404514312744,0.22118394076824188,0.34819692373275757,0.2883282005786896,0.20406034588813782,0.26947346329689026,0.2325933575630188
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2913758158683777,0.34926167130470276,0.48971283435821533,0.2597722113132477,0.5171257257461548,0.32150545716285706,0.25828784704208374,0.32866305112838745,0.20544172823429108
fair,0.31485888361930847,0.067049041390419,0.204209566116333,0.19296450912952423,0.15894009172916412,0.2450193166732788,0.17848363518714905,0.2018251270055771,0.22191156446933746,0.15638436377048492,0.1887701153755188,0.22737592458724976
punishment,0.31300443410873413,0.11259355396032333,0.2056395560503006,0.17407673597335815,0.2080625593662262,0.208286851644516,0.22096894681453705,0.2503047287464142,0.2937184274196625,0.15892601013183594,0.2693276107311249,0.23842233419418335
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.18814940750598907,0.33200904726982117,0.4451248347759247,0.26458024978637695,0.4739971458911896,0.384344220161438,0.23470434546470642,0.30570927262306213,0.264628142118454
misbehavior,0.4433256983757019,0.21717429161071777,0.24687156081199646,0.21488110721111298,0.3245256841182709,0.3203519582748413,0.2854902744293213,0.2766011655330658,0.4093575179576874,0.2219407558441162,0.616597056388855,0.29309946298599243
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2913758158683777,0.34926167130470276,0.48971283435821533,0.2597722113132477,0.5171257257461548,0.32150545716285706,0.25828784704208374,0.32866305112838745,0.20544172823429108
firm,0.15721003711223602,0.14887449145317078,0.16486702859401703,0.2289298176765442,0.17718857526779175,0.15583430230617523,0.18909430503845215,0.185079887509346,0.1503763347864151,0.1472105085849762,0.1508082151412964,0.08762375265359879
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24607931077480316,0.2855570912361145,0.44245919585227966,0.18871451914310455,0.4933079481124878,0.2861018478870392,0.2561202347278595,0.2251657247543335,0.31091248989105225
clear,0.4239453375339508,0.21704570949077606,0.25915294885635376,0.2179676592350006,0.2522575855255127,0.34294766187667847,0.30761122703552246,0.3209454417228699,0.35535773634910583,0.08837747573852539,0.26110604405403137,0.2738020122051239
boundaries,0.27773579955101013,0.09199529141187668,0.29777297377586365,1.0,0.11637631803750992,0.22856515645980835,0.37771862745285034,0.34339386224746704,0.2717607617378235,0.0804862529039383,0.18818502128124237,0.13039568066596985
define,0.37022438645362854,0.24469472467899323,0.23249299824237823,0.37771862745285034,0.21181558072566986,0.27667900919914246,0.9999998807907104,0.215811088681221,0.309858500957489,0.17871011793613434,0.3437398672103882,0.2999834418296814
what,0.9999998807907104,0.2722663879394531,0.33290785551071167,0.27773579955101013,0.3728281855583191,0.455847829580307,0.37022438645362854,0.42745697498321533,0.4835909903049469,0.2709776759147644,0.4286395013332367,0.5051238536834717
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.22585651278495789,0.152378648519516,0.42745086550712585,0.21447251737117767,0.5823672413825989,0.31685471534729004,0.18840059638023376,0.2751035690307617,0.22961433231830597
appropriate,0.29508692026138306,0.16723789274692535,0.1958872526884079,0.21052707731723785,0.2848277688026428,0.31406155228614807,0.2860988974571228,0.27732113003730774,0.2822008728981018,0.15920042991638184,0.3082825243473053,0.2732597291469574
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2913758158683777,0.34926167130470276,0.48971283435821533,0.2597722113132477,0.5171257257461548,0.32150545716285706,0.25828784704208374,0.32866305112838745,0.20544172823429108
inappropriate,0.38486769795417786,0.1870168000459671,0.17275892198085785,0.1285112351179123,0.29129889607429504,0.2938379943370819,0.2866441309452057,0.20993955433368683,0.33087193965911865,0.3143925368785858,0.3914237916469574,0.3695458173751831
behavior,0.3737046718597412,0.2069953978061676,0.1818811446428299,0.15030138194561005,0.29112163186073303,0.23964552581310272,0.2563007175922394,0.2124595195055008,0.3577510714530945,0.1553780734539032,0.7038668990135193,0.20805177092552185
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22948695719242096,0.32205137610435486,0.4645031690597534,0.19754591584205627,0.5934505462646484,0.33520638942718506,0.2533859610557556,0.3336504101753235,0.4130953550338745
