,what,is,the,metric,term,less,used,than,the,newton,?
the,0.42745697498321533,0.5823672413825989,1.0,0.21734559535980225,0.2740369141101837,0.29185041785240173,0.3718377649784088,0.3227543234825134,1.0,0.1876603662967682,0.22068053483963013
pound-force,0.2764778733253479,0.24072591960430145,0.27295830845832825,0.43165671825408936,0.16574299335479736,0.28420841693878174,0.2597443163394928,0.284662127494812,0.27295830845832825,0.37469998002052307,0.2705550491809845
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.14661039412021637,0.1874341368675232,0.3121291995048523,0.23367926478385925,0.32792407274246216,0.4177538752555847,0.15730179846286774,0.15994466841220856
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2014656513929367,0.3080509603023529,0.3475147485733032,0.3864384889602661,0.3126874566078186,0.5829201340675354,0.1884482353925705,0.23916715383529663
metric,0.23627936840057373,0.17780743539333344,0.21734559535980225,0.9999999403953552,0.1941239982843399,0.2232023924589157,0.3072423040866852,0.23872210085391998,0.21734559535980225,0.2536757290363312,0.2346421480178833
counterpart,0.20289170742034912,0.2737394869327545,0.2672640383243561,0.20356962084770203,0.17071020603179932,0.32534193992614746,0.1795065999031067,0.3594167232513428,0.2672640383243561,0.12546536326408386,0.12628091871738434
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21044935286045074,0.21599270403385162,0.28111666440963745,0.3120402991771698,0.3371901512145996,0.4933079481124878,0.2648763358592987,0.31091248989105225
less,0.31119704246520996,0.3123510479927063,0.29185041785240173,0.2232023924589157,0.31406134366989136,1.0,0.3045300245285034,0.7410463690757751,0.29185041785240173,0.1448937952518463,0.22418740391731262
commonly,0.18122613430023193,0.3994327187538147,0.2974449694156647,0.20589131116867065,0.3022622764110565,0.23647800087928772,0.4782883822917938,0.199752077460289,0.2974449694156647,0.14326465129852295,0.13546277582645416
used,0.27546408772468567,0.3288823366165161,0.3718377649784088,0.3072423040866852,0.4406372904777527,0.3045300245285034,0.9999998807907104,0.28633373975753784,0.3718377649784088,0.1013568639755249,0.22430120408535004
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.23872210085391998,0.25694769620895386,0.7410463690757751,0.28633373975753784,1.0,0.3227543234825134,0.11650118976831436,0.24917294085025787
the,0.42745697498321533,0.5823672413825989,1.0,0.21734559535980225,0.2740369141101837,0.29185041785240173,0.3718377649784088,0.3227543234825134,1.0,0.1876603662967682,0.22068053483963013
newton,0.20841743052005768,0.21921560168266296,0.1876603662967682,0.2536757290363312,0.11688314378261566,0.1448937952518463,0.1013568639755249,0.11650118976831436,0.1876603662967682,1.0000001192092896,0.09645649790763855
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,-0.05254446715116501,-0.062438126653432846,-0.09362658858299255,-0.13810665905475616,-0.11965936422348022,-0.03403344005346298,-0.08541014790534973,-0.07156077772378922
