,newborns,are,vulnerable,to,infection,because,they,have,no,previous,exposure,to,what,?
newborn,0.9206961989402771,0.22075311839580536,0.29302769899368286,0.28754353523254395,0.4181360900402069,0.27292028069496155,0.34401699900627136,0.2722529470920563,0.16398008167743683,0.16872629523277283,0.23250581324100494,0.28754353523254395,0.22984668612480164,0.15410195291042328
infants,0.5811390280723572,0.2951740026473999,0.2873813211917877,0.26765140891075134,0.42702314257621765,0.2821457087993622,0.3732881247997284,0.3227895498275757,0.2181447595357895,0.1458551585674286,0.3186236619949341,0.26765140891075134,0.20155192911624908,0.17682571709156036
have,0.34016379714012146,0.6577680706977844,0.3057536780834198,0.4544740617275238,0.24533464014530182,0.5794309377670288,0.6542890071868896,0.9999999403953552,0.38691386580467224,0.33139970898628235,0.2721303701400757,0.4544740617275238,0.39808809757232666,0.32991164922714233
no,0.18181082606315613,0.2432553917169571,0.2584543526172638,0.30015695095062256,0.13881677389144897,0.32473182678222656,0.3022885322570801,0.38691386580467224,1.0,0.257358580827713,0.19040808081626892,0.30015695095062256,0.339326947927475,0.32165053486824036
prior,0.15088364481925964,0.11994346976280212,0.19300371408462524,0.264421671628952,0.10613729804754257,0.23794855177402496,0.19772028923034668,0.2340756207704544,0.18902474641799927,0.3615533709526062,0.14621712267398834,0.264421671628952,0.2537507116794586,0.16978254914283752
exposure,0.32456347346305847,0.2131340652704239,0.23440036177635193,0.263922780752182,0.40887516736984253,0.2757633924484253,0.2034751921892166,0.2721303701400757,0.19040808081626892,0.17086637020111084,0.9999998807907104,0.263922780752182,0.21444639563560486,0.18779869377613068
to,0.2949121594429016,0.3504326641559601,0.2332347333431244,1.0,0.23874373733997345,0.5166091918945312,0.5452046394348145,0.4544740617275238,0.30015695095062256,0.26198142766952515,0.263922780752182,1.0,0.455847829580307,0.29463258385658264
microbes,0.41581764817237854,0.3933534324169159,0.23254123330116272,0.28390011191368103,0.4941261410713196,0.26637959480285645,0.38303086161613464,0.35022369027137756,0.1791105419397354,0.09883051365613937,0.33938485383987427,0.28390011191368103,0.27925968170166016,0.172354593873024
and,0.2736497223377228,0.48576638102531433,0.26953402161598206,0.48971283435821533,0.22184498608112335,0.5069696307182312,0.5073080658912659,0.4711785912513733,0.25880882143974304,0.22210395336151123,0.20032863318920135,0.48971283435821533,0.31309178471565247,0.20544172823429108
are,0.3205986022949219,1.0,0.3371216356754303,0.3504326641559601,0.20620305836200714,0.43093472719192505,0.610666811466217,0.6577680706977844,0.2432553917169571,0.18899986147880554,0.2131340652704239,0.3504326641559601,0.29724663496017456,0.24591213464736938
particularly,0.21786068379878998,0.4342263638973236,0.3115999102592468,0.33588847517967224,0.22068145871162415,0.4249844253063202,0.374696284532547,0.39760419726371765,0.17123374342918396,0.1807892620563507,0.26140135526657104,0.33588847517967224,0.33027681708335876,0.2644225060939789
vulnerable,0.36809444427490234,0.3371216356754303,0.9999999403953552,0.2332347333431244,0.2743768095970154,0.36330699920654297,0.3101218044757843,0.3057536780834198,0.2584543526172638,0.1325671374797821,0.23440036177635193,0.2332347333431244,0.17402198910713196,0.12772656977176666
to,0.2949121594429016,0.3504326641559601,0.2332347333431244,1.0,0.23874373733997345,0.5166091918945312,0.5452046394348145,0.4544740617275238,0.30015695095062256,0.26198142766952515,0.263922780752182,1.0,0.455847829580307,0.29463258385658264
infection,0.48420849442481995,0.20620305836200714,0.2743768095970154,0.23874373733997345,0.9999999403953552,0.19952121376991272,0.22398896515369415,0.24533464014530182,0.13881677389144897,0.051932018250226974,0.40887516736984253,0.23874373733997345,0.17579561471939087,0.18650056421756744
.,0.23959434032440186,0.3452940285205841,0.21427053213119507,0.4645031690597534,0.2435181885957718,0.45765790343284607,0.4510921239852905,0.41614407300949097,0.35224834084510803,0.24575935304164886,0.24551701545715332,0.4645031690597534,0.3567904531955719,0.4130953550338745
