,what,kind,of,university,is,the,university,of,chicago,?
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.263973206281662,0.5823672413825989,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.22068053483963013
university,0.20256435871124268,0.07493893057107925,0.30646374821662903,1.0,0.20346471667289734,0.263973206281662,1.0,0.30646374821662903,0.29005804657936096,0.11887256056070328
of,0.33290785551071167,0.2285657674074173,1.0,0.30646374821662903,0.4854315221309662,0.733189046382904,0.30646374821662903,1.0,0.18391016125679016,0.1826142966747284
chicago,0.1521448791027069,0.12238232046365738,0.18391016125679016,0.29005804657936096,0.12146236002445221,0.27360326051712036,0.29005804657936096,0.18391016125679016,1.0,0.16446958482265472
(,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.20313534140586853,0.35393038392066956,0.33289089798927307,0.20313534140586853,0.35032153129577637,0.20942065119743347,0.40561532974243164
uchicago,0.1244094967842102,0.11451873183250427,0.1812904179096222,0.32529881596565247,0.07834049314260483,0.23118087649345398,0.32529881596565247,0.1812904179096222,0.899956464767456,0.1768796592950821
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.3017033040523529,0.4691906273365021,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.31091248989105225
chicago,0.1521448791027069,0.12238232046365738,0.18391016125679016,0.29005804657936096,0.12146236002445221,0.27360326051712036,0.29005804657936096,0.18391016125679016,1.0,0.16446958482265472
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.3017033040523529,0.4691906273365021,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.31091248989105225
or,0.33867141604423523,0.4102349579334259,0.3792596757411957,0.09576314687728882,0.41870999336242676,0.4174870550632477,0.09576314687728882,0.3792596757411957,0.18119408190250397,0.32389625906944275
u,0.19596752524375916,0.09639261662960052,0.19791333377361298,0.23216986656188965,0.19575630128383636,0.23897035419940948,0.23216986656188965,0.19791333377361298,0.16066545248031616,0.1696031093597412
of,0.33290785551071167,0.2285657674074173,1.0,0.30646374821662903,0.4854315221309662,0.733189046382904,0.30646374821662903,1.0,0.18391016125679016,0.1826142966747284
c,0.13697408139705658,0.0771937146782875,0.1682119220495224,0.13423199951648712,0.21502047777175903,0.17891426384449005,0.13423199951648712,0.1682119220495224,0.12577706575393677,0.14264722168445587
),0.26259949803352356,0.17504733800888062,0.3680361211299896,0.20796938240528107,0.37732169032096863,0.3456730246543884,0.20796938240528107,0.3680361211299896,0.19897222518920898,0.42300865054130554
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.20346471667289734,1.0,0.5823672413825989,0.20346471667289734,0.4854315221309662,0.12146236002445221,0.22961433231830597
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.20256656408309937,0.658733606338501,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.17899899184703827,0.23916715383529663
private,0.16778090596199036,0.17179736495018005,0.18706899881362915,0.33786600828170776,0.1420905888080597,0.18291357159614563,0.33786600828170776,0.18706899881362915,0.1683819591999054,0.14389030635356903
research,0.237140491604805,0.15839476883411407,0.22573977708816528,0.42846137285232544,0.23478153347969055,0.24391183257102966,0.42846137285232544,0.22573977708816528,0.17879386246204376,0.13481977581977844
university,0.20256435871124268,0.07493893057107925,0.30646374821662903,1.0,0.20346471667289734,0.263973206281662,1.0,0.30646374821662903,0.29005804657936096,0.11887256056070328
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.3201795518398285,0.5394441485404968,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.20430970191955566
chicago,0.1521448791027069,0.12238232046365738,0.18391016125679016,0.29005804657936096,0.12146236002445221,0.27360326051712036,0.29005804657936096,0.18391016125679016,1.0,0.16446958482265472
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.290679007768631,0.4569662809371948,0.5934505462646484,0.290679007768631,0.5352458953857422,0.2771213948726654,0.4130953550338745
