,how,many,types,of,thylakoids,are,there,?
there,0.3328511416912079,0.4993700683116913,0.37238845229148865,0.44397735595703125,0.21885816752910614,0.5433560013771057,1.0,0.29405656456947327
are,0.311818927526474,0.5655534863471985,0.4691450595855713,0.39081433415412903,0.4048384726047516,1.0,0.5433560013771057,0.24591213464736938
two,0.2499001920223236,0.5147606730461121,0.33505547046661377,0.37726253271102905,0.2831059694290161,0.46276170015335083,0.40416133403778076,0.19645625352859497
types,0.3203487992286682,0.4814179539680481,1.0,0.2447618544101715,0.3022363483905792,0.4691450595855713,0.37238845229148865,0.1285012811422348
of,0.2480744868516922,0.37253960967063904,0.2447618544101715,1.0,0.2329981029033661,0.39081433415412903,0.44397735595703125,0.1826142966747284
thylakoids—granal,0.18339803814888,0.27654626965522766,0.2535651922225952,0.29879218339920044,0.8763530850410461,0.3478204309940338,0.25404876470565796,0.1932603418827057
thylakoids,0.20636409521102905,0.25019171833992004,0.3022363483905792,0.2329981029033661,1.0,0.4048384726047516,0.21885816752910614,0.17522360384464264
",",0.22659391164779663,0.40610817074775696,0.24108222126960754,0.4946078956127167,0.20282846689224243,0.4062570035457611,0.4587128460407257,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.4006623923778534,0.5011631846427917,0.33822375535964966,0.42922598123550415,0.45256471633911133,0.25814583897590637
are,0.311818927526474,0.5655534863471985,0.4691450595855713,0.39081433415412903,0.4048384726047516,1.0,0.5433560013771057,0.24591213464736938
arranged,0.20333947241306305,0.28255778551101685,0.1817188560962677,0.33214297890663147,0.24951514601707458,0.2458474189043045,0.24034665524959564,0.08499907702207565
in,0.2601168751716614,0.41474202275276184,0.18516337871551514,0.5696388483047485,0.19204016029834747,0.3841303884983063,0.5361666083335876,0.20430970191955566
grana,0.10284479707479477,0.20680347084999084,0.17505110800266266,0.22976471483707428,0.31276199221611023,0.1395915150642395,0.14060160517692566,0.1099926009774208
",",0.22659391164779663,0.40610817074775696,0.24108222126960754,0.4946078956127167,0.20282846689224243,0.4062570035457611,0.4587128460407257,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.3014242649078369,0.5116966962814331,0.23562830686569214,0.48576638102531433,0.4242868423461914,0.20544172823429108
stromal,0.2155914008617401,0.28271618485450745,0.2077202945947647,0.31151777505874634,0.4598264992237091,0.2601601183414459,0.2389107495546341,0.16544461250305176
thylakoids,0.20636409521102905,0.25019171833992004,0.3022363483905792,0.2329981029033661,1.0,0.4048384726047516,0.21885816752910614,0.17522360384464264
",",0.22659391164779663,0.40610817074775696,0.24108222126960754,0.4946078956127167,0.20282846689224243,0.4062570035457611,0.4587128460407257,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.4006623923778534,0.5011631846427917,0.33822375535964966,0.42922598123550415,0.45256471633911133,0.25814583897590637
are,0.311818927526474,0.5655534863471985,0.4691450595855713,0.39081433415412903,0.4048384726047516,1.0,0.5433560013771057,0.24591213464736938
in,0.2601168751716614,0.41474202275276184,0.18516337871551514,0.5696388483047485,0.19204016029834747,0.3841303884983063,0.5361666083335876,0.20430970191955566
contact,0.3153916299343109,0.2366604208946228,0.1773870885372162,0.18051373958587646,0.2218276709318161,0.23957745730876923,0.22245250642299652,0.2231319397687912
with,0.3525622487068176,0.35744401812553406,0.2505682706832886,0.41827285289764404,0.20929807424545288,0.38996943831443787,0.37390366196632385,0.2433311939239502
the,0.33890387415885925,0.4335206151008606,0.23509301245212555,0.733189046382904,0.23520681262016296,0.40399202704429626,0.47025805711746216,0.22068053483963013
stroma,0.1415640264749527,0.2527027726173401,0.1290220469236374,0.21265612542629242,0.2927302122116089,0.17636294662952423,0.2061355710029602,0.15478113293647766
.,0.3287222981452942,0.3974229395389557,0.2097296416759491,0.5352458953857422,0.20680563151836395,0.3452940285205841,0.43897318840026855,0.4130953550338745
