,how,much,did,the,gross,agricultural,product,increase,from,2003-04,?
during,0.26830652356147766,0.2644806206226349,0.30679523944854736,0.4838213622570038,0.13027586042881012,0.20308618247509003,0.1534602791070938,0.21474911272525787,0.3186885714530945,0.039749354124069214,0.1325719803571701
2003–04,-0.2150774896144867,-0.2598462700843811,-0.08622096478939056,-0.2541144788265228,0.039645224809646606,-0.17080335319042206,-0.17672587931156158,-0.2236560434103012,-0.10713206976652145,0.08943307399749756,-0.10515590012073517
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.4933079481124878,0.2944166660308838,0.31311511993408203,0.20782852172851562,0.20005576312541962,0.39760664105415344,0.020703619346022606,0.31091248989105225
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.1785203367471695,0.2716485559940338,0.23984220623970032,0.32049667835235596,0.40150508284568787,0.04565144702792168,0.22068053483963013
gross,0.1807710975408554,0.1851283460855484,0.12796765565872192,0.1785203367471695,0.9999999403953552,0.1753389686346054,0.37671908736228943,0.27677133679389954,0.1507829874753952,-0.030626432970166206,0.22810624539852142
value,0.2216653972864151,0.2465343028306961,0.1280398815870285,0.16908381879329681,0.2885203957557678,0.2570319175720215,0.31949755549430847,0.2573869228363037,0.19919884204864502,0.16204459965229034,0.23920650780200958
of,0.2480744868516922,0.2671096920967102,0.2513895630836487,0.733189046382904,0.21245229244232178,0.3318701386451721,0.19526132941246033,0.3156060576438904,0.4249346852302551,0.02689445950090885,0.1826142966747284
victorian,0.18811437487602234,0.1766148805618286,0.21329370141029358,0.2753658890724182,0.11890875548124313,0.2444179356098175,0.1647312492132187,0.1913563758134842,0.17833232879638672,0.039222728461027145,0.07572567462921143
agricultural,0.17618915438652039,0.18852491676807404,0.11399509012699127,0.2716485559940338,0.1753389686346054,1.0000001192092896,0.29586100578308105,0.25651949644088745,0.2222040742635727,-0.0597168393433094,0.0713675245642662
production,0.19858919084072113,0.23453132808208466,0.1752309501171112,0.2657334506511688,0.3200981616973877,0.3729345202445984,0.5532492995262146,0.29218894243240356,0.1411544233560562,0.00601766025647521,0.19318072497844696
increased,0.2297995388507843,0.38681474328041077,0.20765343308448792,0.3188653886318207,0.24791285395622253,0.2794925570487976,0.2035616934299469,0.8384779691696167,0.2075282633304596,0.03634971007704735,0.09587585180997849
by,0.34370526671409607,0.24959969520568848,0.18574509024620056,0.4408751428127289,0.10597004741430283,0.13835741579532623,0.20719797909259796,0.20121172070503235,0.3373257517814636,0.09864630550146103,0.17966607213020325
17,0.11148978024721146,0.04914264753460884,0.07127774506807327,0.10537172853946686,0.09728484600782394,0.1535799652338028,0.1453448235988617,0.08278468251228333,0.05440361425280571,0.05753612145781517,0.17603135108947754
%,0.1237400695681572,0.26866111159324646,0.1450016051530838,0.21490740776062012,0.20710866153240204,0.17656949162483215,0.1680258959531784,0.3205886483192444,0.21054168045520782,0.024183547124266624,0.21441808342933655
to,0.44169697165489197,0.40610215067863464,0.4452643394470215,0.535392165184021,0.1351269632577896,0.22557492554187775,0.24510730803012848,0.3378143310546875,0.4069952368736267,0.04141978546977043,0.29463258385658264
$,0.18718640506267548,0.205519899725914,0.23203131556510925,0.23367542028427124,0.45071345567703247,0.12514258921146393,0.24526560306549072,0.2529371380805969,0.10954198986291885,0.1433720737695694,0.2786129117012024
8.7,0.0820930153131485,0.01855669543147087,0.13559025526046753,0.30320608615875244,0.14623382687568665,0.2203206866979599,0.08150846511125565,0.11041592806577682,0.20402303338050842,0.05662049725651741,0.10147654265165329
billion,0.2582297921180725,0.2614055871963501,0.1482735127210617,0.2162325382232666,0.3408873677253723,0.1462099701166153,0.26227426528930664,0.3142911195755005,0.18705260753631592,0.08656886965036392,0.25791820883750916
.,0.3287222981452942,0.3374604284763336,0.35288307070732117,0.5934505462646484,0.24170349538326263,0.26339057087898254,0.21721361577510834,0.24619564414024353,0.41536515951156616,0.02294878289103508,0.4130953550338745
,how,much,did,the,gross,agricultural,product,increase,from,2003-04,?
this,0.45272302627563477,0.5015546083450317,0.3609912693500519,0.6274310946464539,0.1861352026462555,0.1919425129890442,0.2806263267993927,0.3563258945941925,0.3469814360141754,0.10427989810705185,0.3155723512172699
represented,0.16157718002796173,0.11683791875839233,0.154952272772789,0.3256146013736725,0.10434500873088837,0.22597339749336243,0.18758681416511536,0.19614629447460175,0.27583742141723633,0.18840940296649933,0.11276352405548096
24,-0.016954585909843445,-0.09701976180076599,-0.04566230997443199,0.009148004464805126,0.0328076109290123,-0.12889617681503296,0.021721482276916504,-0.04973911494016647,0.027368903160095215,0.022541536018252373,0.016154835000634193
%,0.1237400695681572,0.26866111159324646,0.1450016051530838,0.21490740776062012,0.20710866153240204,0.17656949162483215,0.1680258959531784,0.3205886483192444,0.21054168045520782,0.024183547124266624,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,0.2513895630836487,0.733189046382904,0.21245229244232178,0.3318701386451721,0.19526132941246033,0.3156060576438904,0.4249346852302551,0.02689445950090885,0.1826142966747284
national,0.13248363137245178,0.09769453853368759,0.17743784189224243,0.32739606499671936,0.1351594775915146,0.2699440121650696,0.14152127504348755,0.12919001281261444,0.17547941207885742,0.05496979504823685,0.15643028914928436
agricultural,0.17618915438652039,0.18852491676807404,0.11399509012699127,0.2716485559940338,0.1753389686346054,1.0000001192092896,0.29586100578308105,0.25651949644088745,0.2222040742635727,-0.0597168393433094,0.0713675245642662
production,0.19858919084072113,0.23453132808208466,0.1752309501171112,0.2657334506511688,0.3200981616973877,0.3729345202445984,0.5532492995262146,0.29218894243240356,0.1411544233560562,0.00601766025647521,0.19318072497844696
total,0.22199897468090057,0.26354777812957764,0.14788632094860077,0.27068960666656494,0.2913479804992676,0.18357890844345093,0.1520901322364807,0.3245879113674164,0.14256314933300018,0.0002917491947300732,0.14396025240421295
gross,0.1807710975408554,0.1851283460855484,0.12796765565872192,0.1785203367471695,0.9999999403953552,0.1753389686346054,0.37671908736228943,0.27677133679389954,0.1507829874753952,-0.030626432970166206,0.22810624539852142
value,0.2216653972864151,0.2465343028306961,0.1280398815870285,0.16908381879329681,0.2885203957557678,0.2570319175720215,0.31949755549430847,0.2573869228363037,0.19919884204864502,0.16204459965229034,0.23920650780200958
.,0.3287222981452942,0.3374604284763336,0.35288307070732117,0.5934505462646484,0.24170349538326263,0.26339057087898254,0.21721361577510834,0.24619564414024353,0.41536515951156616,0.02294878289103508,0.4130953550338745
