,what,contains,a,nearly,verbatim,of,parliamentary,debates,?
proceedings,0.22622688114643097,0.1925041675567627,0.18473224341869354,0.22424817085266113,0.29751935601234436,0.2803191840648651,0.37500712275505066,0.43097615242004395,0.17969121038913727
are,0.29724663496017456,0.4062691628932953,0.265255331993103,0.29865899682044983,0.22401262819766998,0.39081433415412903,0.1733841449022293,0.2259225845336914,0.24591213464736938
also,0.42747777700424194,0.32372650504112244,0.5149940252304077,0.29456230998039246,0.24585846066474915,0.4924938678741455,0.2181253880262375,0.2365485429763794,0.21848613023757935
recorded,0.17687608301639557,0.2208486795425415,0.21145537495613098,0.2817588448524475,0.19763518869876862,0.21896186470985413,0.12174029648303986,0.15439629554748535,0.19213420152664185
in,0.30808621644973755,0.28116101026535034,0.539380669593811,0.3414846360683441,0.14745701849460602,0.5696388483047485,0.2472391128540039,0.23210375010967255,0.20430970191955566
text,0.2818579077720642,0.1915753334760666,0.19656427204608917,0.13946528732776642,0.42356163263320923,0.18191257119178772,0.16845114529132843,0.19327697157859802,0.263901948928833
form,0.15868011116981506,0.22700586915016174,0.3088195323944092,0.19281691312789917,0.2759750783443451,0.29600051045417786,0.20087574422359467,0.18246813118457794,0.1463010311126709
",",0.3087472915649414,0.2243606001138687,0.427140474319458,0.3248783051967621,0.23446308076381683,0.4946078956127167,0.23071794211864471,0.23192787170410156,0.31091248989105225
in,0.30808621644973755,0.28116101026535034,0.539380669593811,0.3414846360683441,0.14745701849460602,0.5696388483047485,0.2472391128540039,0.23210375010967255,0.20430970191955566
print,0.2667001783847809,0.2074672132730484,0.197515606880188,0.14128495752811432,0.33531859517097473,0.1431523710489273,0.14223206043243408,0.17656105756759644,0.19833904504776
and,0.31309178471565247,0.27121078968048096,0.3739250600337982,0.380725234746933,0.20516952872276306,0.5116966962814331,0.30461975932121277,0.2613394856452942,0.20544172823429108
online,0.14688250422477722,0.20017582178115845,0.20674628019332886,0.13728293776512146,0.29709839820861816,0.19929544627666473,0.17607419192790985,0.3031378984451294,0.2474360167980194
",",0.3087472915649414,0.2243606001138687,0.427140474319458,0.3248783051967621,0.23446308076381683,0.4946078956127167,0.23071794211864471,0.23192787170410156,0.31091248989105225
in,0.30808621644973755,0.28116101026535034,0.539380669593811,0.3414846360683441,0.14745701849460602,0.5696388483047485,0.2472391128540039,0.23210375010967255,0.20430970191955566
the,0.42745697498321533,0.2846323549747467,0.5829201340675354,0.3409946858882904,0.21017691493034363,0.733189046382904,0.2708897888660431,0.2661968469619751,0.22068053483963013
official,0.18967986106872559,0.13628099858760834,0.19875815510749817,0.07404175400733948,0.14482510089874268,0.2864961326122284,0.2328498214483261,0.12238079309463501,0.18097688257694244
report,0.2868559956550598,0.17126093804836273,0.2148611694574356,0.20571479201316833,0.2948562204837799,0.22992923855781555,0.20677298307418823,0.3405231833457947,0.3138936758041382
",",0.3087472915649414,0.2243606001138687,0.427140474319458,0.3248783051967621,0.23446308076381683,0.4946078956127167,0.23071794211864471,0.23192787170410156,0.31091248989105225
which,0.5261979103088379,0.3896391689777374,0.56894451379776,0.42783236503601074,0.33804672956466675,0.5011631846427917,0.2640989124774933,0.2730225920677185,0.25814583897590637
is,0.28837618231773376,0.4272567629814148,0.658733606338501,0.268917441368103,0.274524062871933,0.4854315221309662,0.1731702983379364,0.21664585173130035,0.22961433231830597
the,0.42745697498321533,0.2846323549747467,0.5829201340675354,0.3409946858882904,0.21017691493034363,0.733189046382904,0.2708897888660431,0.2661968469619751,0.22068053483963013
substantially,0.3593144714832306,0.24164241552352905,0.2552991211414337,0.32358604669570923,0.3419085144996643,0.26305127143859863,0.15925271809101105,0.31828272342681885,0.2573455274105072
verbatim,0.32424741983413696,0.2948753833770752,0.28635215759277344,0.20719975233078003,1.0,0.18245026469230652,0.22016645967960358,0.35547640919685364,0.32618066668510437
transcript,0.19718605279922485,0.17679525911808014,0.17561087012290955,0.14706535637378693,0.3412608504295349,0.15086741745471954,0.2498733103275299,0.24090203642845154,0.19220328330993652
of,0.33290785551071167,0.34575599431991577,0.5052502155303955,0.3455437123775482,0.18245026469230652,1.0,0.33805084228515625,0.2293700873851776,0.1826142966747284
parliamentary,0.23120512068271637,0.13751523196697235,0.2278870940208435,0.19678397476673126,0.22016645967960358,0.33805084228515625,1.0,0.39465397596359253,0.1612216979265213
debates,0.2959657907485962,0.20785720646381378,0.25301557779312134,0.23273593187332153,0.35547640919685364,0.2293700873851776,0.39465397596359253,1.0000001192092896,0.23877738416194916
.,0.3567904531955719,0.22984972596168518,0.50484299659729,0.34087124466896057,0.207278311252594,0.5352458953857422,0.21747009456157684,0.2395041137933731,0.4130953550338745
