,what,entity,was,rumored,to,be,sold,by,abc,in,between,may,and,september,2005,?
between,0.2462156116962433,0.1725740134716034,0.24048170447349548,0.1424446552991867,0.3639189600944519,0.2079806923866272,0.15811842679977417,0.28115302324295044,0.07610002905130386,0.41100412607192993,0.9999999403953552,0.18371161818504333,0.40645647048950195,0.14484740793704987,0.020117824897170067,0.12887074053287506
may,0.25739946961402893,0.12395066767930984,0.3388521671295166,0.23071852326393127,0.391582727432251,0.45514434576034546,0.18805281817913055,0.1970296949148178,0.11823318153619766,0.3424151837825775,0.18371161818504333,0.9999998807907104,0.34598252177238464,0.5293977856636047,0.06543862819671631,0.2768254578113556
and,0.31309178471565247,0.20907706022262573,0.3740963041782379,0.2899439036846161,0.48971283435821533,0.41766801476478577,0.21832405030727386,0.4289871156215668,0.16453155875205994,0.4954058527946472,0.40645647048950195,0.34598252177238464,1.0,0.2902049422264099,0.05766887590289116,0.20544172823429108
september,0.2153792530298233,0.11218134313821793,0.4425655007362366,0.26777079701423645,0.22485187649726868,0.16678357124328613,0.17210866510868073,0.20146453380584717,0.23585575819015503,0.25402772426605225,0.14484740793704987,0.5293977856636047,0.2902049422264099,1.0,0.18097567558288574,0.2665146589279175
2005,0.0704459398984909,-0.021452641114592552,0.11356307566165924,0.09417759627103806,0.018235651776194572,0.008771408349275589,0.036287352442741394,0.07835020869970322,-0.0381508432328701,0.009931974112987518,0.020117824897170067,0.06543862819671631,0.05766887590289116,0.18097567558288574,1.0,0.10709824413061142
",",0.3087472915649414,0.19129666686058044,0.45456063747406006,0.2877874970436096,0.44245919585227966,0.39254459738731384,0.28121218085289,0.3680937886238098,0.2097204476594925,0.5201468467712402,0.27714940905570984,0.5007920861244202,0.6633074283599854,0.4139758348464966,0.11050146818161011,0.31091248989105225
rumors,0.24614384770393372,0.11373595148324966,0.2930603325366974,0.7348335385322571,0.21176490187644958,0.2024078369140625,0.18522216379642487,0.2139570415019989,0.19576320052146912,0.22423382103443146,0.08985093981027603,0.25357091426849365,0.2535654306411743,0.22587358951568604,0.08540251851081848,0.18250153958797455
circulated,0.14282314479351044,0.1978411078453064,0.24173951148986816,0.3234636187553406,0.1756521463394165,0.22764690220355988,0.3268783688545227,0.2554168701171875,0.14761877059936523,0.19781295955181122,0.17229287326335907,0.18328019976615906,0.2557949125766754,0.20046338438987732,-0.014152200892567635,0.0759977251291275
that,0.6297725439071655,0.29692912101745605,0.33670201897621155,0.33852246403694153,0.5436353087425232,0.6036020517349243,0.1977335810661316,0.37496164441108704,0.17440107464790344,0.435920387506485,0.299440860748291,0.4234136641025543,0.4731321930885315,0.1891760379076004,0.016139673069119453,0.32716336846351624
disney–abc,0.2614334523677826,0.22257794439792633,0.2638896405696869,0.33106115460395813,0.31463199853897095,0.292249470949173,0.29457056522369385,0.25787457823753357,0.4950595200061798,0.2635791003704071,0.16608677804470062,0.22432634234428406,0.29275235533714294,0.2179320603609085,-0.014718425460159779,0.2595943808555603
