,what,can,increase,the,tension,force,on,a,load,?
by,0.2455483376979828,0.29642900824546814,0.20121172070503235,0.4408751428127289,0.23650865256786346,0.24997374415397644,0.33887791633605957,0.32094135880470276,0.15190169215202332,0.17966607213020325
connecting,0.2097303718328476,0.18454940617084503,0.2561676800251007,0.36355212330818176,0.24872025847434998,0.13969242572784424,0.2897907793521881,0.2702370285987854,0.27043935656547546,0.0780353918671608
the,0.42745697498321533,0.312528520822525,0.32049667835235596,1.0,0.28513848781585693,0.2800885736942291,0.5107308030128479,0.5829201340675354,0.1801917552947998,0.22068053483963013
same,0.3764382302761078,0.3393253982067108,0.2996077239513397,0.4583131968975067,0.19011211395263672,0.22107502818107605,0.39247995615005493,0.4048157036304474,0.19862854480743408,0.22649677097797394
string,0.17737996578216553,0.19681358337402344,0.10398108512163162,0.19217795133590698,0.32030189037323,0.18504180014133453,0.10538110136985779,0.1667976677417755,0.28173330426216125,0.16560307145118713
multiple,0.19839626550674438,0.29629233479499817,0.23887676000595093,0.20022359490394592,0.14377067983150482,0.12905102968215942,0.2717284858226776,0.23904410004615784,0.2182445228099823,0.1591399908065796
times,0.21414996683597565,0.20370972156524658,0.20623186230659485,0.29093852639198303,0.15681910514831543,0.1571890264749527,0.21426425874233246,0.2745400369167328,0.14665886759757996,0.18880689144134521
to,0.455847829580307,0.4979398250579834,0.3378143310546875,0.535392165184021,0.29600581526756287,0.24496492743492126,0.41031414270401,0.45503583550453186,0.21808886528015137,0.29463258385658264
the,0.42745697498321533,0.312528520822525,0.32049667835235596,1.0,0.28513848781585693,0.2800885736942291,0.5107308030128479,0.5829201340675354,0.1801917552947998,0.22068053483963013
same,0.3764382302761078,0.3393253982067108,0.2996077239513397,0.4583131968975067,0.19011211395263672,0.22107502818107605,0.39247995615005493,0.4048157036304474,0.19862854480743408,0.22649677097797394
object,0.25733083486557007,0.39869454503059387,0.2732764184474945,0.22418850660324097,0.316694438457489,0.32587239146232605,0.18476571142673492,0.3271922171115875,0.328928142786026,0.19573666155338287
through,0.23167094588279724,0.33144164085388184,0.25809821486473083,0.44071322679519653,0.2320099025964737,0.20056840777397156,0.32785001397132874,0.3399752974510193,0.29310157895088196,0.16913433372974396
the,0.42745697498321533,0.312528520822525,0.32049667835235596,1.0,0.28513848781585693,0.2800885736942291,0.5107308030128479,0.5829201340675354,0.1801917552947998,0.22068053483963013
use,0.3453877568244934,0.5362023711204529,0.33915990591049194,0.34342584013938904,0.19070683419704437,0.20234666764736176,0.2776605486869812,0.30793872475624084,0.3048137128353119,0.32795652747154236
of,0.33290785551071167,0.2603091299533844,0.3156060576438904,0.733189046382904,0.21522673964500427,0.27094775438308716,0.3966929316520691,0.5052502155303955,0.1411849856376648,0.1826142966747284
a,0.3320399522781372,0.3915780484676361,0.24428929388523102,0.5829201340675354,0.25594884157180786,0.2451154738664627,0.3848365545272827,1.0,0.2152426838874817,0.23916715383529663
