,how,many,refugees,emigrated,to,the,dutch,republic,?
after,0.23871733248233795,0.2586410939693451,0.21363522112369537,0.27872180938720703,0.37890323996543884,0.4565047025680542,0.15560926496982574,0.21343305706977844,0.16608688235282898
the,0.33890387415885925,0.4335206151008606,0.2474880963563919,0.24469347298145294,0.535392165184021,1.0,0.1705695390701294,0.2862427830696106,0.22068053483963013
revocation,0.2353886514902115,0.14505857229232788,0.2884339392185211,0.15502695739269257,0.306398868560791,0.28586745262145996,0.11152150481939316,0.20876269042491913,0.32403331995010376
of,0.2480744868516922,0.37253960967063904,0.1848231703042984,0.21708126366138458,0.41548454761505127,0.733189046382904,0.14408773183822632,0.2802940905094147,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2474880963563919,0.24469347298145294,0.535392165184021,1.0,0.1705695390701294,0.2862427830696106,0.22068053483963013
edict,0.2042292058467865,0.2133081704378128,0.27711600065231323,0.22027115523815155,0.22104638814926147,0.17931364476680756,0.15055905282497406,0.26613274216651917,0.16218337416648865
of,0.2480744868516922,0.37253960967063904,0.1848231703042984,0.21708126366138458,0.41548454761505127,0.733189046382904,0.14408773183822632,0.2802940905094147,0.1826142966747284
nantes,0.14781832695007324,0.15912210941314697,0.18013039231300354,0.18665951490402222,0.22604770958423615,0.20705030858516693,0.1826292872428894,0.1747351735830307,0.15215469896793365
",",0.22659391164779663,0.40610817074775696,0.18526069819927216,0.3080633282661438,0.44245919585227966,0.4933079481124878,0.23674406111240387,0.24418231844902039,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.2474880963563919,0.24469347298145294,0.535392165184021,1.0,0.1705695390701294,0.2862427830696106,0.22068053483963013
dutch,0.14990761876106262,0.13524720072746277,0.18563847243785858,0.1652415245771408,0.1383991241455078,0.1705695390701294,0.9999999403953552,0.21594777703285217,0.1081366017460823
republic,0.13332577049732208,0.17428496479988098,0.2593606412410736,0.22705015540122986,0.17235471308231354,0.2862427830696106,0.21594777703285217,0.9999999403953552,0.16880398988723755
received,0.09265316277742386,0.2257511019706726,0.25680333375930786,0.281342476606369,0.18226240575313568,0.24890556931495667,0.13066355884075165,0.05847512558102608,0.11905962228775024
the,0.33890387415885925,0.4335206151008606,0.2474880963563919,0.24469347298145294,0.535392165184021,1.0,0.1705695390701294,0.2862427830696106,0.22068053483963013
largest,0.08743762224912643,0.23644231259822845,0.14617009460926056,0.20127442479133606,0.18687231838703156,0.3757036626338959,0.09616466611623764,0.2425445169210434,0.12401245534420013
group,0.15481124818325043,0.2776661217212677,0.18581844866275787,0.16780206561088562,0.2672896385192871,0.30795547366142273,0.15710918605327606,0.16868659853935242,0.13827809691429138
of,0.2480744868516922,0.37253960967063904,0.1848231703042984,0.21708126366138458,0.41548454761505127,0.733189046382904,0.14408773183822632,0.2802940905094147,0.1826142966747284
huguenot,0.17130905389785767,0.24653638899326324,0.3226073086261749,0.30406203866004944,0.24496324360370636,0.29557526111602783,0.39192789793014526,0.2274702787399292,0.1359742432832718
refugees,0.14474034309387207,0.2406860738992691,1.0,0.43291714787483215,0.24055486917495728,0.2474880963563919,0.18563847243785858,0.2593606412410736,0.10817430168390274
",",0.22659391164779663,0.40610817074775696,0.18526069819927216,0.3080633282661438,0.44245919585227966,0.4933079481124878,0.23674406111240387,0.24418231844902039,0.31091248989105225
an,0.2520636022090912,0.2465583086013794,0.10094741731882095,0.13097457587718964,0.3138085603713989,0.4207492768764496,0.12204162031412125,0.15037979185581207,0.19793890416622162
estimated,0.21406520903110504,0.25811848044395447,0.27209386229515076,0.2375955730676651,0.2046545445919037,0.29184040427207947,0.07064615935087204,0.20973169803619385,0.18149758875370026
total,0.22199897468090057,0.2912171483039856,0.11049387603998184,0.12483888864517212,0.22792020440101624,0.27068960666656494,0.12426314502954483,0.20176826417446136,0.14396025240421295
of,0.2480744868516922,0.37253960967063904,0.1848231703042984,0.21708126366138458,0.41548454761505127,0.733189046382904,0.14408773183822632,0.2802940905094147,0.1826142966747284
"75,000",-0.03749097138643265,-0.022200820967555046,0.032556451857089996,0.0625477135181427,0.01523554790765047,0.10290729999542236,0.1021919697523117,-0.007268666289746761,0.026292284950613976
to,0.44169697165489197,0.40243685245513916,0.24055486917495728,0.2400704175233841,1.0,0.535392165184021,0.1383991241455078,0.17235471308231354,0.29463258385658264
"100,000",0.10288455337285995,0.007480822503566742,-0.13661590218544006,-0.06766248494386673,0.10855402797460556,0.12082944065332413,0.0353969968855381,-0.029007818549871445,0.035472359508275986
people,0.2932034730911255,0.4171447455883026,0.3616764545440674,0.2372407466173172,0.37275731563568115,0.36838498711586,0.09508020430803299,0.26806291937828064,0.23739641904830933
.,0.3287222981452942,0.3974229395389557,0.20494338870048523,0.27369463443756104,0.4645031690597534,0.5934505462646484,0.2196396291255951,0.23547469079494476,0.4130953550338745
