,what,type,of,manufacturing,plant,is,victoria,soon,losing,?
historically,0.26125624775886536,0.15742838382720947,0.30144402384757996,0.2907136380672455,0.19105064868927002,0.312755286693573,0.11826910823583603,0.13032352924346924,0.12311360239982605,0.10566957294940948
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24209043383598328,0.25194862484931946,0.4691906273365021,0.2279360294342041,0.33847981691360474,0.2863842844963074,0.31091248989105225
victoria,0.1194850504398346,0.1476583331823349,0.2505437433719635,0.10239111632108688,0.14971517026424408,0.1633591204881668,1.0,0.15516985952854156,0.164550319314003,0.12246892601251602
has,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.198152557015419,0.18345318734645844,0.5668748617172241,0.12203460186719894,0.19481372833251953,0.22805403172969818,0.15994466841220856
been,0.2567804455757141,0.19062602519989014,0.31685134768486023,0.17079970240592957,0.22371040284633636,0.39566612243652344,0.1549891233444214,0.29404085874557495,0.1663920283317566,0.24354910850524902
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25165510177612305,0.28395459055900574,0.5823672413825989,0.2204313427209854,0.3431394100189209,0.3114689588546753,0.22068053483963013
base,0.1336955726146698,0.10858991742134094,0.23717565834522247,0.1618906557559967,0.19164198637008667,0.28868359327316284,0.09450877457857132,0.10511361062526703,0.1139657124876976,0.10518061369657516
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.26200976967811584,0.18604038655757904,0.43268078565597534,0.18287640810012817,0.3119761347770691,0.29568612575531006,0.264628142118454
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25165510177612305,0.28395459055900574,0.5823672413825989,0.2204313427209854,0.3431394100189209,0.3114689588546753,0.22068053483963013
manufacturing,0.1945977807044983,0.1703319549560547,0.26644885540008545,1.0,0.30798134207725525,0.19076082110404968,0.10239111632108688,0.23091690242290497,0.1592729687690735,0.11596895009279251
plants,0.25144460797309875,0.21190354228019714,0.29386165738105774,0.2769615650177002,0.8344468474388123,0.2423158437013626,0.20050090551376343,0.16007067263126373,0.12233377993106842,0.1473488062620163
of,0.33290785551071167,0.18112817406654358,1.0,0.26644885540008545,0.26645857095718384,0.4854315221309662,0.2505437433719635,0.23495697975158691,0.2693577706813812,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25165510177612305,0.28395459055900574,0.5823672413825989,0.2204313427209854,0.3431394100189209,0.3114689588546753,0.22068053483963013
major,0.21026742458343506,0.12121699005365372,0.2641255557537079,0.2310691773891449,0.16050483286380768,0.19079607725143433,0.10960465669631958,0.18695420026779175,0.1785031408071518,0.19788557291030884
car,0.17601905763149261,0.11790666729211807,0.1781313419342041,0.30642765760421753,0.22337165474891663,0.20412348210811615,0.12522701919078827,0.17062042653560638,0.17094284296035767,0.19800566136837006
brands,0.1123192086815834,0.13175778090953827,0.16916640102863312,0.36329153180122375,0.1950535923242569,0.12637744843959808,0.20209051668643951,0.11213202029466629,0.17260770499706268,0.12772762775421143
ford,0.12612242996692657,0.09423113614320755,0.2179923951625824,0.272216260433197,0.13019907474517822,0.14988628029823303,0.21436110138893127,0.21152476966381073,0.13599255681037903,0.19164219498634338
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24209043383598328,0.25194862484931946,0.4691906273365021,0.2279360294342041,0.33847981691360474,0.2863842844963074,0.31091248989105225
toyota,0.12852390110492706,0.05684515833854675,0.1666925847530365,0.3828045129776001,0.23358818888664246,0.16949312388896942,0.1603408008813858,0.16051660478115082,0.1703556776046753,0.06279262900352478
