,what,did,the,dutch,health,authorities,regard,as,unnecessary,in,geraets-smits,v,stichting,ziekenfonds,?
the,0.42745697498321533,0.34736719727516174,1.0,0.1705695390701294,0.2340974360704422,0.2784515917301178,0.30657511949539185,0.48381632566452026,0.24483802914619446,0.6662389636039734,0.31006374955177307,0.18580520153045654,0.2506367862224579,0.2867904007434845,0.22068053483963013
dutch,0.1643560230731964,0.1729682981967926,0.1705695390701294,0.9999999403953552,0.08660252392292023,0.1911247819662094,0.11131015419960022,0.20572681725025177,0.06844501942396164,0.17559829354286194,0.3913305401802063,0.06204941123723984,0.4528513550758362,0.3223365545272827,0.1081366017460823
health,0.21460163593292236,0.21597589552402496,0.2340974360704422,0.08660252392292023,1.0000001192092896,0.2824467718601227,0.2878621220588684,0.22845706343650818,0.21159744262695312,0.2500189542770386,0.2774891257286072,0.1334613412618637,0.19751761853694916,0.18935109674930573,0.16094304621219635
authorities,0.23251837491989136,0.30031415820121765,0.2784515917301178,0.1911247819662094,0.2824467718601227,1.0,0.330387145280838,0.21479462087154388,0.24271629750728607,0.2868952453136444,0.2489207684993744,0.08228515833616257,0.24924419820308685,0.24893009662628174,0.17285770177841187
regarded,0.19386208057403564,0.20842264592647552,0.28921735286712646,0.1270119994878769,0.15232481062412262,0.23301318287849426,0.6509971022605896,0.36671122908592224,0.15318608283996582,0.22748704254627228,0.19896294176578522,0.05467522516846657,0.1951673924922943,0.1913711279630661,0.1741991639137268
the,0.42745697498321533,0.34736719727516174,1.0,0.1705695390701294,0.2340974360704422,0.2784515917301178,0.30657511949539185,0.48381632566452026,0.24483802914619446,0.6662389636039734,0.31006374955177307,0.18580520153045654,0.2506367862224579,0.2867904007434845,0.22068053483963013
treatment,0.27640530467033386,0.21794238686561584,0.2350214421749115,0.18157847225666046,0.4410880208015442,0.22614723443984985,0.24493256211280823,0.26479050517082214,0.21897612512111664,0.21588237583637238,0.19479607045650482,0.03334896266460419,0.23803064227104187,0.13261081278324127,0.20314443111419678
unnecessary,0.38393840193748474,0.22907306253910065,0.24483802914619446,0.06844501942396164,0.21159744262695312,0.24271629750728607,0.2991352081298828,0.2934918701648712,1.0,0.2094745635986328,0.1465941071510315,0.16524921357631683,0.16058151423931122,0.17426075041294098,0.37911662459373474
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.23674406111240387,0.2331448197364807,0.24295401573181152,0.3138519823551178,0.48816442489624023,0.2632220387458801,0.5201468467712402,0.33966678380966187,0.22053663432598114,0.2903977334499359,0.3623892068862915,0.31091248989105225
so,0.539469838142395,0.43696269392967224,0.4296516180038452,0.19932228326797485,0.20414696633815765,0.263654500246048,0.30361613631248474,0.4399555027484894,0.45495155453681946,0.31275880336761475,0.19833636283874512,0.1656496375799179,0.16898730397224426,0.23962831497192383,0.43163934350013733
she,0.23844075202941895,0.2624691426753998,0.36308351159095764,0.16468942165374756,0.2724597156047821,0.14443136751651764,0.15375842154026031,0.2982937693595886,0.13256387412548065,0.39094278216362,0.26494264602661133,0.0828113779425621,0.15739327669143677,0.22481925785541534,0.14223381876945496
argued,0.31776854395866394,0.40107595920562744,0.1919303685426712,0.1413227915763855,0.19230356812477112,0.36621254682540894,0.399151086807251,0.19280844926834106,0.17104533314704895,0.16827838122844696,0.24214570224285126,0.18264780938625336,0.26619070768356323,0.13873273134231567,0.18905270099639893
this,0.5489566326141357,0.3609912693500519,0.6274310946464539,0.1736011654138565,0.2517184317111969,0.2683684229850769,0.32667115330696106,0.43993282318115234,0.46053987741470337,0.45205554366111755,0.21354295313358307,0.20022960007190704,0.2328273057937622,0.1998007744550705,0.3155723512172699
restricted,0.24043217301368713,0.20861072838306427,0.26228615641593933,0.08052793890237808,0.2502710819244385,0.32066062092781067,0.3772059381008148,0.2518855333328247,0.33097049593925476,0.2318386733531952,0.20761995017528534,0.12332996726036072,0.1902044713497162,0.22998562455177307,0.16540619730949402
