,how,else,can,petrologists,understand,the,temperature,at,which,different,mineral,phases,appear,?
petrologists,0.31072255969047546,0.16855493187904358,0.29045093059539795,1.0000001192092896,0.3276180922985077,0.2966664731502533,0.2439611703157425,0.12232958525419235,0.2748376131057739,0.33605557680130005,0.33023664355278015,0.27065351605415344,0.18380382657051086,0.2127402275800705
can,0.49246567487716675,0.38691481947898865,1.0,0.29045093059539795,0.38971054553985596,0.312528520822525,0.33041319251060486,0.16641086339950562,0.41132649779319763,0.4908648133277893,0.2655729353427887,0.3199807107448578,0.30377018451690674,0.3226337134838104
also,0.43506327271461487,0.27389147877693176,0.4861826002597809,0.2931685149669647,0.3511672019958496,0.6021018624305725,0.23163153231143951,0.36980849504470825,0.6566565632820129,0.4637097120285034,0.23387876152992249,0.25734028220176697,0.33279478549957275,0.21848613023757935
use,0.39296725392341614,0.32033613324165344,0.5362023711204529,0.2926344871520996,0.4511431157588959,0.34342584013938904,0.2556682229042053,0.22117964923381805,0.39254313707351685,0.4095414876937866,0.18136587738990784,0.24097488820552826,0.39404281973838806,0.32795652747154236
fluid,0.2717556357383728,0.16561630368232727,0.31651830673217773,0.2735004723072052,0.29513564705848694,0.23256433010101318,0.37375083565711975,0.1612268090248108,0.28319084644317627,0.20377476513385773,0.3102404773235321,0.3089427947998047,0.16839182376861572,0.18212400376796722
inclusion,0.29049381613731384,0.2757152020931244,0.2968820035457611,0.23184947669506073,0.40004658699035645,0.28706976771354675,0.213758647441864,0.1530577689409256,0.3106960952281952,0.2883734107017517,0.2750251591205597,0.2225808948278427,0.3357013463973999,0.34393295645713806
data,0.2773200571537018,0.182486891746521,0.21799646317958832,0.19889552891254425,0.26788321137428284,0.20546740293502808,0.1931484043598175,0.1966259479522705,0.23669208586215973,0.22273503243923187,0.1934404969215393,0.2769482433795929,0.17610827088356018,0.17909851670265198
and,0.33647966384887695,0.2664144039154053,0.3675691485404968,0.19473004341125488,0.3232683539390564,0.5171257257461548,0.2216416299343109,0.3571503460407257,0.506277859210968,0.39536112546920776,0.20232945680618286,0.2951827645301819,0.28562283515930176,0.20544172823429108
perform,0.29445943236351013,0.24884243309497833,0.21370366215705872,0.15906530618667603,0.2636176645755768,0.22443658113479614,0.16393885016441345,0.21709223091602325,0.29914236068725586,0.23647765815258026,0.07506303489208221,0.18643198907375336,0.25474587082862854,0.13460582494735718
high,0.16700881719589233,0.1242780014872551,0.24255423247814178,0.07036184519529343,0.10926692187786102,0.28034812211990356,0.28133922815322876,0.2874184250831604,0.25426656007766724,0.23259232938289642,0.18155135214328766,0.13758355379104614,0.15830913186073303,0.11137914657592773
temperature,0.26406702399253845,0.2001718282699585,0.33041319251060486,0.2439611703157425,0.19831953942775726,0.27585095167160034,1.0000001192092896,0.20168545842170715,0.29479682445526123,0.2386145144701004,0.3305984437465668,0.25636616349220276,0.19697080552577972,0.2011885941028595
