,what,do,statements,from,the,po,and,member,in,charge,of,the,bill,also,indicate,?
statements,0.36506614089012146,0.2781953513622284,1.0,0.18621398508548737,0.20045673847198486,0.02969011664390564,0.2422226220369339,0.11183308064937592,0.17092663049697876,0.1993977427482605,0.19305990636348724,0.20045673847198486,0.1834847629070282,0.27732735872268677,0.29440510272979736,0.28064221143722534
from,0.2737620174884796,0.20424067974090576,0.18621398508548737,1.0,0.40150508284568787,0.1472863256931305,0.3601827025413513,0.24533385038375854,0.4274188280105591,0.12239551544189453,0.4249346852302551,0.40150508284568787,0.0669635534286499,0.33783096075057983,0.2311631739139557,0.19969791173934937
the,0.42745697498321533,0.30239659547805786,0.20045673847198486,0.40150508284568787,1.0,0.1867695450782776,0.5171257257461548,0.2806392312049866,0.6662389636039734,0.2730984687805176,0.733189046382904,1.0,0.24155211448669434,0.6021018624305725,0.2430160641670227,0.22068053483963013
presiding,0.21225658059120178,0.15411007404327393,0.2276836335659027,0.20074374973773956,0.3267684876918793,0.05917554721236229,0.2103288769721985,0.3018741309642792,0.21499644219875336,0.2546314299106598,0.3004159927368164,0.3267684876918793,0.1997653990983963,0.18273694813251495,0.15735037624835968,0.177648663520813
officer,0.18551595509052277,0.12767575681209564,0.1299944818019867,0.14622929692268372,0.25777485966682434,0.11011765152215958,0.22929392755031586,0.29309824109077454,0.24015754461288452,0.3206122815608978,0.23883900046348572,0.25777485966682434,0.15432092547416687,0.1805957555770874,0.15861177444458008,0.119948610663414
and,0.31309178471565247,0.276123583316803,0.2422226220369339,0.3601827025413513,0.5171257257461548,0.18345533311367035,1.0,0.28606608510017395,0.4954058527946472,0.238192617893219,0.5116966962814331,0.5171257257461548,0.24696701765060425,0.5755972862243652,0.22519426047801971,0.20544172823429108
the,0.42745697498321533,0.30239659547805786,0.20045673847198486,0.40150508284568787,1.0,0.1867695450782776,0.5171257257461548,0.2806392312049866,0.6662389636039734,0.2730984687805176,0.733189046382904,1.0,0.24155211448669434,0.6021018624305725,0.2430160641670227,0.22068053483963013
member,0.09932345896959305,0.07755962759256363,0.11183308064937592,0.24533385038375854,0.2806392312049866,0.0920587033033371,0.28606608510017395,0.9999998807907104,0.20856694877147675,0.20353926718235016,0.2701796889305115,0.2806392312049866,0.17437314987182617,0.2834150791168213,0.0753721371293068,0.06826172769069672
in,0.30808621644973755,0.23402775824069977,0.17092663049697876,0.4274188280105591,0.6662389636039734,0.13601161539554596,0.4954058527946472,0.20856694877147675,1.0,0.22046200931072235,0.5696388483047485,0.6662389636039734,0.1447519063949585,0.5073733329772949,0.21759656071662903,0.20430970191955566
charge,0.23255030810832977,0.16605065762996674,0.1993977427482605,0.12239551544189453,0.2730984687805176,0.07521544396877289,0.238192617893219,0.20353926718235016,0.22046200931072235,0.9999998807907104,0.27586498856544495,0.2730984687805176,0.08953560143709183,0.2357143610715866,0.09889142960309982,0.0958876758813858
of,0.33290785551071167,0.26150479912757874,0.19305990636348724,0.4249346852302551,0.733189046382904,0.17525362968444824,0.5116966962814331,0.2701796889305115,0.5696388483047485,0.27586498856544495,1.0,0.733189046382904,0.17127205431461334,0.4924938678741455,0.25098979473114014,0.1826142966747284
