,how,long,has,the,african,great,lakes,region,been,inhabited,?
the,0.33890387415885925,0.3075225353240967,0.4177538752555847,1.0,0.23305515944957733,0.2822027802467346,0.26104623079299927,0.35020557045936584,0.3563927710056305,0.2579440772533417,0.22068053483963013
african,0.12331631779670715,0.1169586107134819,0.17663578689098358,0.23305515944957733,1.0000001192092896,0.22924786806106567,0.15007930994033813,0.12290450930595398,0.13911446928977966,0.07296872138977051,0.11862778663635254
great,0.20413632690906525,0.22639094293117523,0.179184690117836,0.2822027802467346,0.22924786806106567,1.0,0.3739132583141327,0.1109301894903183,0.1965983361005783,0.11812026798725128,0.13135133683681488
lakes,0.09607591480016708,0.1834704726934433,0.22037915885448456,0.26104623079299927,0.15007930994033813,0.3739132583141327,1.0000001192092896,0.23642461001873016,0.14823345839977264,0.2803434729576111,0.12022668123245239
region,0.15155482292175293,0.19633932411670685,0.18160095810890198,0.35020557045936584,0.12290450930595398,0.1109301894903183,0.23642461001873016,1.0,0.19947682321071625,0.3469298779964447,0.13441751897335052
",",0.22659391164779663,0.3431144952774048,0.3734780251979828,0.4933079481124878,0.25119030475616455,0.29579275846481323,0.3026047348976135,0.2119160145521164,0.34873589873313904,0.19752568006515503,0.31091248989105225
which,0.4852597713470459,0.34186381101608276,0.4350704550743103,0.6521818041801453,0.17172859609127045,0.2356490194797516,0.24832318723201752,0.2328231930732727,0.36993977427482605,0.23241794109344482,0.25814583897590637
kenya,0.17591707408428192,0.12955783307552338,0.18851779401302338,0.21657514572143555,0.3880566954612732,0.13158999383449554,0.22732360661029816,0.21596790850162506,0.17481857538223267,0.15944646298885345,0.17197901010513306
is,0.22544461488723755,0.28473302721977234,0.5668748617172241,0.5823672413825989,0.17217126488685608,0.1345067322254181,0.23885010182857513,0.3317503035068512,0.39566612243652344,0.2244061976671219,0.22961433231830597
a,0.29312583804130554,0.3795371353626251,0.4670248031616211,0.5829201340675354,0.17609646916389465,0.21836373209953308,0.21939407289028168,0.23209655284881592,0.3315402865409851,0.19336862862110138,0.23916715383529663
part,0.218691885471344,0.3009910583496094,0.33699411153793335,0.527681291103363,0.15725934505462646,0.23595556616783142,0.21959993243217468,0.33727937936782837,0.21233350038528442,0.331318199634552,0.08557961881160736
of,0.2480744868516922,0.2567519545555115,0.3909035325050354,0.733189046382904,0.23470255732536316,0.3168134391307831,0.3004763126373291,0.2852717339992523,0.31685134768486023,0.2573133707046509,0.1826142966747284
",",0.22659391164779663,0.3431144952774048,0.3734780251979828,0.4933079481124878,0.25119030475616455,0.29579275846481323,0.3026047348976135,0.2119160145521164,0.34873589873313904,0.19752568006515503,0.31091248989105225
has,0.26820555329322815,0.2952231168746948,1.0,0.4177538752555847,0.17663578689098358,0.179184690117836,0.22037915885448456,0.18160095810890198,0.6162750124931335,0.28402310609817505,0.15994466841220856
been,0.26456597447395325,0.3324016332626343,0.6162750124931335,0.3563927710056305,0.13911446928977966,0.1965983361005783,0.14823345839977264,0.19947682321071625,0.9999998807907104,0.30828484892845154,0.24354910850524902
inhabited,0.09796980023384094,0.23126240074634552,0.28402310609817505,0.2579440772533417,0.07296872138977051,0.11812026798725128,0.2803434729576111,0.3469298779964447,0.30828484892845154,1.0,0.12792479991912842
by,0.34370526671409607,0.17269869148731232,0.3254803419113159,0.4408751428127289,0.20517359673976898,0.1775381863117218,0.15476423501968384,0.15175513923168182,0.39107078313827515,0.18035142123699188,0.17966607213020325
humans,0.33574965596199036,0.24964399635791779,0.26082155108451843,0.29565489292144775,0.23485343158245087,0.1955420821905136,0.19955216348171234,0.13948053121566772,0.25514644384384155,0.3302080035209656,0.20141740143299103
since,0.2347431182861328,0.2609017491340637,0.5216675996780396,0.4054957628250122,0.1366267204284668,0.16679129004478455,0.1498241424560547,0.17469878494739532,0.6581953763961792,0.3142782747745514,0.2876587212085724
the,0.33890387415885925,0.3075225353240967,0.4177538752555847,1.0,0.23305515944957733,0.2822027802467346,0.26104623079299927,0.35020557045936584,0.3563927710056305,0.2579440772533417,0.22068053483963013
lower,0.1727292835712433,0.15217943489551544,0.18122337758541107,0.3463275134563446,0.07726661115884781,0.11086972057819366,0.16068440675735474,0.22370709478855133,0.1658165156841278,0.17225466668605804,0.08471795171499252
paleolithic,0.22239258885383606,0.22513563930988312,0.18728452920913696,0.2643760144710541,0.1797816902399063,0.17664913833141327,0.2618750333786011,0.2975400984287262,0.28017881512641907,0.39729321002960205,0.20101572573184967
period,0.22695960104465485,0.3220607340335846,0.1387886255979538,0.3125074505805969,0.07402201741933823,0.2254979908466339,0.1461091935634613,0.21317309141159058,0.22201748192310333,0.18799255788326263,0.18706195056438446
.,0.3287222981452942,0.3247973620891571,0.4105546176433563,0.5934505462646484,0.22406414151191711,0.2178412526845932,0.25083380937576294,0.2506107687950134,0.33645182847976685,0.17485760152339935,0.4130953550338745
