,who,was,the,leader,of,russia,in,the,1960,'s,?
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.16914516687393188,0.41827285289764404,0.22580650448799133,0.4080928862094879,0.4223487675189972,-0.00023775920271873474,-0.04624466598033905,0.2433311939239502
the,0.3733934462070465,0.48711544275283813,1.0,0.27799519896507263,0.733189046382904,0.2746676802635193,0.6662389636039734,1.0,0.038049813359975815,-0.01540423184633255,0.22068053483963013
beginning,0.25200510025024414,0.35191401839256287,0.49622642993927,0.1957884430885315,0.36558160185813904,0.1526428461074829,0.3787442147731781,0.49622642993927,-0.025719385594129562,-0.03033691644668579,0.19413669407367706
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.24122127890586853,1.0,0.23331232368946075,0.5696388483047485,0.733189046382904,0.05807475745677948,-0.03817026689648628,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.27799519896507263,0.733189046382904,0.2746676802635193,0.6662389636039734,1.0,0.038049813359975815,-0.01540423184633255,0.22068053483963013
new,0.2378052920103073,0.2748313844203949,0.3845241069793701,0.19141700863838196,0.343457967042923,0.19918635487556458,0.3758552670478821,0.3845241069793701,-0.005861292593181133,-0.008355522528290749,0.14782847464084625
era,0.15054962038993835,0.24523797631263733,0.266272634267807,0.20717887580394745,0.20396220684051514,0.1583232432603836,0.19679902493953705,0.266272634267807,0.06013581529259682,-0.020187029615044594,0.14369545876979828
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.23893310129642487,0.4946078956127167,0.2660351097583771,0.5201468467712402,0.4933079481124878,0.07487643510103226,-0.0016132977325469255,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.27799519896507263,0.733189046382904,0.2746676802635193,0.6662389636039734,1.0,0.038049813359975815,-0.01540423184633255,0.22068053483963013
after,0.32549580931663513,0.49306565523147583,0.4565047025680542,0.28646817803382874,0.3867455720901489,0.18595358729362488,0.44050168991088867,0.4565047025680542,-0.03511400520801544,-0.055672239512205124,0.16608688235282898
stalin,0.24419116973876953,0.27855607867240906,0.2578454315662384,0.3357315957546234,0.18113671243190765,0.4370453953742981,0.19074957072734833,0.2578454315662384,0.0067085870541632175,0.10266343504190445,0.16725970804691315
period,0.2116105854511261,0.2820133864879608,0.3125074505805969,0.18840144574642181,0.2698146104812622,0.15134869515895844,0.23051127791404724,0.3125074505805969,-0.029895145446062088,-0.05741342157125473,0.18706195056438446
