,who,calculated,the,speed,of,light,?
notable,0.23320899903774261,0.1373230516910553,0.20948168635368347,0.18584047257900238,0.1985267549753189,0.17480891942977905,0.31928157806396484
faculty,0.1587153673171997,0.10332205891609192,0.19605974853038788,0.11395394802093506,0.28538843989372253,0.0992344468832016,0.04951627925038338
in,0.2792111933231354,0.1267705261707306,0.6662389636039734,0.2239796668291092,0.5696388483047485,0.1819845736026764,0.20430970191955566
physics,0.14691244065761566,0.30043667554855347,0.17952929437160492,0.2512814700603485,0.2395489662885666,0.23136572539806366,0.1470423936843872
have,0.39246654510498047,0.266934335231781,0.40389683842658997,0.21739815175533295,0.3802283704280853,0.24563387036323547,0.32991164922714233
included,0.19250646233558655,0.21593642234802246,0.3825419843196869,0.13593165576457977,0.4391688108444214,0.11829710006713867,0.14385655522346497
the,0.3733934462070465,0.2651555836200714,1.0,0.2310667634010315,0.733189046382904,0.2649136185646057,0.22068053483963013
speed,0.14901922643184662,0.2983285188674927,0.2310667634010315,0.9999999403953552,0.1947416365146637,0.36878901720046997,0.17392314970493317
of,0.2827862501144409,0.26214921474456787,0.733189046382904,0.1947416365146637,1.0,0.18257063627243042,0.1826142966747284
light,0.16200783848762512,0.21927103400230408,0.2649136185646057,0.36878901720046997,0.18257063627243042,0.9999998807907104,0.17429810762405396
calculator,0.2052597850561142,0.7579365968704224,0.1913321614265442,0.3398571014404297,0.1975693553686142,0.1873442530632019,0.19662337005138397
a,0.36608949303627014,0.2246377021074295,0.5829201340675354,0.2531464993953705,0.5052502155303955,0.2622554302215576,0.23916715383529663
.,0.3541337847709656,0.23825927078723907,0.5934505462646484,0.20181311666965485,0.5352458953857422,0.2497042715549469,0.4130953550338745
