,what,is,a,type,of,disobedience,against,the,federal,government,?
some,0.4491020441055298,0.3038453459739685,0.34539633989334106,0.2761056125164032,0.4300730526447296,0.28606411814689636,0.20105592906475067,0.4566698372364044,0.16939295828342438,0.2568245828151703,0.2562315762042999
forms,0.16334041953086853,0.35419854521751404,0.31878992915153503,0.3143154978752136,0.33835989236831665,0.23619376122951508,0.22592520713806152,0.2950737178325653,0.16407185792922974,0.1954672932624817,0.1196754202246666
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.18112817406654358,1.0,0.31932318210601807,0.2669808566570282,0.733189046382904,0.264590859413147,0.3475167155265808,0.1826142966747284
civil,0.15091551840305328,0.16941262781620026,0.21693918108940125,0.05067194625735283,0.24698495864868164,0.5442691445350647,0.22722691297531128,0.2477465271949768,0.2550850510597229,0.30626749992370605,0.1494513899087906
disobedience,0.3298627436161041,0.21453623473644257,0.25352153182029724,0.13337014615535736,0.31932318210601807,1.0,0.3858777582645416,0.30963727831840515,0.2594875991344452,0.39617401361465454,0.19890835881233215
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.1804078221321106,0.4946078956127167,0.2878543734550476,0.31168749928474426,0.4933079481124878,0.2547801733016968,0.27344048023223877,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.2706976532936096,0.2636772096157074,0.3209529519081116,0.20085255801677704,0.20227466523647308,0.3575236201286316,0.12675951421260834,0.13764050602912903,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.19307732582092285,0.3886612355709076,0.25773370265960693,0.24545185267925262,0.48381632566452026,0.19510364532470703,0.1883569210767746,0.27043893933296204
illegal,0.21956031024456024,0.17237605154514313,0.20074772834777832,0.1518467217683792,0.19375135004520416,0.35090160369873047,0.3219042718410492,0.18815846741199493,0.25685879588127136,0.2657006084918976,0.1562941074371338
boycotts,0.16994649171829224,0.11944596469402313,0.1383412927389145,0.05579807981848717,0.19417281448841095,0.46084728837013245,0.3312786817550659,0.2391580045223236,0.25475552678108215,0.30239972472190857,0.10877533257007599
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.1804078221321106,0.4946078956127167,0.2878543734550476,0.31168749928474426,0.4933079481124878,0.2547801733016968,0.27344048023223877,0.31091248989105225
refusals,0.33958330750465393,0.18317797780036926,0.23980781435966492,0.1362760215997696,0.30350348353385925,0.5301178693771362,0.3753775954246521,0.34610816836357117,0.29862678050994873,0.4444250166416168,0.20675933361053467
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.19930607080459595,0.41548454761505127,0.30665844678878784,0.310872346162796,0.535392165184021,0.22186443209648132,0.28343796730041504,0.29463258385658264
pay,0.2870062291622162,0.12657347321510315,0.1940600425004959,0.045128464698791504,0.1583462655544281,0.3165281414985657,0.22977499663829803,0.1903611719608307,0.27292734384536743,0.3078257441520691,0.19821009039878845
taxes,0.2839719355106354,0.1368921399116516,0.19554322957992554,0.0858200415968895,0.24622385203838348,0.34347501397132874,0.2823469042778015,0.23899468779563904,0.38554906845092773,0.5289652347564697,0.18323048949241638
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.1804078221321106,0.4946078956127167,0.2878543734550476,0.31168749928474426,0.4933079481124878,0.2547801733016968,0.27344048023223877,0.31091248989105225
draft,0.20352119207382202,0.08928792178630829,0.14911261200904846,0.13582545518875122,0.1597527265548706,0.1815602332353592,0.22602050006389618,0.2136591076850891,0.16364021599292755,0.11579599976539612,0.1941390335559845
dodging,0.27553412318229675,0.26663339138031006,0.33118894696235657,0.20212404429912567,0.2930799126625061,0.2805095613002777,0.22154097259044647,0.37450847029685974,0.19340544939041138,0.2838658094406128,0.21169091761112213
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.1804078221321106,0.4946078956127167,0.2878543734550476,0.31168749928474426,0.4933079481124878,0.2547801733016968,0.27344048023223877,0.31091248989105225
distributed,0.12753748893737793,0.2017366737127304,0.19609881937503815,0.13325752317905426,0.239964559674263,0.15771104395389557,0.09203878790140152,0.28740596771240234,0.10014786571264267,0.12642081081867218,0.08428370952606201
denial-of-service,0.357603520154953,0.23233865201473236,0.31410717964172363,0.2015075832605362,0.2185867875814438,0.404053658246994,0.2408372163772583,0.2577633857727051,0.2909890115261078,0.378629207611084,0.3332744240760803
attacks,0.19946885108947754,0.23290947079658508,0.24573074281215668,0.16883105039596558,0.18891674280166626,0.29304829239845276,0.3442411720752716,0.2845265567302704,0.11452658474445343,0.18315811455249786,0.14532065391540527
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.1804078221321106,0.4946078956127167,0.2878543734550476,0.31168749928474426,0.4933079481124878,0.2547801733016968,0.27344048023223877,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.16898801922798157,0.5116966962814331,0.3041999638080597,0.3292689621448517,0.5171257257461548,0.23157308995723724,0.2859337627887726,0.20544172823429108
sit-ins,0.23901569843292236,0.2979371249675751,0.2660893201828003,0.1916610449552536,0.29617971181869507,0.2685576379299164,0.21213114261627197,0.35070890188217163,0.12705785036087036,0.16478338837623596,0.24522903561592102
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.1804078221321106,0.4946078956127167,0.2878543734550476,0.31168749928474426,0.4933079481124878,0.2547801733016968,0.27344048023223877,0.31091248989105225
make,0.3792211413383484,0.3331545889377594,0.34303420782089233,0.24287153780460358,0.2912110388278961,0.22929057478904724,0.25389260053634644,0.3146495521068573,0.1785738319158554,0.20428502559661865,0.28314751386642456
it,0.45803478360176086,0.6328473687171936,0.5452592968940735,0.22145579755306244,0.38761502504348755,0.2648297846317291,0.19986185431480408,0.6251175999641418,0.21833358705043793,0.28037968277931213,0.25732165575027466
more,0.3484537899494171,0.2946030795574188,0.3452818691730499,0.2277899980545044,0.30478984117507935,0.2029244303703308,0.18851351737976074,0.39758381247520447,0.1901291161775589,0.22208929061889648,0.27894994616508484
difficult,0.37928828597068787,0.29025518894195557,0.3425796926021576,0.18718522787094116,0.2539307773113251,0.2820698320865631,0.17737135291099548,0.277450829744339,0.19779953360557556,0.197265163064003,0.20408590137958527
for,0.3017193675041199,0.43268078565597534,0.44038116931915283,0.20848464965820312,0.4185989499092102,0.23370130360126495,0.3262052536010742,0.4739971458911896,0.2636280953884125,0.23902073502540588,0.264628142118454
a,0.3320399522781372,0.658733606338501,1.0,0.3813284635543823,0.5052502155303955,0.25352153182029724,0.2227657586336136,0.5829201340675354,0.21018525958061218,0.25158295035362244,0.23916715383529663
system,0.23557309806346893,0.2282046526670456,0.2589043080806732,0.24706636369228363,0.25597915053367615,0.16900348663330078,0.1443454623222351,0.3233085572719574,0.2007317841053009,0.23867560923099518,0.15556083619594574
