,what,is,a,simple,form,of,civil,disobedience,?
non-revolutionary,0.21013399958610535,0.1980559229850769,0.29217514395713806,0.2737163007259369,0.18560263514518738,0.3329097032546997,0.39474183320999146,0.37564292550086975,0.19538861513137817
civil,0.15091551840305328,0.16941262781620026,0.21693918108940125,0.16772717237472534,0.0937703400850296,0.24698495864868164,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.3298627436161041,0.21453623473644257,0.25352153182029724,0.24948285520076752,0.2092548906803131,0.31932318210601807,0.5442691445350647,1.0,0.19890835881233215
is,0.28837618231773376,1.0,0.658733606338501,0.29377081990242004,0.3218395411968231,0.4854315221309662,0.16941262781620026,0.21453623473644257,0.22961433231830597
a,0.3320399522781372,0.658733606338501,1.0,0.34160614013671875,0.3088195323944092,0.5052502155303955,0.21693918108940125,0.25352153182029724,0.23916715383529663
simple,0.4218197166919708,0.29377081990242004,0.34160614013671875,0.9999999403953552,0.2837270498275757,0.23205730319023132,0.16772717237472534,0.24948285520076752,0.4614735543727875
disobedience,0.3298627436161041,0.21453623473644257,0.25352153182029724,0.24948285520076752,0.2092548906803131,0.31932318210601807,0.5442691445350647,1.0,0.19890835881233215
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.23205730319023132,0.29600051045417786,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
laws,0.29636016488075256,0.17527072131633759,0.1722979098558426,0.13583271205425262,0.17442670464515686,0.2539142072200775,0.2589532434940338,0.4583999514579773,0.17911791801452637
on,0.34226128458976746,0.3635730445384979,0.3848365545272827,0.2851913571357727,0.1214052140712738,0.3966929316520691,0.17390455305576324,0.2194652408361435,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.24738673865795135,0.29286009073257446,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
grounds,0.2024700939655304,0.25419503450393677,0.26895850896835327,0.21863897144794464,0.11663447320461273,0.26888811588287354,0.15576022863388062,0.2971020042896271,0.1594391018152237
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.4371768534183502,0.31894639134407043,0.41498205065727234,0.16867391765117645,0.3551425039768219,0.32716336846351624
they,0.4431931674480438,0.330102801322937,0.3528250455856323,0.3216192424297333,0.33286890387535095,0.3426007330417633,0.14507707953453064,0.3148254156112671,0.2753053903579712
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.3569783866405487,0.29983413219451904,0.39081433415412903,0.12244163453578949,0.19937367737293243,0.24591213464736938
judged,0.3315237760543823,0.15107382833957672,0.21729488670825958,0.2269473373889923,0.14956991374492645,0.2168378382921219,0.10512211918830872,0.2406870275735855,0.22679932415485382
``,0.008517155423760414,0.058766357600688934,0.07272057235240936,0.09422202408313751,0.11812715977430344,0.06780257821083069,0.06784805655479431,0.06214885041117668,0.0685480609536171
wrong,0.5828129053115845,0.22142094373703003,0.31342315673828125,0.3820945918560028,0.134669691324234,0.16435322165489197,0.21003279089927673,0.3196309208869934,0.4657740890979767
'',0.08143015950918198,0.0793738141655922,0.04890415817499161,0.048579733818769455,-0.04621269181370735,0.13035868108272552,-0.062313709408044815,0.003403886454179883,0.018684765323996544
by,0.2455483376979828,0.3899846076965332,0.32094135880470276,0.18426847457885742,0.20338405668735504,0.3646814823150635,0.15479567646980286,0.2563513219356537,0.17966607213020325
an,0.2821882665157318,0.4654068350791931,0.44552403688430786,0.25539350509643555,0.1558980643749237,0.32280945777893066,0.15803322196006775,0.24747906625270844,0.19793890416622162
individual,0.34021541476249695,0.21069909632205963,0.34062352776527405,0.35388997197151184,0.26097556948661804,0.3372420072555542,0.21166187524795532,0.2996596693992615,0.2058374285697937
conscience,0.33264052867889404,0.21721133589744568,0.23108726739883423,0.21108360588550568,0.1494874507188797,0.22477462887763977,0.2559303343296051,0.47909438610076904,0.23370258510112762
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2595684230327606,0.21805599331855774,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.48853766918182373,0.31794559955596924,0.3818044364452362,0.3792596757411957,0.12588919699192047,0.2553665041923523,0.32389625906944275
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.275139719247818,0.24710296094417572,0.3886612355709076,0.18100082874298096,0.25773370265960693,0.27043893933296204
part,0.3476244807243347,0.4582172930240631,0.3994528353214264,0.18700765073299408,0.31082701683044434,0.452393114566803,0.12337565422058105,0.20186325907707214,0.08557961881160736
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.23205730319023132,0.29600051045417786,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
an,0.2821882665157318,0.4654068350791931,0.44552403688430786,0.25539350509643555,0.1558980643749237,0.32280945777893066,0.15803322196006775,0.24747906625270844,0.19793890416622162
effort,0.2810528576374054,0.17625613510608673,0.2670682966709137,0.31804993748664856,0.11144079267978668,0.21940191090106964,0.24252553284168243,0.3645721971988678,0.27546563744544983
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.38820502161979675,0.2772196829319,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
render,0.18214485049247742,0.21666109561920166,0.2365315854549408,0.31039586663246155,0.28645190596580505,0.1649666726589203,0.15559130907058716,0.21895316243171692,0.17435836791992188
certain,0.4561643898487091,0.28826433420181274,0.369277685880661,0.3979107439517975,0.2941373586654663,0.40204232931137085,0.15305054187774658,0.31397029757499695,0.2516106069087982
laws,0.29636016488075256,0.17527072131633759,0.1722979098558426,0.13583271205425262,0.17442670464515686,0.2539142072200775,0.2589532434940338,0.4583999514579773,0.17911791801452637
ineffective,0.31523796916007996,0.21267010271549225,0.2918623983860016,0.34493839740753174,0.17285023629665375,0.2857331335544586,0.3040435314178467,0.44622012972831726,0.2654919922351837
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2595684230327606,0.21805599331855774,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.38820502161979675,0.2772196829319,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
cause,0.24883218109607697,0.218277707695961,0.2715701162815094,0.21805322170257568,0.26608672738075256,0.25979894399642944,0.17105881869792938,0.23438714444637299,0.240532785654068
their,0.35142919421195984,0.2101074606180191,0.29698723554611206,0.30605971813201904,0.22739137709140778,0.4329940676689148,0.18000862002372742,0.31147265434265137,0.1898253709077835
repeal,0.2908228039741516,0.14658638834953308,0.22735407948493958,0.2722063660621643,0.24903303384780884,0.25051257014274597,0.3874458372592926,0.4997501075267792,0.17696918547153473
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2595684230327606,0.21805599331855774,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.48853766918182373,0.31794559955596924,0.3818044364452362,0.3792596757411957,0.12588919699192047,0.2553665041923523,0.32389625906944275
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.38820502161979675,0.2772196829319,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
exert,0.3460860252380371,0.18991988897323608,0.27772554755210876,0.3447655141353607,0.18544508516788483,0.23436139523983002,0.12465325742959976,0.26868152618408203,0.27298665046691895
pressure,0.2625555694103241,0.19239991903305054,0.23459996283054352,0.17443300783634186,0.2059672325849533,0.22627468407154083,0.08069354295730591,0.1877918839454651,0.142023503780365
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.38820502161979675,0.2772196829319,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
get,0.3490515947341919,0.29207053780555725,0.27948489785194397,0.35572871565818787,0.2701546549797058,0.26628199219703674,0.1898677498102188,0.21511830389499664,0.3499825894832611
one,0.376489520072937,0.4544198513031006,0.4910551905632019,0.29995104670524597,0.2667044997215271,0.4999135136604309,0.15266822278499603,0.20541732013225555,0.2673267424106598
's,0.02692362666130066,0.02396530658006668,0.04866964742541313,0.058021657168865204,0.07059726119041443,-0.03817026689648628,-0.06354409456253052,0.027719656005501747,-0.023395681753754616
political,0.21846716105937958,0.15203817188739777,0.21418654918670654,0.17032232880592346,0.10801805555820465,0.27319738268852234,0.33490484952926636,0.3612893521785736,0.17130474746227264
wishes,0.36962834000587463,0.23820608854293823,0.26389747858047485,0.27978602051734924,0.13966041803359985,0.20500239729881287,0.18018674850463867,0.32393571734428406,0.30480876564979553
on,0.34226128458976746,0.3635730445384979,0.3848365545272827,0.2851913571357727,0.1214052140712738,0.3966929316520691,0.17390455305576324,0.2194652408361435,0.2714994251728058
some,0.4491020441055298,0.3038453459739685,0.34539633989334106,0.3765711784362793,0.33171209692955017,0.4300730526447296,0.1851816177368164,0.28606411814689636,0.2562315762042999
other,0.341873437166214,0.25895947217941284,0.2806335389614105,0.3506549298763275,0.2616437077522278,0.38583824038505554,0.17309200763702393,0.24770691990852356,0.24682199954986572
issue,0.32369524240493774,0.16218405961990356,0.24249422550201416,0.2465849220752716,0.1312219500541687,0.2598971724510193,0.12044859677553177,0.19916902482509613,0.32172858715057373
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.29104891419410706,0.28317511081695557,0.5352458953857422,0.2541380822658539,0.2603943943977356,0.4130953550338745
,what,is,a,simple,form,of,civil,disobedience,?
``,0.008517155423760414,0.058766357600688934,0.07272057235240936,0.09422202408313751,0.11812715977430344,0.06780257821083069,0.06784805655479431,0.06214885041117668,0.0685480609536171
cultural,0.18198847770690918,0.1658732146024704,0.21751533448696136,0.11068419367074966,0.06695263087749481,0.29898300766944885,0.22340162098407745,0.23987561464309692,0.09798457473516464
revolution,0.1946869045495987,0.16210032999515533,0.23590148985385895,0.1495429426431656,0.13233894109725952,0.27144062519073486,0.3380163013935089,0.3442854583263397,0.1727980077266693
'',0.08143015950918198,0.0793738141655922,0.04890415817499161,0.048579733818769455,-0.04621269181370735,0.13035868108272552,-0.062313709408044815,0.003403886454179883,0.018684765323996544
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2595684230327606,0.21805599331855774,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
it,0.45803478360176086,0.6328473687171936,0.5452592968940735,0.33236920833587646,0.31451088190078735,0.38761502504348755,0.17707513272762299,0.2648297846317291,0.25732165575027466
simply,0.4566527307033539,0.39395248889923096,0.3719869554042816,0.43728694319725037,0.24625429511070251,0.2891358435153961,0.120736263692379,0.195425882935524,0.2984147369861603
implies,0.33707395195961,0.33371198177337646,0.30004221200942993,0.3817113935947418,0.2627966105937958,0.2750009000301361,0.1548483967781067,0.31109100580215454,0.24269460141658783
sweeping,0.20016790926456451,0.15658344328403473,0.23697517812252045,0.2654256820678711,0.2143579125404358,0.23100370168685913,0.157615527510643,0.25222235918045044,0.16708126664161682
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.26203423738479614,0.30469027161598206,0.5116966962814331,0.25259146094322205,0.3041999638080597,0.20544172823429108
widespread,0.236628457903862,0.22621749341487885,0.2549120783805847,0.21639762818813324,0.2097977101802826,0.2750900983810425,0.19120395183563232,0.27042531967163086,0.16958627104759216
change,0.3690716028213501,0.33028605580329895,0.3047741651535034,0.35412096977233887,0.24793878197669983,0.2569013833999634,0.18202711641788483,0.26300865411758423,0.24115969240665436
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.38820502161979675,0.2772196829319,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
a,0.3320399522781372,0.658733606338501,1.0,0.34160614013671875,0.3088195323944092,0.5052502155303955,0.21693918108940125,0.25352153182029724,0.23916715383529663
section,0.28602200746536255,0.22237545251846313,0.29094603657722473,0.2809927463531494,0.24611394107341766,0.21215301752090454,0.20814035832881927,0.16898629069328308,0.2733710706233978
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.23205730319023132,0.29600051045417786,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.24738673865795135,0.29286009073257446,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
social,0.22217629849910736,0.15944984555244446,0.2286769598722458,0.22875183820724487,0.18199053406715393,0.2605111300945282,0.2795228660106659,0.323582261800766,0.1615191102027893
fabric,0.2184952050447464,0.21182088553905487,0.24974669516086578,0.30253300070762634,0.2083781212568283,0.21194949746131897,0.1338081657886505,0.18669210374355316,0.19376210868358612
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.23871737718582153,0.20926380157470703,0.3680361211299896,0.168956458568573,0.1570320576429367,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.29104891419410706,0.28317511081695557,0.5352458953857422,0.2541380822658539,0.2603943943977356,0.4130953550338745
