,what,was,the,north,american,portion,of,war,of,austrian,succession,?
the,0.42745697498321533,0.48711544275283813,1.0,0.36298373341560364,0.24562937021255493,0.42017096281051636,0.733189046382904,0.366199791431427,0.733189046382904,0.23007287085056305,0.3133684992790222,0.22068053483963013
war,0.22516006231307983,0.3560331463813782,0.366199791431427,0.2980347275733948,0.2592540383338928,0.12796132266521454,0.31680163741111755,1.0000001192092896,0.31680163741111755,0.2502814829349518,0.3347351849079132,0.15510529279708862
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3604778051376343,0.22180068492889404,0.31845465302467346,1.0,0.31680163741111755,1.0,0.16766223311424255,0.3265681266784668,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.36298373341560364,0.24562937021255493,0.42017096281051636,0.733189046382904,0.366199791431427,0.733189046382904,0.23007287085056305,0.3133684992790222,0.22068053483963013
austrian,0.1206708550453186,0.24469807744026184,0.23007287085056305,0.08093412965536118,0.37455010414123535,0.08310645073652267,0.16766223311424255,0.2502814829349518,0.16766223311424255,1.0,0.22747468948364258,0.10452693700790405
succession,0.23054298758506775,0.2223631888628006,0.3133684992790222,0.16551992297172546,0.15600444376468658,0.16206738352775574,0.3265681266784668,0.3347351849079132,0.3265681266784668,0.22747468948364258,0.9999999403953552,0.13082198798656464
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.20408999919891357,0.3044136166572571,0.21240881085395813,0.35032153129577637,0.17743611335754395,0.35032153129577637,0.23294436931610107,0.13232572376728058,0.40561532974243164
whose,0.22831642627716064,0.2162860482931137,0.38253846764564514,0.1270032376050949,0.22910688817501068,0.25495707988739014,0.37058958411216736,0.11892953515052795,0.37058958411216736,0.19234779477119446,0.17350733280181885,0.16990536451339722
north,0.18673177063465118,0.29020047187805176,0.36298373341560364,1.0,0.2107747346162796,0.2271946370601654,0.3604778051376343,0.2980347275733948,0.3604778051376343,0.08093412965536118,0.16551992297172546,0.11829731613397598
american,0.1909721940755844,0.31632548570632935,0.24562937021255493,0.2107747346162796,1.0000001192092896,0.08372706919908524,0.22180068492889404,0.2592540383338928,0.22180068492889404,0.37455010414123535,0.15600444376468658,0.18877598643302917
theater,0.1395484209060669,0.3185870051383972,0.2354130744934082,0.15670272707939148,0.28283828496932983,0.1833600252866745,0.19138707220554352,0.33020803332328796,0.19138707220554352,0.22680070996284485,0.1434945911169052,0.12811817228794098
is,0.28837618231773376,0.5810302495956421,0.5823672413825989,0.2993389368057251,0.1853146106004715,0.317487508058548,0.4854315221309662,0.18502555787563324,0.4854315221309662,0.13010680675506592,0.13997159898281097,0.22961433231830597
known,0.20381177961826324,0.35203275084495544,0.3624623417854309,0.1970449835062027,0.29350247979164124,0.14092396199703217,0.35814476013183594,0.1372869461774826,0.35814476013183594,0.13109399378299713,0.14149899780750275,0.18314571678638458
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.22670356929302216,0.2994234561920166,0.22727736830711365,0.3886612355709076,0.24018222093582153,0.3886612355709076,0.18004369735717773,0.22103853523731232,0.27043893933296204
king,0.18449601531028748,0.27377256751060486,0.25887003540992737,0.21951641142368317,0.15690703690052032,0.13319213688373566,0.2938710153102875,0.2670030891895294,0.2938710153102875,0.1337311863899231,0.3005504608154297,0.19130074977874756
george,0.22000353038311005,0.2601471245288849,0.2510760426521301,0.12012960761785507,0.2840450704097748,0.16569149494171143,0.22097964584827423,0.24409236013889313,0.22097964584827423,0.09702546149492264,0.17046532034873962,0.1479024887084961
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.06196961551904678,0.01565130427479744,-0.014645480550825596,-0.03817026689648628,0.06856801360845566,-0.03817026689648628,0.016239698976278305,-0.05793838948011398,-0.023395681753754616
war,0.22516006231307983,0.3560331463813782,0.366199791431427,0.2980347275733948,0.2592540383338928,0.12796132266521454,0.31680163741111755,1.0000001192092896,0.31680163741111755,0.2502814829349518,0.3347351849079132,0.15510529279708862
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.19693730771541595,0.30758509039878845,0.21075260639190674,0.3680361211299896,0.183685764670372,0.3680361211299896,0.2245541214942932,0.15444326400756836,0.42300865054130554
formally,0.19840256869792938,0.3541161119937897,0.3323594629764557,0.18711936473846436,0.16847625374794006,0.20588886737823486,0.3022876977920532,0.2539723515510559,0.3022876977920532,0.13680893182754517,0.315255731344223,0.1371411830186844
ended,0.1532270610332489,0.4452953040599823,0.3356485068798065,0.16911999881267548,0.1963030993938446,0.11806982010602951,0.27636510133743286,0.38025277853012085,0.27636510133743286,0.18041451275348663,0.3391712009906769,0.15429291129112244
