,what,huguenot,area,is,designated,as,a,historical,landmark,?
the,0.42745697498321533,0.29557526111602783,0.37834644317626953,0.5823672413825989,0.23178240656852722,0.48381632566452026,0.5829201340675354,0.30835282802581787,0.26586976647377014,0.22068053483963013
``,0.008517155423760414,0.1860373169183731,0.1034754067659378,0.058766357600688934,0.04581175744533539,0.03910288214683533,0.07272057235240936,-0.010134120471775532,-0.07835301756858826,0.0685480609536171
huguenot,0.1912020891904831,1.0000001192092896,0.2029406875371933,0.12706810235977173,0.06304340809583664,0.15821954607963562,0.22502337396144867,0.17810164391994476,0.16538695991039276,0.1359742432832718
street,0.14271703362464905,0.1992882937192917,0.2058890163898468,0.1302390694618225,0.14123152196407318,0.23426887392997742,0.18956080079078674,0.1745586097240448,0.2838831841945648,0.07315441966056824
historic,0.18988226354122162,0.2136296182870865,0.3148997128009796,0.19778819382190704,0.4202173948287964,0.24026529490947723,0.23105008900165558,0.6968985795974731,0.5205735564231873,0.09992891550064087
district,0.13126243650913239,0.14375591278076172,0.3625546097755432,0.2656395733356476,0.24591076374053955,0.17043891549110413,0.20739410817623138,0.22250480949878693,0.3523334562778473,0.06725285202264786
'',0.08143015950918198,-0.010292247869074345,-0.02050521783530712,0.0793738141655922,0.014842231757938862,0.006628023460507393,0.04890415817499161,0.1450253278017044,0.016568243503570557,0.018684765323996544
in,0.30808621644973755,0.26198551058769226,0.33632898330688477,0.5394441485404968,0.25212356448173523,0.3887844979763031,0.539380669593811,0.30350539088249207,0.24597838521003723,0.20430970191955566
new,0.2130378633737564,0.20695649087429047,0.16119444370269775,0.2208656519651413,0.18274620175361633,0.24585270881652832,0.3214259147644043,0.15947334468364716,0.22016477584838867,0.14782847464084625
paltz,0.24496395885944366,0.18820823729038239,0.18518173694610596,0.16366490721702576,0.17876192927360535,0.23528601229190826,0.18124626576900482,0.15649862587451935,0.18952438235282898,0.16159473359584808
has,0.20338068902492523,0.11063792556524277,0.3084876537322998,0.5668748617172241,0.17920629680156708,0.351646363735199,0.4670248031616211,0.1969943344593048,0.15123236179351807,0.15994466841220856
been,0.2567804455757141,0.1570335179567337,0.25130510330200195,0.39566612243652344,0.17573979496955872,0.3975982367992401,0.3315402865409851,0.15520821511745453,0.12848418951034546,0.24354910850524902
designated,0.06610333919525146,0.06304340809583664,0.29822811484336853,0.20732922852039337,1.0000001192092896,0.30198028683662415,0.2710168659687042,0.24230711162090302,0.40749508142471313,0.1318070888519287
a,0.3320399522781372,0.22502337396144867,0.2782127559185028,0.658733606338501,0.2710168659687042,0.39550232887268066,1.0,0.25390249490737915,0.24002137780189514,0.23916715383529663
