,what,states,that,united,methodist,theology,is,at,once,``,catholic,",",evangelical,and,reformed,?,''
therefore,0.4125064015388489,0.16944259405136108,0.5717706680297852,0.15725916624069214,0.14470751583576202,0.21403460204601288,0.36838728189468384,0.19634877145290375,0.39651378989219666,0.10101476311683655,0.27233389019966125,0.31452515721321106,0.12938688695430756,0.4033817946910858,0.249027281999588,0.3325358033180237,0.008881444111466408
",",0.3087472915649414,0.3315127193927765,0.4137537479400635,0.3053959608078003,0.2960420250892639,0.23964712023735046,0.4691906273365021,0.38314947485923767,0.32163992524147034,0.09681109338998795,0.2713983952999115,1.0000001192092896,0.23518498241901398,0.6633074283599854,0.2146388739347458,0.31091248989105225,-0.037358131259679794
according,0.2776208221912384,0.2622531056404114,0.29146862030029297,0.2191866785287857,0.19346879422664642,0.21039360761642456,0.2838992476463318,0.25376394391059875,0.20686304569244385,0.008405309170484543,0.15710529685020447,0.3107093870639801,0.17322544753551483,0.30645591020584106,0.25779542326927185,0.21173474192619324,0.06436512619256973
to,0.455847829580307,0.2828785181045532,0.5436353087425232,0.2715383470058441,0.21503986418247223,0.23310686647891998,0.42745086550712585,0.36524343490600586,0.41327327489852905,0.06720756739377975,0.2619607746601105,0.44245919585227966,0.24407906830310822,0.48971283435821533,0.20161932706832886,0.29463258385658264,-0.009905828163027763
the,0.42745697498321533,0.3463578522205353,0.5473989248275757,0.34367692470550537,0.21922016143798828,0.1939574033021927,0.5823672413825989,0.457212895154953,0.4227895736694336,0.029072100296616554,0.26391419768333435,0.4933079481124878,0.23743100464344025,0.5171257257461548,0.24013365805149078,0.22068053483963013,0.041273195296525955
book,0.2872225046157837,0.17561651766300201,0.31481462717056274,0.194850891828537,0.16745153069496155,0.3241359293460846,0.21808475255966187,0.11692723631858826,0.18784543871879578,-0.031511686742305756,0.17142172157764435,0.23644568026065826,0.22311194241046906,0.28024056553840637,0.19598260521888733,0.20572158694267273,0.0007793467375449836
of,0.33290785551071167,0.30884552001953125,0.41498205065727234,0.3187655806541443,0.28458893299102783,0.274120032787323,0.4854315221309662,0.42558613419532776,0.2879956364631653,0.06780257821083069,0.3452084958553314,0.4946078956127167,0.2919469177722931,0.5116966962814331,0.2473689615726471,0.1826142966747284,0.13035868108272552
discipline,0.2522185742855072,0.22539839148521423,0.273926705121994,0.18550799787044525,0.21053937077522278,0.3661094307899475,0.13422119617462158,0.21682508289813995,0.06805791705846786,0.08929693698883057,0.20961618423461914,0.18374353647232056,0.2004825472831726,0.22925299406051636,0.2718822956085205,0.06836310029029846,0.03347654268145561
",",0.3087472915649414,0.3315127193927765,0.4137537479400635,0.3053959608078003,0.2960420250892639,0.23964712023735046,0.4691906273365021,0.38314947485923767,0.32163992524147034,0.09681109338998795,0.2713983952999115,1.0000001192092896,0.23518498241901398,0.6633074283599854,0.2146388739347458,0.31091248989105225,-0.037358131259679794
united,0.20036718249320984,0.8952266573905945,0.25567954778671265,1.0000001192092896,0.3283560872077942,0.17176271975040436,0.22408509254455566,0.2064037322998047,0.21530190110206604,0.0029474215116351843,0.1828385889530182,0.3053959608078003,0.2384873330593109,0.28213179111480713,0.1606282740831375,0.17266890406608582,-0.05345742404460907
