,what,creatures,were,the,most,popular,monsters,in,the,series,?
nation,0.21990635991096497,0.20292773842811584,0.18785551190376282,0.39486879110336304,0.25644150376319885,0.21821576356887817,0.09348803013563156,0.24983231723308563,0.39486879110336304,0.18171784281730652,0.17865248024463654
's,0.02692362666130066,0.12070426344871521,0.007088581565767527,-0.01540423184633255,0.024445664137601852,0.11900079250335693,0.06342542171478271,-0.037580832839012146,-0.01540423184633255,0.0006390819908119738,-0.023395681753754616
script,0.23662243783473969,0.22099623084068298,0.14033247530460358,0.21384064853191376,0.15202219784259796,0.1045566126704216,0.1642683446407318,0.17682331800460815,0.21384064853191376,0.14627748727798462,0.24144527316093445
became,0.1434093862771988,0.1263854205608368,0.45684126019477844,0.36325156688690186,0.3429205119609833,0.3909672796726227,0.10491200536489487,0.31047213077545166,0.36325156688690186,0.18320977687835693,0.11374033987522125
the,0.42745697498321533,0.26411399245262146,0.3906462490558624,1.0,0.47635307908058167,0.2724021077156067,0.23224876821041107,0.6662389636039734,1.0,0.31376904249191284,0.22068053483963013
second,0.19948028028011322,0.12272141128778458,0.17748267948627472,0.4620301127433777,0.2877694070339203,0.2617951035499573,0.1755056083202362,0.34510284662246704,0.4620301127433777,0.24665457010269165,0.17239587008953094
doctor,0.20870667695999146,0.23061616718769073,0.11412792652845383,0.2820442318916321,0.17011499404907227,0.11902014166116714,0.1809372454881668,0.25567495822906494,0.2820442318916321,0.2712797522544861,0.1462511420249939
who,0.40942975878715515,0.32673725485801697,0.3188014328479767,0.3733934462070465,0.35393568873405457,0.23977619409561157,0.2694486081600189,0.2792111933231354,0.3733934462070465,0.21484537422657013,0.26220351457595825
serial,0.1661187708377838,0.1617198884487152,0.1740032285451889,0.1900636851787567,0.15508754551410675,0.18093694746494293,0.15638810396194458,0.20157626271247864,0.1900636851787567,0.35013672709465027,0.15233060717582703
–,0.13008765876293182,0.11307723075151443,0.19957508146762848,0.2607575058937073,0.19322049617767334,0.11884160339832306,0.1320643573999405,0.23687128722667694,0.2607575058937073,0.21799004077911377,0.2714554965496063
the,0.42745697498321533,0.26411399245262146,0.3906462490558624,1.0,0.47635307908058167,0.2724021077156067,0.23224876821041107,0.6662389636039734,1.0,0.31376904249191284,0.22068053483963013
daleks,0.2009461522102356,0.4426287114620209,0.26682645082473755,0.3154934346675873,0.14800389111042023,0.11242332309484482,0.3497575521469116,0.2037806212902069,0.3154934346675873,0.37795311212539673,0.13693755865097046
(,0.2411840260028839,0.12949639558792114,0.14743882417678833,0.33289089798927307,0.20654040575027466,0.09267130494117737,0.15180927515029907,0.3087427020072937,0.33289089798927307,0.21145714819431305,0.40561532974243164
a.k.a,0.04612292721867561,-0.0038950482849031687,0.07494989782571793,0.19527588784694672,0.06086224690079689,0.1512659788131714,0.019617225974798203,0.23580528795719147,0.19527588784694672,0.11346438527107239,-0.001705298200249672
.,0.3567904531955719,0.2606484293937683,0.3378238379955292,0.5934505462646484,0.35404038429260254,0.2864297032356262,0.20127204060554504,0.5591574311256409,0.5934505462646484,0.3121925890445709,0.4130953550338745
,what,creatures,were,the,most,popular,monsters,in,the,series,?
