,what,part,of,the,rhine,flows,west,at,katwijk,?
from,0.2737620174884796,0.31841611862182617,0.4249346852302551,0.40150508284568787,0.2181936800479889,0.247153639793396,0.2389117330312729,0.3447161316871643,0.16325387358665466,0.19969791173934937
wijk,0.09544714540243149,0.16185180842876434,0.18690216541290283,0.1787835955619812,0.47203636169433594,0.13674817979335785,0.29363107681274414,0.18078015744686127,0.8146525025367737,0.15687686204910278
bij,0.16130058467388153,0.20681942999362946,0.13612857460975647,0.1396031379699707,0.27695488929748535,0.22075772285461426,0.2675343155860901,0.17602109909057617,0.5330142378807068,0.18858683109283447
duurstede,0.134284108877182,0.16281342506408691,0.20405352115631104,0.19626659154891968,0.4151337444782257,0.21091315150260925,0.29817405343055725,0.2232418656349182,0.6321373581886292,0.18678875267505646
",",0.3087472915649414,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.167837992310524,0.2638954818248749,0.28857502341270447,0.38314947485923767,0.29594147205352783,0.31091248989105225
the,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.30735138058662415,0.32405155897140503,0.32918402552604675,0.457212895154953,0.2409995049238205,0.22068053483963013
old,0.22117848694324493,0.22097529470920563,0.30522194504737854,0.31849798560142517,0.18212221562862396,0.14821463823318481,0.17172345519065857,0.17987459897994995,0.24247828125953674,0.20577076077461243
north,0.18673177063465118,0.35967114567756653,0.3604778051376343,0.36298373341560364,0.3832572400569916,0.36481401324272156,0.6085373163223267,0.2535056173801422,0.3349177837371826,0.11829731613397598
branch,0.1792319416999817,0.2866339385509491,0.23972897231578827,0.2630956768989563,0.2070019692182541,0.1822739839553833,0.2417018562555313,0.13308563828468323,0.19734883308410645,0.10474635660648346
of,0.33290785551071167,0.452393114566803,1.0,0.733189046382904,0.2548927664756775,0.25574392080307007,0.2891985774040222,0.42558613419532776,0.2413279414176941,0.1826142966747284
the,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.30735138058662415,0.32405155897140503,0.32918402552604675,0.457212895154953,0.2409995049238205,0.22068053483963013
rhine,0.16475653648376465,0.23044916987419128,0.2548927664756775,0.30735138058662415,1.0,0.2871347963809967,0.3360097110271454,0.19469857215881348,0.46572384238243103,0.13754533231258392
