,what,resource,was,mined,in,the,newcastle,area,?
the,0.42745697498321533,0.2305259257555008,0.48711544275283813,0.25239160656929016,0.6662389636039734,1.0,0.2253497689962387,0.37834644317626953,0.22068053483963013
city,0.17493832111358643,0.21917730569839478,0.3188765048980713,0.1894766390323639,0.3911624252796173,0.35769423842430115,0.32860881090164185,0.41959723830223083,0.13423943519592285
grew,0.11968503892421722,0.16921904683113098,0.42560136318206787,0.25439518690109253,0.2749199867248535,0.226883202791214,0.17256510257720947,0.2739975154399872,0.05505307391285896
as,0.31749409437179565,0.22894562780857086,0.3677520453929901,0.21223084628582,0.3887844979763031,0.48381632566452026,0.21526619791984558,0.2407972663640976,0.27043893933296204
an,0.2821882665157318,0.14981383085250854,0.3694365322589874,0.13535991311073303,0.2605783939361572,0.4207492768764496,0.162101611495018,0.23076042532920837,0.19793890416622162
important,0.31164905428886414,0.26509150862693787,0.24924467504024506,0.22497214376926422,0.3796374499797821,0.39348116517066956,0.1287023425102234,0.2345091849565506,0.17812499403953552
centre,0.12324132025241852,0.23059992492198944,0.24988211691379547,0.2184475064277649,0.2765078544616699,0.32783594727516174,0.24609284102916718,0.3305371105670929,0.019365152344107628
for,0.3017193675041199,0.2766108512878418,0.3863949179649353,0.1680738627910614,0.4322226941585541,0.4739971458911896,0.2425866425037384,0.20941852033138275,0.264628142118454
the,0.42745697498321533,0.2305259257555008,0.48711544275283813,0.25239160656929016,0.6662389636039734,1.0,0.2253497689962387,0.37834644317626953,0.22068053483963013
wool,0.13995924592018127,0.18549080193042755,0.17101405560970306,0.3383064270019531,0.20890241861343384,0.21504652500152588,0.24330994486808777,0.18593308329582214,0.13757380843162537
trade,0.1555381417274475,0.24409006536006927,0.19989590346813202,0.24290981888771057,0.23862801492214203,0.2681608200073242,0.20700424909591675,0.18733882904052734,0.09336511790752411
in,0.30808621644973755,0.20030556619167328,0.45514053106307983,0.25473734736442566,1.0,0.6662389636039734,0.19270820915699005,0.33632898330688477,0.20430970191955566
the,0.42745697498321533,0.2305259257555008,0.48711544275283813,0.25239160656929016,0.6662389636039734,1.0,0.2253497689962387,0.37834644317626953,0.22068053483963013
14th,0.08055545389652252,0.07850295305252075,0.24511529505252838,0.04337494447827339,0.14700374007225037,0.21954689919948578,0.12894408404827118,0.10682864487171173,0.028729064390063286
century,0.20422613620758057,0.0895145833492279,0.3521432876586914,0.27774670720100403,0.3174034655094147,0.3617299497127533,0.17024719715118408,0.26284217834472656,0.1026201918721199
",",0.3087472915649414,0.2016548067331314,0.45456063747406006,0.26588577032089233,0.5201468467712402,0.4933079481124878,0.251589834690094,0.2664283812046051,0.31091248989105225
and,0.31309178471565247,0.26207050681114197,0.3740963041782379,0.21920304000377655,0.4954058527946472,0.5171257257461548,0.20204751193523407,0.3044000566005707,0.20544172823429108
later,0.2517229914665222,0.07876776158809662,0.5684447288513184,0.2515050768852234,0.40857815742492676,0.4060266613960266,0.21669933199882507,0.17669443786144257,0.1417175978422165
became,0.1434093862771988,0.1774708330631256,0.6575068235397339,0.2302785962820053,0.31047213077545166,0.36325156688690186,0.2210702747106552,0.21906514465808868,0.11374033987522125
a,0.3320399522781372,0.2206394225358963,0.4508470594882965,0.1757156252861023,0.539380669593811,0.5829201340675354,0.21405641734600067,0.2782127559185028,0.23916715383529663
major,0.21026742458343506,0.20988598465919495,0.20676274597644806,0.17820234596729279,0.3249945342540741,0.31775903701782227,0.15312890708446503,0.21581394970417023,0.19788557291030884
coal,0.15859243273735046,0.24184277653694153,0.18313007056713104,0.563103199005127,0.25431546568870544,0.23263108730316162,0.28267887234687805,0.2462942898273468,0.10339318215847015
mining,0.24916619062423706,0.28935369849205017,0.2141381800174713,0.6146276593208313,0.2947709858417511,0.24748016893863678,0.22538812458515167,0.3611645996570587,0.11012917757034302
area,0.21965408325195312,0.2365378439426422,0.24981513619422913,0.31741034984588623,0.33632898330688477,0.37834644317626953,0.18503880500793457,1.0,0.12640461325645447
.,0.3567904531955719,0.2455640733242035,0.40146201848983765,0.23947203159332275,0.5591574311256409,0.5934505462646484,0.2714749276638031,0.2760866582393646,0.4130953550338745
