,what,is,reduced,by,using,plastid,transformation,for,gene,modification,?
this,0.5489566326141357,0.480927973985672,0.2960662245750427,0.38438332080841064,0.4070901870727539,0.31725507974624634,0.3267841041088104,0.5082864165306091,0.1823306679725647,0.3541904389858246,0.3155723512172699
makes,0.2867553234100342,0.4565773010253906,0.14748266339302063,0.2263995260000229,0.2826436758041382,0.2267848551273346,0.19605082273483276,0.3219717741012573,0.07864022254943848,0.222269669175148,0.22145044803619385
plastid,0.21447217464447021,0.23850545287132263,0.17578624188899994,0.1403946578502655,0.2716991901397705,1.0000001192092896,0.3102878928184509,0.1903218775987625,0.2620740830898285,0.4089398682117462,0.2178892344236374
transformation,0.20859107375144958,0.2369379848241806,0.2261529564857483,0.23902755975723267,0.2744099497795105,0.3102878928184509,0.9999999403953552,0.24516668915748596,0.28006261587142944,0.3796151280403137,0.13030986487865448
a,0.3320399522781372,0.658733606338501,0.2214837223291397,0.32094135880470276,0.32226553559303284,0.2551116347312927,0.2840490937232971,0.44038116931915283,0.19703839719295502,0.2794894278049469,0.23916715383529663
valuable,0.2097254991531372,0.22445952892303467,0.18426935374736786,0.20696501433849335,0.18615232408046722,0.18824492394924164,0.23771366477012634,0.3648983836174011,0.09101465344429016,0.16406695544719696,0.20664997398853302
tool,0.2978120744228363,0.2158731371164322,0.1434601992368698,0.13873547315597534,0.4400900602340698,0.29418236017227173,0.26410165429115295,0.2902166247367859,0.18656465411186218,0.2702151834964752,0.2828463613986969
for,0.3017193675041199,0.43268078565597534,0.2299892157316208,0.3248702883720398,0.3806014060974121,0.1903218775987625,0.24516668915748596,0.9999999403953552,0.2395961731672287,0.2605358064174652,0.264628142118454
the,0.42745697498321533,0.5823672413825989,0.2897622883319855,0.4408751428127289,0.28364112973213196,0.186258003115654,0.29669010639190674,0.4739971458911896,0.16329175233840942,0.2607528269290924,0.22068053483963013
creation,0.2653278112411499,0.2773818373680115,0.21965093910694122,0.23915661871433258,0.2219223976135254,0.1377929300069809,0.2706834673881531,0.26819050312042236,0.1050049290060997,0.32180190086364746,0.2407430112361908
and,0.31309178471565247,0.3859752118587494,0.266709566116333,0.4289871156215668,0.33157408237457275,0.21513478457927704,0.25589001178741455,0.5064792633056641,0.18221649527549744,0.21251922845840454,0.20544172823429108
cultivation,0.17288483679294586,0.2506117522716522,0.3108246326446533,0.15842324495315552,0.1639644056558609,0.22822625935077667,0.25801005959510803,0.24277091026306152,0.2204209268093109,0.2966565191745758,0.1158214882016182
of,0.33290785551071167,0.4854315221309662,0.30275818705558777,0.3646814823150635,0.24298200011253357,0.22096435725688934,0.3149600625038147,0.4185989499092102,0.14653761684894562,0.21708963811397552,0.1826142966747284
genetically,0.22360733151435852,0.2274419218301773,0.26714399456977844,0.29971247911453247,0.1578480303287506,0.36497750878334045,0.37400346994400024,0.22388960421085358,0.5422234535217285,0.33531492948532104,0.1577460765838623
modified,0.1667574942111969,0.14212802052497864,0.32248789072036743,0.2950400710105896,0.32495224475860596,0.29703694581985474,0.298847496509552,0.19713161885738373,0.21271514892578125,0.6661999821662903,0.2008686512708664
plants,0.25144460797309875,0.2423158437013626,0.2321634143590927,0.21003800630569458,0.20679651200771332,0.4308030307292938,0.19225019216537476,0.22197571396827698,0.2526721954345703,0.27191898226737976,0.1473488062620163
that,0.6297725439071655,0.3995479643344879,0.2702723443508148,0.37496164441108704,0.4372335970401764,0.28001725673675537,0.28641170263290405,0.4137635827064514,0.1777036041021347,0.2883821427822113,0.32716336846351624
are,0.29724663496017456,0.5330929756164551,0.22126781940460205,0.37842893600463867,0.3385874032974243,0.3021188974380493,0.1851423978805542,0.3895993232727051,0.12205425649881363,0.24214234948158264,0.24591213464736938
biologically,0.25719156861305237,0.3162413239479065,0.27289143204689026,0.3024643659591675,0.23169831931591034,0.35581424832344055,0.3471441864967346,0.23400402069091797,0.356280118227005,0.2978191375732422,0.1510418951511383
contained,0.18997789919376373,0.3143906593322754,0.28861284255981445,0.2723034620285034,0.2858501672744751,0.3125986158847809,0.23036400973796844,0.2593417465686798,0.13360080122947693,0.23222102224826813,0.171995609998703
",",0.3087472915649414,0.4691906273365021,0.19148744642734528,0.3680937886238098,0.27050045132637024,0.18845833837985992,0.24606528878211975,0.4464869201183319,0.23531433939933777,0.21028536558151245,0.31091248989105225
thus,0.30745524168014526,0.244685098528862,0.29686620831489563,0.2587898373603821,0.3421997129917145,0.2339916080236435,0.3231065273284912,0.35466766357421875,0.13129426538944244,0.2822130024433136,0.18769288063049316
posing,0.2220267653465271,0.15606270730495453,0.15659067034721375,0.19588010013103485,0.38390859961509705,0.10106778889894485,0.13620951771736145,0.32059159874916077,0.16987372934818268,0.16968530416488647,0.1660846769809723
significantly,0.2746123671531677,0.21880888938903809,0.4055101275444031,0.2918403744697571,0.2111702263355255,0.24929963052272797,0.30957719683647156,0.2650265693664551,0.19384285807609558,0.37737512588500977,0.1823679804801941
lower,0.20079238712787628,0.20806168019771576,0.2903880774974823,0.17122666537761688,0.14073076844215393,0.14457836747169495,0.15407583117485046,0.15945355594158173,0.07050832360982895,0.2034381628036499,0.08471795171499252
environmental,0.16198831796646118,0.2392110973596573,0.2864128351211548,0.17630445957183838,0.16145560145378113,0.2212834656238556,0.2642199695110321,0.2977549731731415,0.2197246253490448,0.3105710446834564,0.19728143513202667
risks,0.26338300108909607,0.16796450316905975,0.3506830930709839,0.1760798841714859,0.2433725893497467,0.16386879980564117,0.20436055958271027,0.2884635031223297,0.13186430931091309,0.28098076581954956,0.1879974603652954
.,0.3567904531955719,0.4569662809371948,0.23652395606040955,0.3936232924461365,0.3629456162452698,0.26782307028770447,0.268403023481369,0.4726039469242096,0.2230074256658554,0.23934368789196014,0.4130953550338745
