,a,growing,number,of,new,forms,of,procurement,involves,what,?
there,0.4214206337928772,0.3081084191799164,0.35469454526901245,0.44397735595703125,0.26218199729919434,0.26480165123939514,0.44397735595703125,0.2063480019569397,0.27309730648994446,0.35085538029670715,0.29405656456947327
is,0.658733606338501,0.2603529095649719,0.22390379011631012,0.4854315221309662,0.2208656519651413,0.35419854521751404,0.4854315221309662,0.23124516010284424,0.33874383568763733,0.28837618231773376,0.22961433231830597
also,0.5149940252304077,0.3150483965873718,0.36623433232307434,0.4924938678741455,0.30404865741729736,0.3271316885948181,0.4924938678741455,0.2633768618106842,0.238814577460289,0.42747777700424194,0.21848613023757935
a,1.0,0.26935911178588867,0.2992287278175354,0.5052502155303955,0.3214259147644043,0.31878992915153503,0.5052502155303955,0.2955470085144043,0.35207560658454895,0.3320399522781372,0.23916715383529663
growing,0.26935911178588867,1.0000001192092896,0.24029798805713654,0.3095463812351227,0.23039987683296204,0.12042520195245743,0.3095463812351227,0.2856646776199341,0.26672253012657166,0.20045997202396393,0.10178618133068085
number,0.2992287278175354,0.24029798805713654,1.0,0.2778518795967102,0.2987784147262573,0.1527613252401352,0.2778518795967102,0.28787583112716675,0.16473530232906342,0.23046229779720306,0.19256845116615295
of,0.5052502155303955,0.3095463812351227,0.2778518795967102,1.0,0.343457967042923,0.33835989236831665,1.0,0.30700188875198364,0.32495999336242676,0.33290785551071167,0.1826142966747284
new,0.3214259147644043,0.23039987683296204,0.2987784147262573,0.343457967042923,0.9999999403953552,0.14796827733516693,0.343457967042923,0.16903214156627655,0.15149344503879547,0.2130378633737564,0.14782847464084625
forms,0.31878992915153503,0.12042520195245743,0.1527613252401352,0.33835989236831665,0.14796827733516693,1.0,0.33835989236831665,0.20222583413124084,0.3569517731666565,0.16334041953086853,0.1196754202246666
of,0.5052502155303955,0.3095463812351227,0.2778518795967102,1.0,0.343457967042923,0.33835989236831665,1.0,0.30700188875198364,0.32495999336242676,0.33290785551071167,0.1826142966747284
procurement,0.2955470085144043,0.2856646776199341,0.28787583112716675,0.30700188875198364,0.16903214156627655,0.20222583413124084,0.30700188875198364,1.0,0.3253706395626068,0.2843207120895386,0.17974576354026794
that,0.47537946701049805,0.3014943599700928,0.32951247692108154,0.41498205065727234,0.29177987575531006,0.31152746081352234,0.41498205065727234,0.34430989623069763,0.2839031517505646,0.6297725439071655,0.32716336846351624
involve,0.2548506259918213,0.2691490948200226,0.23148508369922638,0.29347991943359375,0.17671549320220947,0.3084801435470581,0.29347991943359375,0.3057616055011749,0.830146074295044,0.2820183336734772,0.21596334874629974
relationship,0.25691166520118713,0.24548038840293884,0.13119778037071228,0.22000651061534882,0.18382105231285095,0.21474699676036835,0.22000651061534882,0.23474182188510895,0.299693763256073,0.24358563125133514,0.11361731588840485
contracting,0.28269827365875244,0.23891793191432953,0.18993589282035828,0.23802630603313446,0.2001495510339737,0.24665004014968872,0.23802630603313446,0.414482057094574,0.33007216453552246,0.2756916880607605,0.1360260248184204
where,0.40997210144996643,0.22829535603523254,0.3329964578151703,0.38066378235816956,0.26026442646980286,0.20930740237236023,0.38066378235816956,0.26895296573638916,0.23658765852451324,0.4457937180995941,0.24793872237205505
the,0.5829201340675354,0.33280637860298157,0.35145696997642517,0.733189046382904,0.3845241069793701,0.2950737178325653,0.733189046382904,0.3154159188270569,0.25744810700416565,0.42745697498321533,0.22068053483963013
emphasis,0.23661457002162933,0.14786440134048462,0.1494522988796234,0.25674107670783997,0.09252113848924637,0.19779814779758453,0.25674107670783997,0.33645400404930115,0.36122119426727295,0.2812975347042084,0.2750280499458313
is,0.658733606338501,0.2603529095649719,0.22390379011631012,0.4854315221309662,0.2208656519651413,0.35419854521751404,0.4854315221309662,0.23124516010284424,0.33874383568763733,0.28837618231773376,0.22961433231830597
