,who,conquered,much,of,england,after,the,end,of,roman,imperial,rule,?
the,0.3733934462070465,0.3127642273902893,0.35023224353790283,0.733189046382904,0.28280043601989746,0.4565047025680542,1.0,0.39658910036087036,0.733189046382904,0.2862859070301056,0.3074202835559845,0.29894936084747314,0.22068053483963013
geordie,0.20488540828227997,0.12015348672866821,0.1097591295838356,0.19892676174640656,0.2731392979621887,0.17305392026901245,0.24672424793243408,0.18997390568256378,0.19892676174640656,0.0925443172454834,0.06884347647428513,0.10146799683570862,0.0974646806716919
dialect,0.19166524708271027,0.307424932718277,0.13085609674453735,0.17277581989765167,0.1054021343588829,0.12735453248023987,0.18307873606681824,0.12821313738822937,0.17277581989765167,0.163143590092659,0.10275379568338394,0.23819883167743683,0.11663753539323807
has,0.2558172643184662,0.14500856399536133,0.31650421023368835,0.3909035325050354,0.22343678772449493,0.2195257842540741,0.4177538752555847,0.19698017835617065,0.3909035325050354,0.14757274091243744,0.11980558186769485,0.14257372915744781,0.15994466841220856
much,0.2998695373535156,0.2299109697341919,0.9999998807907104,0.2671096920967102,0.21085163950920105,0.19944456219673157,0.35023224353790283,0.20683908462524414,0.2671096920967102,0.19004762172698975,0.12198206782341003,0.18138273060321808,0.23442231118679047
of,0.2827862501144409,0.30313581228256226,0.2671096920967102,1.0,0.24624483287334442,0.3867455720901489,0.733189046382904,0.2215006798505783,1.0,0.31028008460998535,0.3205159604549408,0.25175079703330994,0.1826142966747284
its,0.1326070874929428,0.1781109720468521,0.31350770592689514,0.48690423369407654,0.19964131712913513,0.29879069328308105,0.559237003326416,0.19770386815071106,0.48690423369407654,0.16853533685207367,0.14497362077236176,0.14550894498825073,0.15103481709957123
origins,0.12711016833782196,0.23848609626293182,0.21740876138210297,0.2670811712741852,0.15562719106674194,0.11803409457206726,0.2890577018260956,0.14445063471794128,0.2670811712741852,0.13826443254947662,0.11618803441524506,0.22217760980129242,0.1275135576725006
in,0.2792111933231354,0.287716805934906,0.2725222110748291,0.5696388483047485,0.33311840891838074,0.44050168991088867,0.6662389636039734,0.28539085388183594,0.5696388483047485,0.24986636638641357,0.2295355498790741,0.2128441035747528,0.20430970191955566
the,0.3733934462070465,0.3127642273902893,0.35023224353790283,0.733189046382904,0.28280043601989746,0.4565047025680542,1.0,0.39658910036087036,0.733189046382904,0.2862859070301056,0.3074202835559845,0.29894936084747314,0.22068053483963013
language,0.19501209259033203,0.2313428819179535,0.1862778514623642,0.25272229313850403,0.1300278753042221,0.16982996463775635,0.30198320746421814,0.16299113631248474,0.25272229313850403,0.18058598041534424,0.1107080951333046,0.2344130277633667,0.25349316000938416
spoken,0.21795330941677094,0.32012730836868286,0.22290579974651337,0.25567829608917236,0.13228356838226318,0.12049990892410278,0.31125280261039734,0.1491829752922058,0.25567829608917236,0.20667262375354767,0.07718709111213684,0.2548083961009979,0.1697215884923935
by,0.39727845788002014,0.2664005160331726,0.24959969520568848,0.3646814823150635,0.21564382314682007,0.41259682178497314,0.4408751428127289,0.19136181473731995,0.3646814823150635,0.169524148106575,0.21118007600307465,0.19538317620754242,0.17966607213020325
the,0.3733934462070465,0.3127642273902893,0.35023224353790283,0.733189046382904,0.28280043601989746,0.4565047025680542,1.0,0.39658910036087036,0.733189046382904,0.2862859070301056,0.3074202835559845,0.29894936084747314,0.22068053483963013
anglo-saxon,0.15426979959011078,0.3316532373428345,0.1935318261384964,0.2867993414402008,0.4219241440296173,0.15476886928081512,0.30313578248023987,0.16710448265075684,0.2867993414402008,0.3478184938430786,0.1803596466779709,0.22795400023460388,0.1810905784368515
populations,0.16651174426078796,0.2652919590473175,0.25209322571754456,0.2561377286911011,0.12384721636772156,0.14428997039794922,0.2796059846878052,0.1254979372024536,0.2561377286911011,0.12491440027952194,0.07380253821611404,0.2113170027732849,0.17519071698188782
who,0.9999998807907104,0.24472782015800476,0.2998695373535156,0.2827862501144409,0.23733465373516083,0.32549580931663513,0.3733934462070465,0.15423893928527832,0.2827862501144409,0.1856684684753418,0.11028370261192322,0.31803420186042786,0.26220351457595825
