,what,did,martin,luther,believe,achieved,god,'s,grace,?
luther,0.2134782373905182,0.23667675256729126,0.6228963136672974,1.0,0.21247079968452454,0.09323478490114212,0.2238161414861679,-0.009990512393414974,0.2020328938961029,0.1732746809720993
taught,0.25590506196022034,0.3282313942909241,0.1290445625782013,0.1697547286748886,0.27632656693458557,0.1948200762271881,0.3347882330417633,0.015992429107427597,0.2194814532995224,0.18297621607780457
that,0.6297725439071655,0.47518548369407654,0.1594845950603485,0.21746599674224854,0.533393383026123,0.2204235941171646,0.30817699432373047,0.04397977516055107,0.23538954555988312,0.32716336846351624
salvation,0.31571435928344727,0.15371133387088776,0.20364095270633698,0.24563154578208923,0.3579884469509125,0.18687325716018677,0.42764797806739807,-0.0007873677532188594,0.25431203842163086,0.2133665680885315
and,0.31309178471565247,0.34479495882987976,0.2544763386249542,0.20796556770801544,0.29652947187423706,0.21286144852638245,0.23257656395435333,0.06895173341035843,0.21748536825180054,0.20544172823429108
subsequently,0.10897690057754517,0.24780967831611633,0.1312709003686905,0.11231456696987152,0.1370178908109665,0.14930979907512665,0.09064530581235886,-0.034401413053274155,0.11479391157627106,0.005594457965344191
eternal,0.2438916563987732,0.13750813901424408,0.07735133171081543,0.1919119656085968,0.31340911984443665,0.21560652554035187,0.45902934670448303,0.11692248284816742,0.3293725550174713,0.21455733478069305
life,0.24693015217781067,0.22298283874988556,0.19292210042476654,0.20761863887310028,0.2703624665737152,0.17066851258277893,0.3006202280521393,0.03983813151717186,0.2628450393676758,0.21677987277507782
is,0.28837618231773376,0.19247472286224365,0.17765893042087555,0.08282390236854553,0.27537423372268677,0.17253297567367554,0.2211674600839615,0.02396530658006668,0.17061445116996765,0.22961433231830597
not,0.5449194312095642,0.6481515765190125,0.1783684641122818,0.21636232733726501,0.462744802236557,0.25023210048675537,0.25066840648651123,0.002583299996331334,0.14410534501075745,0.41942933201789856
earned,0.1198340505361557,0.33866041898727417,0.13709774613380432,0.23902133107185364,0.12246920168399811,0.34560272097587585,0.13835614919662476,0.027357451617717743,0.14385361969470978,0.18173527717590332
by,0.2455483376979828,0.18574509024620056,0.21707400679588318,0.15382802486419678,0.23699913918972015,0.20388323068618774,0.15825335681438446,-0.010884488001465797,0.19353429973125458,0.17966607213020325
good,0.3916934132575989,0.35611584782600403,0.0906604453921318,0.1385812908411026,0.3848046660423279,0.2324540615081787,0.2966465950012207,0.09279277920722961,0.19988995790481567,0.3187684714794159
deeds,0.2403980791568756,0.190485879778862,0.13846351206302643,0.24961240589618683,0.35547587275505066,0.18974436819553375,0.2969586253166199,0.06128669157624245,0.3751579821109772,0.23514771461486816
