,what,could,justify,restrictions,on,freedom,of,establishment,?
although,0.24844598770141602,0.32759013772010803,0.20682282745838165,0.2685442268848419,0.3547761142253876,0.14093108475208282,0.3024747669696808,0.16282401978969574,0.15541206300258636
restrictions,0.32496413588523865,0.37581130862236023,0.3574191629886627,0.9999999403953552,0.3151613473892212,0.3476826846599579,0.23272474110126495,0.29388511180877686,0.28638559579849243
on,0.34226128458976746,0.2953716814517975,0.21842265129089355,0.3151613473892212,0.9999999403953552,0.14023002982139587,0.3966929316520691,0.15358547866344452,0.2714994251728058
freedom,0.21405836939811707,0.20246784389019012,0.2661219835281372,0.3476826846599579,0.14023002982139587,1.0,0.26562249660491943,0.23170560598373413,0.1626027375459671
of,0.33290785551071167,0.29043012857437134,0.17726022005081177,0.23272474110126495,0.3966929316520691,0.26562249660491943,1.0,0.27824047207832336,0.1826142966747284
establishment,0.1702135056257248,0.1316835582256317,0.2728269696235657,0.29388511180877686,0.15358547866344452,0.23170560598373413,0.27824047207832336,1.0000001192092896,0.1661023646593094
could,0.4188697934150696,0.9999998807907104,0.29902875423431396,0.37581130862236023,0.2953716814517975,0.20246784389019012,0.29043012857437134,0.1316835582256317,0.3411986827850342
be,0.3929833769798279,0.4791525900363922,0.30188149213790894,0.38689589500427246,0.37900757789611816,0.203146293759346,0.33904364705085754,0.14947816729545593,0.3324260413646698
justified,0.3712652921676636,0.30961430072784424,0.76263827085495,0.3355173170566559,0.26060429215431213,0.17064210772514343,0.21700510382652283,0.2007025182247162,0.38761505484580994
by,0.2455483376979828,0.26333630084991455,0.15502800047397614,0.2322007566690445,0.33887791633605957,0.17961397767066956,0.3646814823150635,0.18964755535125732,0.17966607213020325
creditor,0.25383952260017395,0.23099537193775177,0.2832011282444,0.28657472133636475,0.1424395740032196,0.24949227273464203,0.17251655459403992,0.16739273071289062,0.17984449863433838
protection,0.24867326021194458,0.2777690589427948,0.3187345564365387,0.41990384459495544,0.23012913763523102,0.299795925617218,0.22774651646614075,0.23230625689029694,0.21348094940185547
",",0.3087472915649414,0.27399855852127075,0.20132553577423096,0.2838693857192993,0.49057599902153015,0.2331300526857376,0.4946078956127167,0.20188406109809875,0.31091248989105225
labour,0.11658018827438354,0.1779024451971054,0.2584758400917053,0.2005114108324051,0.1710471659898758,0.31222328543663025,0.18614540994167328,0.16678526997566223,0.15689024329185486
rights,0.2386135458946228,0.2264932096004486,0.2858147621154785,0.3533661663532257,0.22401921451091766,0.48985737562179565,0.19425496459007263,0.2621973156929016,0.21814769506454468
