,what,was,the,primary,race,of,students,attending,christian,academies,after,the,brown,decision,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.21150650084018707,0.2270909547805786,0.5696388483047485,0.2676171064376831,0.3283235728740692,0.17218929529190063,0.2481706738471985,0.44050168991088867,0.6662389636039734,0.20236437022686005,0.2212151288986206,0.20430970191955566
much,0.45316147804260254,0.2580166161060333,0.35023224353790283,0.17569012939929962,0.16950669884681702,0.2671096920967102,0.18897780776023865,0.15528209507465363,0.10697164386510849,0.1868877410888672,0.19944456219673157,0.35023224353790283,0.15004368126392365,0.18859854340553284,0.23442231118679047
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23414276540279388,0.22476476430892944,1.0,0.25513339042663574,0.3117976486682892,0.23494116961956024,0.27202022075653076,0.3867455720901489,0.733189046382904,0.19249911606311798,0.2331373691558838,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.25688621401786804,0.2584857642650604,0.733189046382904,0.25268980860710144,0.3202296495437622,0.19930796325206757,0.25615057349205017,0.4565047025680542,1.0,0.2198052853345871,0.2905151844024658,0.22068053483963013
u.s.,0.11178889125585556,0.06837434321641922,0.06592652946710587,0.0021815483924001455,0.01605428382754326,0.011562774889171124,0.04360873997211456,0.024285398423671722,0.06709101796150208,0.008185730315744877,0.11192241311073303,0.06592652946710587,0.03831341490149498,0.03824872151017189,0.07886100560426712
south,0.15388517081737518,0.2792486846446991,0.3129390776157379,0.17316454648971558,0.1725023090839386,0.33382371068000793,0.23090268671512604,0.197896808385849,0.16166453063488007,0.24266433715820312,0.21278640627861023,0.3129390776157379,0.17289237678050995,0.08311185985803604,0.12336621433496475
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2565748989582062,0.28230950236320496,0.4946078956127167,0.26501646637916565,0.31158989667892456,0.23595517873764038,0.28677549958229065,0.38860568404197693,0.4933079481124878,0.2983597218990326,0.2818170189857483,0.31091248989105225
many,0.36131182312965393,0.260356068611145,0.4335206151008606,0.22016435861587524,0.15717802941799164,0.37253960967063904,0.2713872492313385,0.30262306332588196,0.17312119901180267,0.2804204225540161,0.2586410939693451,0.4335206151008606,0.15853647887706757,0.1825752705335617,0.2124512493610382
white,0.1410645991563797,0.17150278389453888,0.25492873787879944,0.15013140439987183,0.2569445073604584,0.23826628923416138,0.15040223300457,0.10302102565765381,0.11847643554210663,0.0693575069308281,0.15012657642364502,0.25492873787879944,0.39490124583244324,0.0742078498005867,0.124679796397686
students,0.2380729615688324,0.19959072768688202,0.25268980860710144,0.26349249482154846,0.1736404001712799,0.25513339042663574,1.0,0.5490877628326416,0.2519765794277191,0.5133576989173889,0.21072499454021454,0.25268980860710144,0.15558293461799622,0.2121022641658783,0.18017297983169556
