,packet,switching,contrast,with,what,other,principal
packet,1.0000001192092896,0.3031770586967468,0.228183776140213,0.25691017508506775,0.2392171323299408,0.2225099503993988,0.12609489262104034
switching,0.3031770586967468,1.0000001192092896,0.2906440794467926,0.257494181394577,0.24737738072872162,0.31445828080177307,0.1274726241827011
contrasts,0.25341910123825073,0.29739075899124146,0.8867340087890625,0.3101012706756592,0.30365321040153503,0.35367241501808167,0.2331169843673706
with,0.25691017508506775,0.257494181394577,0.24865740537643433,0.9999999403953552,0.2464839518070221,0.44086363911628723,0.20574983954429626
another,0.27894243597984314,0.28596752882003784,0.2801067531108856,0.359900563955307,0.4190070629119873,0.4440920054912567,0.25654107332229614
principal,0.12609489262104034,0.1274726241827011,0.1905672699213028,0.20574983954429626,0.1582305133342743,0.19809749722480774,0.9999998807907104
networking,0.34193602204322815,0.3910807967185974,0.2130320966243744,0.2745855152606964,0.2650068402290344,0.3686218559741974,0.11179189383983612
paradigm,0.1749000996351242,0.26677483320236206,0.284492552280426,0.13253721594810486,0.38113337755203247,0.2242564857006073,0.10400926321744919
",",0.12501740455627441,0.2805156409740448,0.21571755409240723,0.4120737314224243,0.3087472915649414,0.4446498453617096,0.2394111454486847
circuit,0.19544361531734467,0.2617068588733673,0.11862655729055405,0.1002940908074379,0.1518143117427826,0.17272192239761353,0.18400992453098297
switching,0.3031770586967468,1.0000001192092896,0.2906440794467926,0.257494181394577,0.24737738072872162,0.31445828080177307,0.1274726241827011
",",0.12501740455627441,0.2805156409740448,0.21571755409240723,0.4120737314224243,0.3087472915649414,0.4446498453617096,0.2394111454486847
a,0.2726188004016876,0.31424853205680847,0.29432156682014465,0.3783375024795532,0.3320399522781372,0.2806335389614105,0.15884900093078613
method,0.3149372935295105,0.34754058718681335,0.33847931027412415,0.19631105661392212,0.25476205348968506,0.18790766596794128,0.12189281731843948
which,0.3202694058418274,0.3350684642791748,0.3396453261375427,0.46403205394744873,0.5261979103088379,0.50507652759552,0.20975840091705322
pre-allocates,0.3501194417476654,0.3637562394142151,0.3591509163379669,0.2570476531982422,0.3138510584831238,0.3062317967414856,0.2592325508594513
dedicated,0.10704540461301804,0.1385064274072647,0.13131165504455566,0.2172909677028656,0.1580183058977127,0.18873551487922668,0.1371288299560547
network,0.3267378509044647,0.32434526085853577,0.15321554243564606,0.2153671681880951,0.16917307674884796,0.23709821701049805,0.13074982166290283
bandwidth,0.47528529167175293,0.4533582031726837,0.3285719156265259,0.22502201795578003,0.36889100074768066,0.3063282072544098,0.07908434420824051
specifically,0.21581920981407166,0.24798870086669922,0.2797892391681671,0.2542423605918884,0.37581726908683777,0.3460177779197693,0.09295697510242462
for,0.2710157036781311,0.29707083106040955,0.20690715312957764,0.39140474796295166,0.3017193675041199,0.3273986279964447,0.18790912628173828
each,0.2744428515434265,0.3299218416213989,0.32805895805358887,0.4100050628185272,0.3353266417980194,0.5260580778121948,0.1730138212442398
communication,0.3157258927822113,0.39121273159980774,0.29445943236351013,0.2627416253089905,0.283955842256546,0.35359987616539,0.13345114886760712
session,0.19176113605499268,0.28985321521759033,0.1364647001028061,0.2258126586675644,0.17364954948425293,0.18371957540512085,0.1362488567829132
",",0.12501740455627441,0.2805156409740448,0.21571755409240723,0.4120737314224243,0.3087472915649414,0.4446498453617096,0.2394111454486847
each,0.2744428515434265,0.3299218416213989,0.32805895805358887,0.4100050628185272,0.3353266417980194,0.5260580778121948,0.1730138212442398
having,0.16947856545448303,0.3166643977165222,0.3019513785839081,0.5057834982872009,0.34064167737960815,0.37414079904556274,0.19995437562465668
a,0.2726188004016876,0.31424853205680847,0.29432156682014465,0.3783375024795532,0.3320399522781372,0.2806335389614105,0.15884900093078613
constant,0.14810064435005188,0.2103501260280609,0.21210148930549622,0.23216186463832855,0.22559526562690735,0.19112612307071686,0.18829545378684998
bit,0.30323025584220886,0.3170824348926544,0.24704435467720032,0.2508671283721924,0.3366006016731262,0.271137535572052,-0.013979987241327763
rate,0.20108766853809357,0.1682244837284088,0.26336053013801575,0.12391091138124466,0.21845893561840057,0.18143542110919952,0.10256469249725342
and,0.22431595623493195,0.24014128744602203,0.2737886309623718,0.5477725267410278,0.31309178471565247,0.5504306554794312,0.2770732343196869
latency,0.36312493681907654,0.42521408200263977,0.26111283898353577,0.1788223683834076,0.25800761580467224,0.23606614768505096,0.0866062343120575
between,0.10905178636312485,0.23871955275535583,0.29920193552970886,0.3829993009567261,0.2462156116962433,0.30660146474838257,0.12317293882369995
nodes,0.2953698933124542,0.3829086720943451,0.3040834069252014,0.21115770936012268,0.1610754281282425,0.31716394424438477,0.11394494771957397
.,0.1900589019060135,0.31317952275276184,0.21616345643997192,0.4446153938770294,0.3567904531955719,0.41511186957359314,0.20513196289539337
