,when,did,he,make,the,quoted,remarks,about,super,bowl,50,?
in,0.4431333839893341,0.2593238651752472,0.41690486669540405,0.268858402967453,0.6662389636039734,0.1343328058719635,0.23057973384857178,0.39797019958496094,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
early,0.32107013463974,0.32047218084335327,0.26418617367744446,0.21078400313854218,0.34442198276519775,0.19075973331928253,0.18981574475765228,0.24888624250888824,0.10942362248897552,0.14853668212890625,0.015778101980686188,0.15272949635982513
2012,0.30712300539016724,0.16113266348838806,0.20103073120117188,0.23550547659397125,0.46885523200035095,0.11581793427467346,0.12501104176044464,0.30420026183128357,0.19708658754825592,0.1755882352590561,0.017723556607961655,0.18042556941509247
",",0.36674630641937256,0.3015086054801941,0.40251094102859497,0.324553906917572,0.4933079481124878,0.23520775139331818,0.29106682538986206,0.3877100944519043,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
nfl,0.13304822146892548,0.16524574160575867,0.20138944685459137,0.15523679554462433,0.15305201709270477,0.10078182071447372,0.09302545338869095,0.07379265129566193,0.319060355424881,0.48354101181030273,-0.06279195845127106,0.10610254108905792
commissioner,0.20733073353767395,0.19308091700077057,0.3031007945537567,0.1660543978214264,0.25271227955818176,0.13600067794322968,0.17347192764282227,0.0699283629655838,0.162574902176857,0.17646083235740662,0.03049071878194809,0.1209191158413887
roger,0.16945312917232513,0.16114541888237,0.1923404186964035,0.07139068841934204,0.1998666524887085,0.13074766099452972,0.19996458292007446,0.16367630660533905,0.1611955761909485,0.1433940976858139,0.03958752378821373,0.0969553217291832
goodell,0.22213216125965118,0.2014486938714981,0.3518123924732208,0.17941296100616455,0.2954566180706024,0.17886437475681305,0.23447076976299286,0.163882315158844,0.22485686838626862,0.2514421343803406,-0.013359075412154198,0.18825720250606537
stated,0.22441600263118744,0.3936442732810974,0.20432022213935852,0.20122112333774567,0.2814950942993164,0.4937379062175751,0.37230873107910156,0.3106665313243866,0.1140226274728775,0.04108824580907822,-0.04979994520545006,0.24280361831188202
that,0.5860282182693481,0.47518548369407654,0.36068853735923767,0.48783382773399353,0.5473989248275757,0.30618008971214294,0.3315815031528473,0.4500710964202881,0.18258553743362427,0.10987387597560883,-0.014119508676230907,0.32716336846351624
the,0.5091903209686279,0.34736719727516174,0.4571082592010498,0.3146495521068573,1.0,0.19970788061618805,0.2423366904258728,0.37995871901512146,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
league,0.2000882774591446,0.17557655274868011,0.2922196686267853,0.12700673937797546,0.2724147439002991,0.06430638581514359,0.10212171822786331,0.09382462501525879,0.37144264578819275,0.3365440368652344,0.07430867850780487,0.15941482782363892
planned,0.15857912600040436,0.3708326518535614,0.23390381038188934,0.23000189661979675,0.3010992109775543,0.17000824213027954,0.14790785312652588,0.21999645233154297,0.17853780090808868,0.08377405256032944,0.07631795853376389,0.16188396513462067
to,0.5423505902290344,0.4452643394470215,0.385390967130661,0.497876912355423,0.535392165184021,0.13925369083881378,0.22764086723327637,0.391953706741333,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.29463258385658264
