,what,do,the,services,given,by,pharmacists,provide,?
pharmacists,0.28274545073509216,0.328380823135376,0.24311043322086334,0.23296315968036652,0.2303237020969391,0.22679635882377625,1.0,0.2320055514574051,0.1797308325767517
provide,0.27049049735069275,0.36434707045555115,0.26373472809791565,0.41313081979751587,0.31458738446235657,0.2001653015613556,0.2320055514574051,1.0,0.22704634070396423
direct,0.26271191239356995,0.20146861672401428,0.3262479901313782,0.22085203230381012,0.17739373445510864,0.33004793524742126,0.1507912278175354,0.3743736147880554,0.18476411700248718
patient,0.3135989308357239,0.23987282812595367,0.2195289433002472,0.1909303367137909,0.22979524731636047,0.15391533076763153,0.348532497882843,0.2570286691188812,0.24355199933052063
care,0.2973911762237549,0.306549996137619,0.1663842648267746,0.32690298557281494,0.20294369757175446,0.1897112876176834,0.28419914841651917,0.35965803265571594,0.24279968440532684
services,0.16048473119735718,0.18574553728103638,0.2381475418806076,1.0,0.23779411613941193,0.2132156491279602,0.23296315968036652,0.41313081979751587,0.1328447163105011
that,0.6297725439071655,0.44533252716064453,0.5473989248275757,0.2574901282787323,0.3486595153808594,0.37496164441108704,0.3158316910266876,0.367409884929657,0.32716336846351624
optimizes,0.17945609986782074,0.2045195996761322,0.19057045876979828,0.3120115101337433,0.22344902157783508,0.17037226259708405,0.23502889275550842,0.42154327034950256,0.17554941773414612
the,0.42745697498321533,0.30239659547805786,1.0,0.2381475418806076,0.37508252263069153,0.4408751428127289,0.24311043322086334,0.26373472809791565,0.22068053483963013
use,0.3453877568244934,0.4545445144176483,0.34342584013938904,0.3022276759147644,0.3280956447124481,0.21048003435134888,0.29568368196487427,0.527866542339325,0.32795652747154236
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.23787347972393036,0.39388060569763184,0.3646814823150635,0.20506609976291656,0.27198103070259094,0.1826142966747284
medication,0.28847256302833557,0.27601927518844604,0.24671530723571777,0.24515584111213684,0.3122383654117584,0.21255257725715637,0.44281280040740967,0.30613893270492554,0.2275196760892868
and,0.31309178471565247,0.276123583316803,0.5171257257461548,0.30811867117881775,0.30185943841934204,0.4289871156215668,0.26810887455940247,0.32960009574890137,0.20544172823429108
promotes,0.153864786028862,0.19042760133743286,0.2548770308494568,0.2638494372367859,0.1389285773038864,0.1699373722076416,0.20245802402496338,0.2532341778278351,0.1558201164007187
health,0.21460163593292236,0.1685679703950882,0.2340974360704422,0.4026874303817749,0.24162420630455017,0.15055210888385773,0.29165908694267273,0.30424848198890686,0.16094304621219635
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.24788528680801392,0.2843315005302429,0.3680937886238098,0.22197484970092773,0.20966707170009613,0.31091248989105225
wellness,0.25852885842323303,0.2217896729707718,0.25826549530029297,0.3697771728038788,0.19648325443267822,0.2121560275554657,0.2543078362941742,0.3047042787075043,0.18318013846874237
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.24788528680801392,0.2843315005302429,0.3680937886238098,0.22197484970092773,0.20966707170009613,0.31091248989105225
and,0.31309178471565247,0.276123583316803,0.5171257257461548,0.30811867117881775,0.30185943841934204,0.4289871156215668,0.26810887455940247,0.32960009574890137,0.20544172823429108
disease,0.2391042411327362,0.17432160675525665,0.22720423340797424,0.1842869520187378,0.16250143945217133,0.15786179900169373,0.21238750219345093,0.12298964709043503,0.16159942746162415
prevention,0.2702800929546356,0.249948188662529,0.33015450835227966,0.33371850848197937,0.2020353376865387,0.26376843452453613,0.2663741409778595,0.38088563084602356,0.2329448014497757
.,0.3567904531955719,0.3613996207714081,0.5934505462646484,0.2179025262594223,0.3169408142566681,0.3936232924461365,0.27446362376213074,0.23842981457710266,0.4130953550338745
