,what,sorts,of,items,are,displayed,in,the,esteve,pharmacy,museum,?
the,0.42745697498321533,0.2845374643802643,0.733189046382904,0.23580949008464813,0.40399202704429626,0.2887660264968872,0.6662389636039734,1.0,0.2127404510974884,0.1938311904668808,0.24861779808998108,0.22068053483963013
medieval,0.2230893075466156,0.2179882675409317,0.31686919927597046,0.2111167162656784,0.13899409770965576,0.12117000669240952,0.2546980679035187,0.28617456555366516,0.17821700870990753,0.12701667845249176,0.14943410456180573,0.15571735799312592
esteve,0.21406486630439758,0.11386294662952423,0.21217785775661469,0.13333161175251007,0.16438455879688263,0.06504963338375092,0.19443367421627045,0.2127404510974884,1.0000001192092896,0.17118561267852783,0.11350177973508835,0.26205524802207947
pharmacy,0.21638189256191254,0.16291813552379608,0.18226979672908783,0.202176034450531,0.1491841822862625,0.17495529353618622,0.22082467377185822,0.1938311904668808,0.17118561267852783,1.0,0.19665493071079254,0.1355620175600052
",",0.3087472915649414,0.20708627998828888,0.4946078956127167,0.21073096990585327,0.4062570035457611,0.2104237824678421,0.5201468467712402,0.4933079481124878,0.34095942974090576,0.19815339148044586,0.20741747319698334,0.31091248989105225
located,0.2034616470336914,0.04801725223660469,0.32520920038223267,0.1358945369720459,0.24096766114234924,0.2614041268825531,0.35149815678596497,0.407527357339859,0.1523369550704956,0.21698743104934692,0.35259270668029785,0.08983194828033447
in,0.30808621644973755,0.2065868079662323,0.5696388483047485,0.2189844399690628,0.3841303884983063,0.22596381604671478,1.0,0.6662389636039734,0.19443367421627045,0.22082467377185822,0.2407650351524353,0.20430970191955566
llívia,0.2623423635959625,0.16740193963050842,0.32290181517601013,0.15363769233226776,0.2178252637386322,0.13597095012664795,0.3446008265018463,0.3515890836715698,0.30366775393486023,0.2864581346511841,0.25225991010665894,0.25133901834487915
",",0.3087472915649414,0.20708627998828888,0.4946078956127167,0.21073096990585327,0.4062570035457611,0.2104237824678421,0.5201468467712402,0.4933079481124878,0.34095942974090576,0.19815339148044586,0.20741747319698334,0.31091248989105225
a,0.3320399522781372,0.22769320011138916,0.5052502155303955,0.2916238307952881,0.265255331993103,0.22292453050613403,0.539380669593811,0.5829201340675354,0.18017560243606567,0.21975059807300568,0.14725451171398163,0.23916715383529663
