,stephen,eilmann,asks,why,show,public,civil,disobedience,instead,what,is,a,better,idea,?
but,0.2059800624847412,0.14336174726486206,0.302077054977417,0.49691087007522583,0.2724117040634155,0.19627484679222107,0.22084347903728485,0.2850637137889862,0.44999611377716064,0.5029441118240356,0.4106791317462921,0.44750767946243286,0.3157491087913513,0.4015845060348511,0.27921953797340393
stephen,0.9999999403953552,0.19686123728752136,0.11997634917497635,0.14527104794979095,0.13536235690116882,0.12429334223270416,0.21145133674144745,0.18352051079273224,0.11429474502801895,0.19542662799358368,0.1521863490343094,0.18099015951156616,0.16426774859428406,0.170567587018013,0.13611415028572083
eilmann,0.19686123728752136,1.0,0.23907917737960815,0.1729554682970047,0.15000437200069427,0.12465319782495499,0.09858866035938263,0.17254464328289032,0.15603381395339966,0.15192654728889465,0.14136585593223572,0.1972268670797348,0.14084844291210175,0.2105126976966858,0.15311166644096375
argues,0.24361351132392883,0.11771659553050995,0.3682999908924103,0.2541227638721466,0.22254112362861633,0.21325989067554474,0.17222075164318085,0.3338176906108856,0.20360836386680603,0.3211183547973633,0.2095448076725006,0.21543139219284058,0.2225905805826187,0.4236627519130707,0.20733967423439026
that,0.19612394273281097,0.12611034512519836,0.3195631504058838,0.5601457357406616,0.3486354649066925,0.2622828185558319,0.16867391765117645,0.3551425039768219,0.43556153774261475,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.3591441810131073,0.49277663230895996,0.32716336846351624
if,0.14581432938575745,0.18887518346309662,0.3398534953594208,0.525363028049469,0.2619461119174957,0.1735907644033432,0.12512178719043732,0.20446431636810303,0.4692608714103699,0.5277165174484253,0.30927813053131104,0.41272827982902527,0.2864907681941986,0.32846423983573914,0.4441644251346588
it,0.16451998054981232,0.13820944726467133,0.1488487422466278,0.376611590385437,0.2669452726840973,0.2047269344329834,0.17707513272762299,0.2648297846317291,0.30331769585609436,0.45803478360176086,0.6328473687171936,0.5452592968940735,0.2868439853191376,0.3854401707649231,0.25732165575027466
is,0.1521863490343094,0.14136585593223572,0.2204374074935913,0.26410171389579773,0.2144283652305603,0.1980048567056656,0.16941262781620026,0.21453623473644257,0.3180348575115204,0.28837618231773376,1.0,0.658733606338501,0.23651917278766632,0.21963010728359222,0.22961433231830597
necessary,0.15886712074279785,0.12152673304080963,0.2024017572402954,0.43087977170944214,0.2127365916967392,0.24294081330299377,0.18253527581691742,0.3195277750492096,0.3905346393585205,0.3794087767601013,0.23441283404827118,0.2920435667037964,0.34524989128112793,0.3501557409763336,0.3430270850658417
to,0.1423051357269287,0.13999557495117188,0.34314656257629395,0.4100138247013092,0.29833272099494934,0.2672370672225952,0.2019355595111847,0.30665844678878784,0.457004189491272,0.455847829580307,0.42745086550712585,0.45503583550453186,0.29406851530075073,0.3542773127555847,0.29463258385658264
disobey,0.19058415293693542,0.23098628222942352,0.37184053659439087,0.24877043068408966,0.18588460981845856,0.20213840901851654,0.4297301471233368,0.7874314188957214,0.3199801445007324,0.3160955011844635,0.16303014755249023,0.2082684189081192,0.15611813962459564,0.23746651411056519,0.1670040488243103
rules,0.15753699839115143,0.2034635841846466,0.20668281614780426,0.21376381814479828,0.19680345058441162,0.10386279225349426,0.15467096865177155,0.33567944169044495,0.23108255863189697,0.3341682255268097,0.1963796466588974,0.20817093551158905,0.17337311804294586,0.2504953444004059,0.22111085057258606
