,where,does,the,pattern,of,higher,income-longer,lives,still,hold,true,?
this,0.4012809097766876,0.4166489243507385,0.6274310946464539,0.2769015431404114,0.45148900151252747,0.29082757234573364,0.4547709822654724,0.15256580710411072,0.4357816278934479,0.31573933362960815,0.33604276180267334,0.3155723512172699
pattern,0.20974428951740265,0.1449161320924759,0.2485450804233551,1.0000001192092896,0.16445347666740417,0.21155978739261627,0.1929856538772583,0.10636773705482483,0.15843631327152252,0.16560932993888855,0.17118507623672485,0.20064511895179749
of,0.38066378235816956,0.3119818866252899,0.733189046382904,0.16445347666740417,1.0,0.3096220791339874,0.358640193939209,0.28370368480682373,0.3288819193840027,0.2465030699968338,0.21835467219352722,0.1826142966747284
higher,0.2712603211402893,0.32568827271461487,0.3292480409145355,0.21155978739261627,0.3096220791339874,1.0,0.4125346541404724,0.15355445444583893,0.24725142121315002,0.26802924275398254,0.15477944910526276,0.15679465234279633
incomes-longer,0.31266820430755615,0.33147814869880676,0.4013920724391937,0.21918325126171112,0.3827265202999115,0.4292382001876831,0.9637808799743652,0.17618048191070557,0.4061775505542755,0.27001604437828064,0.26165276765823364,0.29923033714294434
lives,0.27085697650909424,0.23464679718017578,0.24881523847579956,0.10636773705482483,0.28370368480682373,0.15355445444583893,0.1969609558582306,0.9999998807907104,0.19123150408267975,0.1368284672498703,0.20099978148937225,0.15810374915599823
still,0.42040762305259705,0.3817117214202881,0.40142056345939636,0.15843631327152252,0.3288819193840027,0.24725142121315002,0.39884310960769653,0.19123150408267975,1.0,0.37427565455436707,0.23496320843696594,0.3039587736129761
holds,0.2823791205883026,0.2685805559158325,0.28190866112709045,0.08885377645492554,0.2644946873188019,0.2272542268037796,0.22939540445804596,0.2049078792333603,0.24149127304553986,0.580230176448822,0.21235975623130798,0.11379207670688629
among,0.26159363985061646,0.13270315527915955,0.3507058024406433,0.04315488785505295,0.3679063022136688,0.212976336479187,0.3030465245246887,0.14503440260887146,0.3481288254261017,0.19257280230522156,0.12483598291873932,0.14343059062957764
poorer,0.196031391620636,0.22138093411922455,0.2263936996459961,0.1583297848701477,0.2160215824842453,0.3827407658100128,0.5224683284759521,0.23256118595600128,0.3145271837711334,0.22214375436306,0.13530418276786804,0.14399310946464539
countries,0.2731434106826782,0.2621564269065857,0.33290645480155945,0.1343761384487152,0.2800094783306122,0.22563675045967102,0.33059462904930115,0.1680593341588974,0.32192978262901306,0.22075499594211578,0.07467401772737503,0.15128466486930847
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.14527317881584167,0.4946078956127167,0.251458078622818,0.352874755859375,0.32538965344429016,0.35217106342315674,0.2803111970424652,0.252440869808197,0.31091248989105225
where,0.9999999403953552,0.2965966761112213,0.5003893971443176,0.20974428951740265,0.38066378235816956,0.2712603211402893,0.27901262044906616,0.27085697650909424,0.42040762305259705,0.2731550931930542,0.20970335602760315,0.24793872237205505
life,0.19339025020599365,0.14979252219200134,0.23528170585632324,0.12428707629442215,0.2788603901863098,0.1405239850282669,0.2668769657611847,0.4799027144908905,0.21224290132522583,0.14296461641788483,0.2654479146003723,0.21677987277507782
expectancy,0.23597876727581024,0.2995928227901459,0.2736141085624695,0.2318577766418457,0.306922972202301,0.4095914363861084,0.5083789825439453,0.27110305428504944,0.27154210209846497,0.1525724083185196,0.2490628957748413,0.1959744244813919
