,who,was,the,film,charly,produced,by,?
that,0.45444270968437195,0.33670201897621155,0.5473989248275757,0.19801650941371918,0.10860319435596466,0.2527473568916321,0.37496164441108704,0.32716336846351624
year,0.2851492762565613,0.3209837079048157,0.3609684407711029,0.22832289338111877,0.21364501118659973,0.16949312388896942,0.28805047273635864,0.18315006792545319
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2552308440208435,0.2544166147708893,0.22260788083076477,0.3680937886238098,0.31091248989105225
roone,0.3240370750427246,0.2372283935546875,0.24336695671081543,0.2534525692462921,0.26583534479141235,0.1654018759727478,0.216336190700531,0.21176548302173615
arledge,0.23872581124305725,0.23825472593307495,0.38004153966903687,0.26285475492477417,0.2910286486148834,0.18600723147392273,0.2721877992153168,0.30967646837234497
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.25235438346862793,0.2764523923397064,0.28463777899742126,0.4752357602119446,0.18412111699581146
named,0.38541290163993835,0.37528327107429504,0.3521348536014557,0.11911798268556595,0.24181993305683136,0.17367498576641083,0.30212631821632385,0.1297498345375061
president,0.22565458714962006,0.2505730390548706,0.24330610036849976,0.153179332613945,0.1481086015701294,0.13554133474826813,0.18304786086082458,0.14148259162902832
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.22166931629180908,0.1647651344537735,0.18961067497730255,0.3646814823150635,0.1826142966747284
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,0.19744548201560974,0.1893405318260193,0.2414293736219406,0.17600902915000916,0.19065172970294952
sports,0.15396633744239807,0.19941140711307526,0.20313861966133118,0.17853309214115143,0.1306254267692566,0.13501565158367157,0.1928456425666809,0.04557104781270027
;,0.007937713526189327,0.0754367932677269,0.09152708947658539,-0.004339606035500765,0.048060815781354904,-0.001334897126071155,0.10469875484704971,0.10349778085947037
the,0.3733934462070465,0.48711544275283813,1.0,0.2824619710445404,0.2594904601573944,0.22045251727104187,0.4408751428127289,0.22068053483963013
company,0.2383776307106018,0.2293137013912201,0.26591673493385315,0.16608159244060516,0.180197611451149,0.29742905497550964,0.22328482568264008,0.12195809185504913
also,0.47919341921806335,0.4032125174999237,0.6021018624305725,0.21156583726406097,0.2443666011095047,0.28534018993377686,0.3824189305305481,0.21848613023757935
founded,0.2723641097545624,0.36917948722839355,0.2840350568294525,0.09074003249406815,0.16136327385902405,0.30583932995796204,0.264241099357605,0.09119737893342972
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,0.19744548201560974,0.1893405318260193,0.2414293736219406,0.17600902915000916,0.19065172970294952
pictures,0.1771126240491867,0.19563059508800507,0.2478199452161789,0.36265212297439575,0.1379164755344391,0.2984985113143921,0.25137969851493835,0.20528490841388702
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2552308440208435,0.2544166147708893,0.22260788083076477,0.3680937886238098,0.31091248989105225
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.19172197580337524,0.23771724104881287,0.21993228793144226,0.32094135880470276,0.23916715383529663
film,0.16308167576789856,0.25235438346862793,0.2824619710445404,0.9999999403953552,0.20668171346187592,0.2352808117866516,0.17890147864818573,0.16369038820266724
production,0.11406747996807098,0.20499728620052338,0.2657334506511688,0.2881653308868408,0.16990046203136444,0.625007152557373,0.24570661783218384,0.19318072497844696
company,0.2383776307106018,0.2293137013912201,0.26591673493385315,0.16608159244060516,0.180197611451149,0.29742905497550964,0.22328482568264008,0.12195809185504913
which,0.3688730001449585,0.2830964922904968,0.6521818041801453,0.15144312381744385,0.17065070569515228,0.36149924993515015,0.40543368458747864,0.25814583897590637
released,0.15033993124961853,0.32720035314559937,0.24578391015529633,0.3011223375797272,0.17379531264305115,0.42076432704925537,0.31595227122306824,0.20329579710960388
its,0.1326070874929428,0.3518870174884796,0.559237003326416,0.14654311537742615,0.2183655947446823,0.19729402661323547,0.24398943781852722,0.15103481709957123
first,0.39065709710121155,0.5022147297859192,0.49448907375335693,0.1921287626028061,0.18695610761642456,0.2504335343837738,0.3877052962779999,0.18701928853988647
picture,0.1816292554140091,0.19888970255851746,0.31755533814430237,0.4303273558616638,0.12742456793785095,0.1609908789396286,0.17909975349903107,0.24607865512371063
that,0.45444270968437195,0.33670201897621155,0.5473989248275757,0.19801650941371918,0.10860319435596466,0.2527473568916321,0.37496164441108704,0.32716336846351624
year,0.2851492762565613,0.3209837079048157,0.3609684407711029,0.22832289338111877,0.21364501118659973,0.16949312388896942,0.28805047273635864,0.18315006792545319
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2552308440208435,0.2544166147708893,0.22260788083076477,0.3680937886238098,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.2824619710445404,0.2594904601573944,0.22045251727104187,0.4408751428127289,0.22068053483963013
ralph,0.27632367610931396,0.2217940241098404,0.1921381652355194,0.1594536155462265,0.2017006129026413,0.07439892739057541,0.15278442203998566,0.0765800029039383
nelson-directed,0.26976677775382996,0.3058910071849823,0.30807042121887207,0.36344239115715027,0.21321387588977814,0.46277615427970886,0.3833751976490021,0.1687794178724289
charly,0.20755170285701752,0.2764523923397064,0.2594904601573944,0.20668171346187592,1.0,0.0959518551826477,0.20528221130371094,0.17653021216392517
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.22823183238506317,0.20802628993988037,0.2634154260158539,0.3936232924461365,0.4130953550338745
