,who,may,also,submit,private,bills,to,parliament,?
bills,0.1645503044128418,0.19348685443401337,0.2870922386646271,0.21704649925231934,0.20020893216133118,1.0,0.24257683753967285,0.26832765340805054,0.12315891683101654
can,0.2602734863758087,0.43584567308425903,0.4861826002597809,0.1356765180826187,0.15051504969596863,0.3075481951236725,0.4979398250579834,0.1599172055721283,0.3226337134838104
be,0.3371641933917999,0.45514434576034546,0.48342031240463257,0.2135818749666214,0.1834806501865387,0.2385317087173462,0.4972836375236511,0.1534755527973175,0.3324260413646698
introduced,0.18349657952785492,0.10691121965646744,0.26052504777908325,0.1483810544013977,0.11344273388385773,0.19335055351257324,0.22615164518356323,0.14828616380691528,0.16386865079402924
to,0.42656609416007996,0.391582727432251,0.5348826050758362,0.28412961959838867,0.18892748653888702,0.24257683753967285,1.0,0.20290622115135193,0.29463258385658264
parliament,0.237068772315979,0.21585623919963837,0.22454090416431427,0.23812945187091827,0.16003824770450592,0.26832765340805054,0.20290622115135193,1.0,0.1586504578590393
in,0.2792111933231354,0.3424151837825775,0.5073733329772949,0.1300755739212036,0.21135757863521576,0.14907318353652954,0.45010748505592346,0.2323146015405655,0.20430970191955566
a,0.36608949303627014,0.29255667328834534,0.5149940252304077,0.19167184829711914,0.20346391201019287,0.24252058565616608,0.45503583550453186,0.22951169312000275,0.23916715383529663
number,0.21304799616336823,0.18605102598667145,0.36623433232307434,0.16334253549575806,0.11955348402261734,0.1782657504081726,0.2706126868724823,0.16588084399700165,0.19256845116615295
of,0.2827862501144409,0.26447007060050964,0.4924938678741455,0.2136346697807312,0.18706899881362915,0.21196214854717255,0.41548454761505127,0.2885259687900543,0.1826142966747284
ways,0.3137008845806122,0.24969244003295898,0.4492565989494324,0.16473835706710815,0.10080483555793762,0.19224540889263153,0.3916551172733307,0.1536400318145752,0.2710120975971222
;,0.007937713526189327,-0.015097163617610931,0.04470096528530121,0.013145653530955315,0.07344416528940201,0.03997933864593506,0.0979827418923378,0.03756367042660713,0.10349778085947037
the,0.3733934462070465,0.2694292366504669,0.6021018624305725,0.19348543882369995,0.18291357159614563,0.2371491938829422,0.535392165184021,0.26521381735801697,0.22068053483963013
scottish,0.27621203660964966,0.21667926013469696,0.19968272745609283,0.1007838100194931,0.1477859914302826,0.1690821796655655,0.1268421709537506,0.3418616056442261,0.06442669779062271
government,0.27194860577583313,0.21966363489627838,0.262620747089386,0.22908379137516022,0.3261575996875763,0.23574750125408173,0.28343796730041504,0.5386218428611755,0.18851417303085327
can,0.2602734863758087,0.43584567308425903,0.4861826002597809,0.1356765180826187,0.15051504969596863,0.3075481951236725,0.4979398250579834,0.1599172055721283,0.3226337134838104
introduce,0.2289908230304718,0.11500620096921921,0.24483901262283325,0.27725303173065186,0.13021035492420197,0.2345513552427292,0.3381519317626953,0.18331246078014374,0.22698114812374115
new,0.2378052920103073,0.19349534809589386,0.30404865741729736,0.17637576162815094,0.15541495382785797,0.24364028871059418,0.33159172534942627,0.17184364795684814,0.14782847464084625
laws,0.30102699995040894,0.18486784398555756,0.3000333905220032,0.17706666886806488,0.11873725801706314,0.3315223455429077,0.2910608649253845,0.42866581678390503,0.17911791801452637
