,what,is,a,notable,application,of,injectors,today,?
injectors,0.1479194164276123,0.16110967099666595,0.2312500923871994,0.10780510306358337,0.2806205153465271,0.20155547559261322,1.0,0.14011456072330475,0.16206829249858856
became,0.1434093862771988,0.34253424406051636,0.28774285316467285,0.1376856565475464,0.16232025623321533,0.3638904094696045,0.12291129678487778,0.32388946413993835,0.11374033987522125
popular,0.186283677816391,0.30144429206848145,0.2756339907646179,0.27191275358200073,0.20080289244651794,0.25281813740730286,0.1516863852739334,0.4084361493587494,0.13108457624912262
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.25145605206489563,0.23744744062423706,0.5696388483047485,0.12252667546272278,0.3300545811653137,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.20948168635368347,0.2483029067516327,0.733189046382904,0.20639577507972717,0.35740926861763,0.22068053483963013
1850s,0.4903399646282196,0.31595179438591003,0.35870400071144104,0.30203309655189514,0.310467392206192,0.27313485741615295,0.30271196365356445,0.29428741335868835,0.45955878496170044
but,0.5029441118240356,0.4106791317462921,0.44750767946243286,0.2712145745754242,0.2547864019870758,0.39942997694015503,0.21275931596755981,0.3997388780117035,0.27921953797340393
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.2350337952375412,0.21877418458461761,0.39081433415412903,0.28544196486473083,0.39445018768310547,0.24591213464736938
no,0.339326947927475,0.19581134617328644,0.26280897855758667,0.25962790846824646,0.18958936631679535,0.24809792637825012,0.11931506544351578,0.19510658085346222,0.32165053486824036
longer,0.3188037574291229,0.2545848786830902,0.3114657700061798,0.2177344709634781,0.15307514369487762,0.2788179814815521,0.22463299334049225,0.37943214178085327,0.24416615068912506
widely,0.22598060965538025,0.3153131604194641,0.25288406014442444,0.2163269817829132,0.23294538259506226,0.22028475999832153,0.20822273194789886,0.4448945224285126,0.10354958474636078
used,0.27546408772468567,0.3288823366165161,0.3864384889602661,0.160323828458786,0.32137730717658997,0.3075267970561981,0.32744914293289185,0.381777286529541,0.22430120408535004
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.31026551127433777,0.28270697593688965,0.4946078956127167,0.16109678149223328,0.3282252550125122,0.31091248989105225
except,0.2278055101633072,0.2821842133998871,0.18728198111057281,0.21751102805137634,0.1654238998889923,0.2851351797580719,0.1270197480916977,0.19988703727722168,0.16405975818634033
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.25145605206489563,0.23744744062423706,0.5696388483047485,0.12252667546272278,0.3300545811653137,0.20430970191955566
applications,0.20821766555309296,0.2504705786705017,0.2877165377140045,0.13559319078922272,0.9330083131790161,0.24918507039546967,0.3332332968711853,0.19695189595222473,0.19125857949256897
such,0.23989605903625488,0.23545363545417786,0.2706976532936096,0.30687424540519714,0.23978164792060852,0.3209529519081116,0.22947262227535248,0.2547178566455841,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.2787022590637207,0.1925833374261856,0.3886612355709076,0.16435842216014862,0.33237552642822266,0.27043893933296204
steam,0.15672586858272552,0.13029660284519196,0.2141898274421692,0.13549526035785675,0.2864660918712616,0.20239725708961487,0.29565978050231934,0.207895427942276,0.113324373960495
locomotives,0.12965811789035797,0.14117354154586792,0.1857224702835083,0.15674914419651031,0.18757495284080505,0.18200701475143433,0.25814491510391235,0.1426125019788742,0.13195066154003143
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.2256665676832199,0.2556065022945404,0.5352458953857422,0.18691767752170563,0.30348071455955505,0.4130953550338745
