,what,tradition,were,the,saint-evroul,monks,known,for,?
at,0.2838611304759979,0.10845298320055008,0.2947486639022827,0.457212895154953,0.20257827639579773,0.2148832082748413,0.19818158447742462,0.34237727522850037,0.21978627145290375
saint,0.1704905927181244,0.23406684398651123,0.14527973532676697,0.24700650572776794,0.8022446632385254,0.3559662699699402,0.16024833917617798,0.1123143881559372,0.15690264105796814
evroul,0.24386367201805115,0.23974978923797607,0.2576722204685211,0.3429628610610962,0.6655562520027161,0.18889035284519196,0.23427632451057434,0.2910330295562744,0.2933914363384247
",",0.3087472915649414,0.21810978651046753,0.36755475401878357,0.4933079481124878,0.3705630302429199,0.17870470881462097,0.3604377806186676,0.4464869201183319,0.31091248989105225
a,0.3320399522781372,0.23827894032001495,0.17203083634376526,0.5829201340675354,0.31534332036972046,0.18119055032730103,0.30882248282432556,0.44038116931915283,0.23916715383529663
tradition,0.24046438932418823,0.9999998807907104,0.258249431848526,0.2632053792476654,0.3549746870994568,0.3967714309692383,0.22971419990062714,0.20650464296340942,0.15717756748199463
of,0.33290785551071167,0.2663337290287018,0.34038281440734863,0.733189046382904,0.36568978428840637,0.2314586341381073,0.35814476013183594,0.4185989499092102,0.1826142966747284
singing,0.25204721093177795,0.26328814029693604,0.1613328456878662,0.20382609963417053,0.17875002324581146,0.22742459177970886,0.20877397060394287,0.22399109601974487,0.16125191748142242
had,0.23849567770957947,0.21028348803520203,0.6150832772254944,0.3875846862792969,0.271592378616333,0.25647875666618347,0.23947641253471375,0.3270139992237091,0.20728366076946259
developed,0.15555569529533386,0.21501724421977997,0.2749831974506378,0.24490751326084137,0.23241381347179413,0.12437458336353302,0.29355788230895996,0.22294896841049194,0.10763012617826462
and,0.31309178471565247,0.2593945562839508,0.42175528407096863,0.5171257257461548,0.32280707359313965,0.24540609121322632,0.3468935489654541,0.5064792633056641,0.20544172823429108
the,0.42745697498321533,0.2632053792476654,0.3906462490558624,1.0,0.34619078040122986,0.21652711927890778,0.3624623417854309,0.4739971458911896,0.22068053483963013
choir,0.13237157464027405,0.24994274973869324,0.20196382701396942,0.20023436844348907,0.30951255559921265,0.3876393735408783,0.13606202602386475,0.20314042270183563,0.10285487025976181
achieved,0.1794850081205368,0.14065846800804138,0.21083861589431763,0.2821090817451477,0.19816894829273224,0.18173432350158691,0.20743493735790253,0.26265430450439453,0.17008265852928162
fame,0.12119289487600327,0.13286104798316956,0.169089213013649,0.23111216723918915,0.22916124761104584,0.13447508215904236,0.1828816533088684,0.2100909799337387,0.12045944482088089
in,0.30808621644973755,0.24601249396800995,0.3815755248069763,0.6662389636039734,0.28636065125465393,0.23887430131435394,0.32641831040382385,0.4322226941585541,0.20430970191955566
normandy,0.2290361374616623,0.15467558801174164,0.2447071671485901,0.30340051651000977,0.42894166707992554,0.29069095849990845,0.12276417762041092,0.20173995196819305,0.1584552675485611
.,0.3567904531955719,0.18545886874198914,0.3378238379955292,0.5934505462646484,0.3555908799171448,0.17902152240276337,0.283290296792984,0.4726039469242096,0.4130953550338745
,what,tradition,were,the,saint-evroul,monks,known,for,?
there,0.35085538029670715,0.2278510183095932,0.4359818994998932,0.47025805711746216,0.22794657945632935,0.2959577441215515,0.20795854926109314,0.3728419542312622,0.29405656456947327
they,0.4431931674480438,0.24129123985767365,0.5580583214759827,0.49925389885902405,0.2591578960418701,0.3008573055267334,0.2326948493719101,0.3466525673866272,0.2753053903579712
continued,0.17878234386444092,0.19517222046852112,0.33916667103767395,0.29953038692474365,0.17478422820568085,0.2185508906841278,0.28156760334968567,0.2205924689769745,0.10404038429260254
the,0.42745697498321533,0.2632053792476654,0.3906462490558624,1.0,0.34619078040122986,0.21652711927890778,0.3624623417854309,0.4739971458911896,0.22068053483963013
tradition,0.24046438932418823,0.9999998807907104,0.258249431848526,0.2632053792476654,0.3549746870994568,0.3967714309692383,0.22971419990062714,0.20650464296340942,0.15717756748199463
of,0.33290785551071167,0.2663337290287018,0.34038281440734863,0.733189046382904,0.36568978428840637,0.2314586341381073,0.35814476013183594,0.4185989499092102,0.1826142966747284
singing,0.25204721093177795,0.26328814029693604,0.1613328456878662,0.20382609963417053,0.17875002324581146,0.22742459177970886,0.20877397060394287,0.22399109601974487,0.16125191748142242
.,0.3567904531955719,0.18545886874198914,0.3378238379955292,0.5934505462646484,0.3555908799171448,0.17902152240276337,0.283290296792984,0.4726039469242096,0.4130953550338745
