,what,project,structures,assist,the,owner,in,integration,?
several,0.22446060180664062,0.14354997873306274,0.253945529460907,0.2184012234210968,0.40559855103492737,0.09689603000879288,0.39405709505081177,0.1832031011581421,0.15595775842666626
project,0.27033838629722595,1.0,0.1748034656047821,0.2658771574497223,0.2027820199728012,0.1479983627796173,0.16277937591075897,0.2847869098186493,0.30569031834602356
structures,0.19226044416427612,0.1748034656047821,1.0000001192092896,0.17697611451148987,0.2516176700592041,0.03562250733375549,0.36503779888153076,0.26921898126602173,0.13590580224990845
can,0.34502777457237244,0.21787995100021362,0.22541356086730957,0.22672025859355927,0.312528520822525,0.13038361072540283,0.26527702808380127,0.19452716410160065,0.3226337134838104
assist,0.2079332321882248,0.2658771574497223,0.17697611451148987,1.0,0.22201772034168243,0.15479573607444763,0.1882847547531128,0.23258289694786072,0.1584155559539795
the,0.42745697498321533,0.2027820199728012,0.2516176700592041,0.22201772034168243,1.0,0.22181597352027893,0.6662389636039734,0.32554522156715393,0.22068053483963013
owner,0.149997740983963,0.1479983627796173,0.03562250733375549,0.15479573607444763,0.22181597352027893,0.9999999403953552,0.21050013601779938,0.09613438695669174,0.1461835652589798
in,0.30808621644973755,0.16277937591075897,0.36503779888153076,0.1882847547531128,0.6662389636039734,0.21050013601779938,1.0,0.24832533299922943,0.20430970191955566
this,0.5489566326141357,0.3302684724330902,0.21519361436367035,0.2291334569454193,0.6274310946464539,0.1463816612958908,0.45205554366111755,0.33273348212242126,0.3155723512172699
integration,0.2495548278093338,0.2847869098186493,0.26921898126602173,0.23258289694786072,0.32554522156715393,0.09613438695669174,0.24832533299922943,1.0,0.17221741378307343
",",0.3087472915649414,0.24875426292419434,0.2790010869503021,0.22518080472946167,0.4933079481124878,0.22101753950119019,0.5201468467712402,0.24500080943107605,0.31091248989105225
including,0.18328791856765747,0.15459951758384705,0.2497861385345459,0.17686687409877777,0.3738902807235718,0.14571280777454376,0.35857823491096497,0.18477728962898254,0.1633303165435791
design-build,0.23590974509716034,0.34727713465690613,0.3935989439487457,0.2935493290424347,0.2706127166748047,0.2135116010904312,0.2646327018737793,0.2726648449897766,0.1602276861667633
",",0.3087472915649414,0.24875426292419434,0.2790010869503021,0.22518080472946167,0.4933079481124878,0.22101753950119019,0.5201468467712402,0.24500080943107605,0.31091248989105225
partnering,0.11835847795009613,0.24694859981536865,0.16468927264213562,0.23527836799621582,0.19965530931949615,0.2321002185344696,0.2450985163450241,0.20296736061573029,0.12477793544530869
and,0.31309178471565247,0.23249590396881104,0.29943612217903137,0.27347391843795776,0.5171257257461548,0.24161721765995026,0.4954058527946472,0.27531754970550537,0.20544172823429108
construction,0.20329850912094116,0.39453527331352234,0.4766489863395691,0.24586206674575806,0.2671978175640106,0.1690913438796997,0.3031303882598877,0.28386038541793823,0.13494056463241577
management,0.180610790848732,0.35612934827804565,0.2230825275182724,0.25837424397468567,0.26673808693885803,0.3041738271713257,0.2783967852592468,0.398361474275589,0.15866325795650482
.,0.3567904531955719,0.23938670754432678,0.2735782265663147,0.18921330571174622,0.5934505462646484,0.22413505613803864,0.5591574311256409,0.2863176465034485,0.4130953550338745
