,the,term,imperialism,has,been,applied,to,western,countries,",",and,which,eastern,county,?
the,1.0,0.2740369141101837,0.2716025412082672,0.4177538752555847,0.3563927710056305,0.22842662036418915,0.535392165184021,0.37920868396759033,0.33290645480155945,0.4933079481124878,0.5171257257461548,0.6521818041801453,0.3928247392177582,0.21715226769447327,0.22068053483963013
term,0.2740369141101837,1.0,0.20526054501533508,0.1874341368675232,0.1964738517999649,0.3566322326660156,0.3310292959213257,0.18367670476436615,0.22200889885425568,0.21599270403385162,0.22272127866744995,0.3138839900493622,0.13476145267486572,0.1260530650615692,0.1901002675294876
imperialism,0.2716025412082672,0.20526054501533508,1.0,0.11067613214254379,0.10602488368749619,0.24625852704048157,0.21685542166233063,0.27366599440574646,0.331497460603714,0.2420617640018463,0.19073538482189178,0.22499221563339233,0.2592269778251648,0.10529905557632446,0.14998586475849152
has,0.4177538752555847,0.1874341368675232,0.11067613214254379,1.0,0.6162750124931335,0.22512666881084442,0.3619994819164276,0.2023000717163086,0.26221421360969543,0.3734780251979828,0.43716782331466675,0.4350704550743103,0.18154920637607574,0.14452804625034332,0.15994466841220856
been,0.3563927710056305,0.1964738517999649,0.10602488368749619,0.6162750124931335,0.9999998807907104,0.24063140153884888,0.34945759177207947,0.1714950054883957,0.27339351177215576,0.34873589873313904,0.3424558639526367,0.36993977427482605,0.1709311306476593,0.13485382497310638,0.24354910850524902
applied,0.22842662036418915,0.3566322326660156,0.24625852704048157,0.22512666881084442,0.24063140153884888,0.9999999403953552,0.26928162574768066,0.13073085248470306,0.1590043157339096,0.28330111503601074,0.26963624358177185,0.29366353154182434,0.15948811173439026,0.0913255512714386,0.15585725009441376
to,0.535392165184021,0.3310292959213257,0.21685542166233063,0.3619994819164276,0.34945759177207947,0.26928162574768066,1.0,0.18838192522525787,0.3111797273159027,0.44245919585227966,0.48971283435821533,0.5345056653022766,0.1750476211309433,0.15845301747322083,0.29463258385658264
western,0.37920868396759033,0.18367670476436615,0.27366599440574646,0.2023000717163086,0.1714950054883957,0.13073085248470306,0.18838192522525787,1.0000001192092896,0.27677956223487854,0.27542921900749207,0.27210789918899536,0.23897536098957062,0.78607577085495,0.18895640969276428,0.17439141869544983
(,0.33289089798927307,0.16755855083465576,0.19792230427265167,0.2498389035463333,0.1755061000585556,0.2093459963798523,0.30882009863853455,0.20023441314697266,0.15407808125019073,0.6363511681556702,0.4862271547317505,0.2589828372001648,0.2276826947927475,0.1641167849302292,0.40561532974243164
and,0.5171257257461548,0.22272127866744995,0.19073538482189178,0.43716782331466675,0.3424558639526367,0.26963624358177185,0.48971283435821533,0.27210789918899536,0.37200918793678284,0.6633074283599854,1.0,0.506277859210968,0.22891712188720703,0.2045455276966095,0.20544172823429108
