,how,many,times,was,manning,intercepted,during,the,2015,season,?
manning,0.2318497896194458,0.17441397905349731,0.26215100288391113,0.2607507109642029,0.9999998807907104,0.3886162042617798,0.25985732674598694,0.27058160305023193,-0.010276862420141697,0.33529460430145264,0.15856626629829407
finished,0.18142320215702057,0.15678347647190094,0.19966097176074982,0.3428505063056946,0.2231869399547577,0.271785706281662,0.2986009418964386,0.2754973769187927,0.08713356405496597,0.30780723690986633,0.14789283275604248
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.48711544275283813,0.27058160305023193,0.2696214020252228,0.4838213622570038,1.0,0.1466771513223648,0.2507155239582062,0.22068053483963013
year,0.19631797075271606,0.21933086216449738,0.306132435798645,0.3209837079048157,0.2521476149559021,0.21605701744556427,0.3447895348072052,0.3609684407711029,0.10588137805461884,0.3561827838420868,0.18315006792545319
with,0.3525622487068176,0.35744401812553406,0.3026435673236847,0.27411898970603943,0.18539859354496002,0.2404945343732834,0.28545209765434265,0.4223487675189972,-0.05818283185362816,0.26700887084007263,0.2433311939239502
a,0.29312583804130554,0.2872205972671509,0.2745400369167328,0.4508470594882965,0.2509649395942688,0.22235213220119476,0.30341604351997375,0.5829201340675354,-0.008371892385184765,0.1855505406856537,0.23916715383529663
career-low,0.2479514181613922,0.2875238358974457,0.2328687459230423,0.3346470892429352,0.39836275577545166,0.2915222644805908,0.35948026180267334,0.21368016302585602,-0.06424173712730408,0.3512099087238312,0.15329208970069885
67.9,0.09646183252334595,0.11966115236282349,0.0933719277381897,0.2790275514125824,0.31852784752845764,0.170838862657547,0.19657589495182037,0.2065390944480896,-0.06982959061861038,0.15665824711322784,0.07895093411207199
passer,0.19386127591133118,0.05720050632953644,0.08091738075017929,0.1708153933286667,0.36685898900032043,0.35621407628059387,0.1436411738395691,0.2630290985107422,0.038913097232580185,0.2606119215488434,0.15625450015068054
rating,0.20311082899570465,0.1606440395116806,0.2374047338962555,0.22355882823467255,0.3009924292564392,0.3168782591819763,0.16314657032489777,0.24654440581798553,-0.03246351331472397,0.31314903497695923,0.18754872679710388
",",0.22659391164779663,0.40610817074775696,0.2897866368293762,0.45456063747406006,0.30921146273612976,0.21653500199317932,0.3225448727607727,0.4933079481124878,0.06568983197212219,0.2232367992401123,0.31091248989105225
throwing,0.24389290809631348,0.2297176569700241,0.1772536039352417,0.19002126157283783,0.3527540862560272,0.3365350067615509,0.2120818942785263,0.2748998701572418,0.049856171011924744,0.14558328688144684,0.15241092443466187
for,0.3308170735836029,0.40972793102264404,0.2999500632286072,0.3863949179649353,0.33057859539985657,0.30045437812805176,0.3448435664176941,0.4739971458911896,-0.08512632548809052,0.24490800499916077,0.264628142118454
"2,249",0.18779075145721436,0.27626094222068787,0.09110593795776367,0.17390935122966766,0.029534146189689636,-0.014111694879829884,0.1731196492910385,0.06310079246759415,0.005671740509569645,-0.0024333468172699213,0.018604634329676628
yards,0.1345205456018448,0.13134367763996124,0.21166743338108063,0.1823360025882721,0.5283294916152954,0.5472956299781799,0.22745878994464874,0.16070343554019928,0.02945392206311226,0.3280850648880005,0.12453813850879669
and,0.33647966384887695,0.5296266674995422,0.2611900568008423,0.3740963041782379,0.2638654112815857,0.23825930058956146,0.36462149024009705,0.5171257257461548,0.015077123418450356,0.2369309365749359,0.20544172823429108
nine,0.1557593196630478,0.3415135145187378,0.22305616736412048,0.2782309651374817,0.2181665301322937,0.2207041233778,0.2647171914577484,0.33253175020217896,0.055040743201971054,0.23210260272026062,0.13964155316352844
touchdowns,0.15057362616062164,0.1144808754324913,0.2679026424884796,0.2174215018749237,0.5383488535881042,0.6358705759048462,0.258625328540802,0.20508192479610443,0.008580083958804607,0.4151381552219391,0.1509619653224945
",",0.22659391164779663,0.40610817074775696,0.2897866368293762,0.45456063747406006,0.30921146273612976,0.21653500199317932,0.3225448727607727,0.4933079481124878,0.06568983197212219,0.2232367992401123,0.31091248989105225
with,0.3525622487068176,0.35744401812553406,0.3026435673236847,0.27411898970603943,0.18539859354496002,0.2404945343732834,0.28545209765434265,0.4223487675189972,-0.05818283185362816,0.26700887084007263,0.2433311939239502
17,0.11148978024721146,0.08628290146589279,0.08317223191261292,0.06704052537679672,0.02101394347846508,0.1474064588546753,0.05168904736638069,0.10537172853946686,0.10918638110160828,0.16613055765628815,0.17603135108947754
interceptions,0.2084771692752838,0.21864065527915955,0.2605036795139313,0.1664523184299469,0.47789567708969116,0.8513675332069397,0.2796040177345276,0.22331646084785461,0.015746407210826874,0.35161852836608887,0.10945115238428116
.,0.3287222981452942,0.3974229395389557,0.2891986668109894,0.40146201848983765,0.2937074899673462,0.22816359996795654,0.3485563397407532,0.5934505462646484,0.06607602536678314,0.24674734473228455,0.4130953550338745
