,what,does,'plastid,',mean,?
these,0.4164220690727234,0.31633180379867554,0.272277295589447,0.23052670061588287,0.27646246552467346,0.2571668326854706
chloroplasts,0.2524593770503998,0.22598832845687866,0.6995232701301575,0.0804409459233284,0.15369601547718048,0.13049766421318054
",",0.3087472915649414,0.28617382049560547,0.19124889373779297,0.5178600549697876,0.27540135383605957,0.31091248989105225
which,0.5261979103088379,0.39111801981925964,0.32431599497795105,0.32852497696876526,0.30633988976478577,0.25814583897590637
can,0.34502777457237244,0.5156301856040955,0.3089408874511719,0.23672404885292053,0.3466622233390808,0.3226337134838104
be,0.3929833769798279,0.28696945309638977,0.30296480655670166,0.2717236876487732,0.3655017018318176,0.3324260413646698
traced,0.22912096977233887,0.1917591392993927,0.1706480085849762,0.19383272528648376,0.24547359347343445,0.10152046382427216
back,0.2965294420719147,0.23855993151664734,0.1153254508972168,0.23420757055282593,0.16275659203529358,0.2397768795490265
directly,0.3618607521057129,0.3312726318836212,0.19828173518180847,0.1498008370399475,0.2517242133617401,0.2187996357679367
to,0.455847829580307,0.4391997456550598,0.18029391765594482,0.34544456005096436,0.2274881899356842,0.29463258385658264
a,0.3320399522781372,0.38201746344566345,0.25200584530830383,0.48837921023368835,0.3427932858467102,0.23916715383529663
cyanobacterial,0.2474752515554428,0.23722024261951447,0.550517201423645,0.10434695333242416,0.18132951855659485,0.19054965674877167
ancestor,0.16140799224376678,0.15557503700256348,0.2817119359970093,0.22926796972751617,0.21636055409908295,0.14805565774440765
",",0.3087472915649414,0.28617382049560547,0.19124889373779297,0.5178600549697876,0.27540135383605957,0.31091248989105225
are,0.29724663496017456,0.3126322329044342,0.2862676978111267,0.24618251621723175,0.32494738698005676,0.24591213464736938
known,0.20381177961826324,0.24860821664333344,0.1803206503391266,0.40319374203681946,0.22724662721157074,0.18314571678638458
as,0.31749409437179565,0.31202155351638794,0.19049477577209473,0.41391023993492126,0.27253609895706177,0.27043893933296204
primary,0.2113915979862213,0.24340936541557312,0.20411737263202667,0.14540524780750275,0.12039461731910706,0.16286636888980865
plastids,0.2400681972503662,0.25564172863960266,0.8535599112510681,0.09895529597997665,0.16639673709869385,0.18791453540325165
(,0.2411840260028839,0.2728188931941986,0.24758075177669525,0.5287467241287231,0.24319502711296082,0.40561532974243164
``,0.008517155423760414,0.06539655476808548,0.15136075019836426,0.0022648978047072887,0.06393398344516754,0.0685480609536171
plastid,0.21447217464447021,0.23137564957141876,0.9623883366584778,0.14858783781528473,0.13888229429721832,0.2178892344236374
'',0.08143015950918198,-0.004023602232336998,0.01013968326151371,0.05904744192957878,0.08347149938344955,0.018684765323996544
in,0.30808621644973755,0.214483380317688,0.19933882355690002,0.4158826768398285,0.2099098116159439,0.20430970191955566
this,0.5489566326141357,0.4166489243507385,0.30850765109062195,0.4329338073730469,0.25770050287246704,0.3155723512172699
context,0.36376240849494934,0.29483166337013245,0.22882632911205292,0.18174368143081665,0.35432013869285583,0.2777315378189087
means,0.2553325295448303,0.3901011645793915,0.1977175623178482,0.24612219631671906,0.576000988483429,0.21233566105365753
almost,0.2467888444662094,0.28108128905296326,0.23787091672420502,0.17944622039794922,0.2077273726463318,0.1372147500514984
the,0.42745697498321533,0.35928019881248474,0.18255852162837982,0.474788099527359,0.25977957248687744,0.22068053483963013
same,0.3764382302761078,0.36572811007499695,0.20439757406711578,0.24496957659721375,0.3045446276664734,0.22649677097797394
thing,0.5748834609985352,0.4158642292022705,0.2900552451610565,0.28765174746513367,0.4034528136253357,0.45465296506881714
as,0.31749409437179565,0.31202155351638794,0.19049477577209473,0.41391023993492126,0.27253609895706177,0.27043893933296204
chloroplast,0.23505516350269318,0.1991560012102127,0.7017870545387268,0.09217314422130585,0.1421816498041153,0.12532055377960205
),0.26259949803352356,0.2575884759426117,0.2681620419025421,0.5468860864639282,0.2426333725452423,0.42300865054130554
.,0.3567904531955719,0.3022993505001068,0.27724793553352356,0.4806240200996399,0.21881133317947388,0.4130953550338745
