,what,is,the,maximum,square,miles,did,betty,meggers,claim,that,can,be,sustained,in,the,rainforest,?
she,0.23844075202941895,0.2892388105392456,0.36308351159095764,0.0736442357301712,0.12129808217287064,0.1769792139530182,0.2624691426753998,0.3947440981864929,0.3111051917076111,0.2187245637178421,0.3407060205936432,0.16583286225795746,0.2869488298892975,0.14578162133693695,0.39094278216362,0.36308351159095764,0.17014217376708984,0.14223381876945496
claimed,0.2667301297187805,0.17499059438705444,0.2761930227279663,0.09646308422088623,0.17317967116832733,0.19334885478019714,0.34913167357444763,0.16284483671188354,0.15810079872608185,0.686729907989502,0.38060468435287476,0.16834822297096252,0.22778548300266266,0.2566625773906708,0.21382014453411102,0.2761930227279663,0.1585111916065216,0.2083493024110794
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2725290358066559,0.19798488914966583,0.16484005749225616,0.47518548369407654,0.15872733294963837,0.2730470597743988,0.39801377058029175,1.0,0.4522190988063812,0.6036020517349243,0.2464008927345276,0.435920387506485,0.5473989248275757,0.22076080739498138,0.32716336846351624
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.24441662430763245,0.22548454999923706,0.23875154554843903,0.2552328109741211,0.18140161037445068,0.26613539457321167,0.19074557721614838,0.47537946701049805,0.3915780484676361,0.39883795380592346,0.30035990476608276,0.539380669593811,0.5829201340675354,0.2497720569372177,0.23916715383529663
population,0.2000674307346344,0.2727566361427307,0.32044094800949097,0.26572099328041077,0.36520883440971375,0.34828853607177734,0.0652005523443222,0.1598062813282013,0.14294515550136566,0.15026897192001343,0.20048558712005615,0.11169198900461197,0.15517795085906982,0.24135997891426086,0.3268454372882843,0.32044094800949097,0.28754767775535583,0.14449454843997955
density,0.1728270947933197,0.2587282061576843,0.2451544851064682,0.27053302526474,0.3507445752620697,0.29688143730163574,0.0637858510017395,0.0874444991350174,0.06812271475791931,0.158758744597435,0.21625380218029022,0.23128123581409454,0.2019825428724289,0.23943400382995605,0.24213694036006927,0.2451544851064682,0.21471068263053894,0.1457761973142624
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23949185013771057,0.2585134208202362,0.2263605147600174,0.2513895630836487,0.1389009654521942,0.22887387871742249,0.2833690047264099,0.41498205065727234,0.2603091299533844,0.33904364705085754,0.25234076380729675,0.5696388483047485,0.733189046382904,0.22522282600402832,0.1826142966747284
0.2,0.10819359123706818,-0.02207726240158081,-0.07010126113891602,0.03601492941379547,-0.08299076557159424,-0.09572914987802505,-0.004561230540275574,-0.05686679482460022,-0.017844602465629578,-0.022805603221058846,0.039586614817380905,0.05996379256248474,0.03186294808983803,0.09458374232053757,-0.03351614996790886,-0.07010126113891602,0.0865076556801796,0.04143255949020386
inhabitants,0.14762155711650848,0.26456496119499207,0.2644902467727661,0.2406529188156128,0.35408931970596313,0.34740445017814636,0.04312184080481529,0.06503529101610184,0.1604180783033371,0.19271792471408844,0.15930089354515076,0.08660236746072769,0.15452127158641815,0.2220020443201065,0.29904377460479736,0.2644902467727661,0.3173336684703827,0.1312350630760193
per,0.21384303271770477,0.22395510971546173,0.21691934764385223,0.32737693190574646,0.31627538800239563,0.2744808495044708,0.14237605035305023,0.06113853678107262,0.17403918504714966,0.16320089995861053,0.25184786319732666,0.26221638917922974,0.2702259421348572,0.300807386636734,0.1975519210100174,0.21691934764385223,0.13336054980754852,0.22323818504810333
square,0.12660330533981323,0.2405121773481369,0.2809545397758484,0.21231088042259216,1.0,0.45552563667297363,0.06816432625055313,0.18736235797405243,0.17394177615642548,0.15725722908973694,0.19798488914966583,0.1677469164133072,0.1619751900434494,0.13136525452136993,0.2193731665611267,0.2809545397758484,0.23421312868595123,0.1201515942811966
kilometre,0.19908200204372406,0.2665765583515167,0.27433285117149353,0.2324075698852539,0.5321193933486938,0.647721529006958,0.07943228632211685,0.06207927316427231,0.1756441444158554,0.1845623105764389,0.24849668145179749,0.20523425936698914,0.2089005559682846,0.2099906951189041,0.248558908700943,0.27433285117149353,0.30325669050216675,0.10934783518314362
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.19769227504730225,0.16847030818462372,0.17103469371795654,0.18979617953300476,0.18094386160373688,0.22693978250026703,0.14624854922294617,0.2264307141304016,0.22726960480213165,0.2349044382572174,0.20841935276985168,0.3087427020072937,0.33289089798927307,0.16459959745407104,0.40561532974243164
0.52/sq,0.250240296125412,0.2642729580402374,0.23513683676719666,0.33496373891830444,0.3324364125728607,0.35823509097099304,0.11730210483074188,0.09822859615087509,0.1262292116880417,0.14818334579467773,0.2338366061449051,0.24296873807907104,0.22223889827728271,0.3418463468551636,0.23996467888355255,0.23513683676719666,0.31995075941085815,0.2610994279384613
mi,0.14169800281524658,0.17681920528411865,0.12998802959918976,0.1760779619216919,0.3216154873371124,0.47612544894218445,0.07783030718564987,0.09701263904571533,0.21020559966564178,0.10974427312612534,0.1638389527797699,0.08477254956960678,0.10840633511543274,0.15176719427108765,0.09127891063690186,0.12998802959918976,0.21727389097213745,0.10264865309000015
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1945667862892151,0.1760134994983673,0.203369602560997,0.18584993481636047,0.19576890766620636,0.2237800806760788,0.15273745357990265,0.23478686809539795,0.23216170072555542,0.24578070640563965,0.22254395484924316,0.3326910734176636,0.3456730246543884,0.16588199138641357,0.42300865054130554
is,0.28837618231773376,1.0,0.5823672413825989,0.20349502563476562,0.2405121773481369,0.22951029241085052,0.19247472286224365,0.1627419888973236,0.22720973193645477,0.15920500457286835,0.3995479643344879,0.44256699085235596,0.4819129705429077,0.1520625203847885,0.5394441485404968,0.5823672413825989,0.2674187123775482,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.228700190782547,0.2809545397758484,0.25706055760383606,0.34736719727516174,0.15101419389247894,0.2656703293323517,0.25873351097106934,0.5473989248275757,0.312528520822525,0.4248143136501312,0.2170950025320053,0.6662389636039734,1.0,0.2571161389350891,0.22068053483963013
maximum,0.19255907833576202,0.20349502563476562,0.228700190782547,1.0,0.21231088042259216,0.2916084825992584,0.10565699636936188,0.09623921662569046,0.204134002327919,0.0837954580783844,0.2725290358066559,0.3128964602947235,0.24469514191150665,0.3841874897480011,0.18371941149234772,0.228700190782547,0.21575546264648438,0.10959649085998535
