,what,does,corporal,punishment,cause,a,student,?
in,0.30808621644973755,0.214483380317688,0.15530824661254883,0.19258901476860046,0.24822883307933807,0.539380669593811,0.254856139421463,0.20430970191955566
past,0.3538547456264496,0.2523398697376251,0.09031546860933304,0.19864968955516815,0.2579386830329895,0.24050787091255188,0.18726301193237305,0.2598046660423279
times,0.21414996683597565,0.23567602038383484,0.11097025871276855,0.1198979988694191,0.17154589295387268,0.2745400369167328,0.12601238489151,0.18880689144134521
",",0.3087472915649414,0.28617382049560547,0.2217067927122116,0.2216428816318512,0.2546827793121338,0.427140474319458,0.2261858433485031,0.31091248989105225
corporal,0.148063525557518,0.07273174822330475,1.0,0.34936437010765076,0.08071175217628479,0.1676696091890335,0.1457492709159851,0.1554132103919983
punishment,0.31300443410873413,0.24340015649795532,0.34936437010765076,1.0000001192092896,0.2746908664703369,0.1934642344713211,0.14649443328380585,0.23842233419418335
(,0.2411840260028839,0.2728188931941986,0.19582751393318176,0.11360079050064087,0.20661279559135437,0.3206180930137634,0.14660103619098663,0.40561532974243164
spanking,0.35717347264289856,0.3432592749595642,0.3001009523868561,0.3597797155380249,0.35102251172065735,0.32644230127334595,0.2095857709646225,0.3340514600276947
or,0.33867141604423523,0.4248845875263214,0.1871897280216217,0.23232755064964294,0.4080146849155426,0.48853766918182373,0.1565832793712616,0.32389625906944275
paddling,0.20416639745235443,0.246298149228096,0.19708269834518433,0.16248978674411774,0.24193458259105682,0.2961958348751068,0.12946996092796326,0.17293263971805573
or,0.33867141604423523,0.4248845875263214,0.1871897280216217,0.23232755064964294,0.4080146849155426,0.48853766918182373,0.1565832793712616,0.32389625906944275
caning,0.2811415195465088,0.2478082925081253,0.25296467542648315,0.26914817094802856,0.2658979296684265,0.36298468708992004,0.1287710815668106,0.19453231990337372
or,0.33867141604423523,0.4248845875263214,0.1871897280216217,0.23232755064964294,0.4080146849155426,0.48853766918182373,0.1565832793712616,0.32389625906944275
strapping,0.20361468195915222,0.21194149553775787,0.32348138093948364,0.23771212995052338,0.21289587020874023,0.29217448830604553,0.11650833487510681,0.18098504841327667
or,0.33867141604423523,0.4248845875263214,0.1871897280216217,0.23232755064964294,0.4080146849155426,0.48853766918182373,0.1565832793712616,0.32389625906944275
birching,0.18098200857639313,0.18913650512695312,0.23979590833187103,0.1903134435415268,0.1616678535938263,0.28608810901641846,0.23224760591983795,0.14374473690986633
the,0.42745697498321533,0.35928019881248474,0.22063873708248138,0.2503047287464142,0.2551237642765045,0.5829201340675354,0.21259291470050812,0.22068053483963013
student,0.20548318326473236,0.17782871425151825,0.1457492709159851,0.14649443328380585,0.09006141871213913,0.3207114636898041,1.0000001192092896,0.13282090425491333
in,0.30808621644973755,0.214483380317688,0.15530824661254883,0.19258901476860046,0.24822883307933807,0.539380669593811,0.254856139421463,0.20430970191955566
order,0.16634008288383484,0.25689154863357544,0.14793835580348969,0.1545315384864807,0.16284258663654327,0.24138490855693817,0.09739641100168228,0.13725648820400238
to,0.455847829580307,0.4391997456550598,0.15775661170482635,0.208286851644516,0.3172815442085266,0.45503583550453186,0.21220189332962036,0.29463258385658264
cause,0.24883218109607697,0.342450886964798,0.08071175217628479,0.2746908664703369,1.0000001192092896,0.2715701162815094,0.09006141871213913,0.240532785654068
physical,0.27895045280456543,0.24003824591636658,0.1911938488483429,0.28574132919311523,0.28067547082901,0.2210949957370758,0.17790643870830536,0.11781801283359528
pain,0.2744910418987274,0.22961749136447906,0.21623079478740692,0.38484957814216614,0.46311765909194946,0.18292729556560516,0.11873561888933182,0.2135392427444458
),0.26259949803352356,0.2575884759426117,0.18031108379364014,0.12738631665706635,0.19041776657104492,0.3640355169773102,0.17171791195869446,0.42300865054130554
was,0.22111038863658905,0.19302551448345184,0.19440697133541107,0.2287234514951706,0.1555917114019394,0.4508470594882965,0.26442357897758484,0.18412111699581146
one,0.376489520072937,0.2924913763999939,0.16331841051578522,0.24502627551555634,0.27383357286453247,0.4910551905632019,0.2729196846485138,0.2673267424106598
of,0.33290785551071167,0.3119818866252899,0.18547691404819489,0.2056395560503006,0.25979894399642944,0.5052502155303955,0.20310284197330475,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.22063873708248138,0.2503047287464142,0.2551237642765045,0.5829201340675354,0.21259291470050812,0.22068053483963013
