,what,fields,have,increased,in,influence,on,pharmacy,in,the,united,states,?
in,0.30808621644973755,0.19709080457687378,0.36843645572662354,0.244624063372612,1.0,0.26119694113731384,0.46853652596473694,0.22082467377185822,1.0,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.20430970191955566
the,0.42745697498321533,0.16397054493427277,0.40389683842658997,0.3188653886318207,0.6662389636039734,0.3039984107017517,0.5107308030128479,0.1938311904668808,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
united,0.20036718249320984,0.13547064363956451,0.17950676381587982,0.237337127327919,0.3938477039337158,0.16833382844924927,0.2703288793563843,0.2404385805130005,0.3938477039337158,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.17266890406608582
states,0.21526020765304565,0.16048526763916016,0.20162390172481537,0.22085905075073242,0.3977442979812622,0.19705571234226227,0.2692825198173523,0.21714666485786438,0.3977442979812622,0.3463578522205353,0.8952266573905945,1.0,0.16272737085819244
",",0.3087472915649414,0.2786177098751068,0.3541618287563324,0.20936180651187897,0.5201468467712402,0.2585834860801697,0.49057599902153015,0.19815339148044586,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
pharmaceutical,0.1854703426361084,0.23795990645885468,0.18711884319782257,0.16982951760292053,0.2240016907453537,0.07996523380279541,0.10920767486095428,0.7577381134033203,0.2240016907453537,0.17220428586006165,0.27264857292175293,0.2021014243364334,0.11432135105133057
care,0.2973911762237549,0.17572511732578278,0.35676124691963196,0.14100104570388794,0.14557574689388275,0.09888824075460434,0.20102925598621368,0.2922910749912262,0.14557574689388275,0.1663842648267746,0.16151748597621918,0.15287496149539948,0.24279968440532684
or,0.33867141604423523,0.25209224224090576,0.46389055252075195,0.2504015862941742,0.3586423695087433,0.21485252678394318,0.2897229492664337,0.2103249877691269,0.3586423695087433,0.4174870550632477,0.21771858632564545,0.21771061420440674,0.32389625906944275
clinical,0.2278289943933487,0.21575480699539185,0.22265087068080902,0.23057523369789124,0.25644800066947937,0.18173900246620178,0.19836655259132385,0.4141220450401306,0.25644800066947937,0.24038995802402496,0.2146337479352951,0.2030324935913086,0.1678651124238968
pharmacy,0.21638189256191254,0.20299336314201355,0.172938272356987,0.12775468826293945,0.22082467377185822,0.0695628970861435,0.17541885375976562,1.0,0.22082467377185822,0.1938311904668808,0.2404385805130005,0.21714666485786438,0.1355620175600052
has,0.20338068902492523,0.11359935998916626,0.6353569626808167,0.2821793556213379,0.4173259735107422,0.21886256337165833,0.34604379534721375,0.14217540621757507,0.4173259735107422,0.4177538752555847,0.17934498190879822,0.1958659142255783,0.15994466841220856
had,0.23849567770957947,0.09268759936094284,0.6263401508331299,0.3941768705844879,0.385026752948761,0.3147265613079071,0.36692994832992554,0.10730363428592682,0.385026752948761,0.3875846862792969,0.1966206431388855,0.19475843012332916,0.20728366076946259
an,0.2821882665157318,0.19146087765693665,0.22897054255008698,0.21425466239452362,0.2605783939361572,0.17206066846847534,0.3192969560623169,0.14874829351902008,0.2605783939361572,0.4207492768764496,0.15972375869750977,0.2041347622871399,0.19793890416622162
evolving,0.25358203053474426,0.15027672052383423,0.3652750849723816,0.24613648653030396,0.28428325057029724,0.24884970486164093,0.2085733711719513,0.05042453855276108,0.28428325057029724,0.29287317395210266,0.14663147926330566,0.14899328351020813,0.26023080945014954
influence,0.2790174186229706,0.19330990314483643,0.26689037680625916,0.42599913477897644,0.26119694113731384,1.0000001192092896,0.22494085133075714,0.0695628970861435,0.26119694113731384,0.3039984107017517,0.16833382844924927,0.19705571234226227,0.14200882613658905
on,0.34226128458976746,0.14855575561523438,0.36494916677474976,0.23179513216018677,0.46853652596473694,0.22494085133075714,0.9999999403953552,0.17541885375976562,0.46853652596473694,0.5107308030128479,0.2703288793563843,0.2692825198173523,0.2714994251728058
the,0.42745697498321533,0.16397054493427277,0.40389683842658997,0.3188653886318207,0.6662389636039734,0.3039984107017517,0.5107308030128479,0.1938311904668808,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
practice,0.2749895751476288,0.21402029693126678,0.2906533181667328,0.19326436519622803,0.24572531878948212,0.2554445266723633,0.21696773171424866,0.2685104310512543,0.24572531878948212,0.27333036065101624,0.171990767121315,0.1978544443845749,0.21386858820915222
of,0.33290785551071167,0.19633589684963226,0.3802283704280853,0.3371390700340271,0.5696388483047485,0.3608979284763336,0.3966929316520691,0.18226979672908783,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.1826142966747284
pharmacy,0.21638189256191254,0.20299336314201355,0.172938272356987,0.12775468826293945,0.22082467377185822,0.0695628970861435,0.17541885375976562,1.0,0.22082467377185822,0.1938311904668808,0.2404385805130005,0.21714666485786438,0.1355620175600052
.,0.3567904531955719,0.23414810001850128,0.41614407300949097,0.21367591619491577,0.5591574311256409,0.2734014391899109,0.49257001280784607,0.23916830122470856,0.5591574311256409,0.5934505462646484,0.3406063914299011,0.33941102027893066,0.4130953550338745
