,what,was,the,final,score,of,the,game,between,the,broncos,and,steelers,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,1.0,0.285271555185318,0.39067012071609497,1.0,0.25985947251319885,0.5171257257461548,0.24458691477775574,0.22068053483963013
broncos,0.1787765771150589,0.23574475944042206,0.25985947251319885,0.2183726727962494,0.20637564361095428,0.19310332834720612,0.25985947251319885,0.32325026392936707,0.18754306435585022,0.25985947251319885,1.0000001192092896,0.20959050953388214,0.6163044571876526,0.18377114832401276
defeated,0.13652801513671875,0.30834874510765076,0.2833898365497589,0.2983483374118805,0.19660666584968567,0.21236225962638855,0.2833898365497589,0.20683228969573975,0.2388090044260025,0.2833898365497589,0.3003196120262146,0.23550936579704285,0.328355073928833,0.1413237303495407
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,1.0,0.285271555185318,0.39067012071609497,1.0,0.25985947251319885,0.5171257257461548,0.24458691477775574,0.22068053483963013
pittsburgh,0.16984835267066956,0.24069096148014069,0.22728557884693146,0.17133648693561554,0.1927148848772049,0.15459969639778137,0.22728557884693146,0.23751099407672882,0.04461655020713806,0.22728557884693146,0.46763214468955994,0.17732641100883484,0.566253662109375,0.17622371017932892
steelers,0.15158270299434662,0.2266676425933838,0.24458691477775574,0.19025731086730957,0.23879046738147736,0.18995454907417297,0.24458691477775574,0.2665574252605438,0.10071282088756561,0.24458691477775574,0.6163044571876526,0.26277098059654236,1.0,0.2030561864376068
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.25512343645095825,0.13240541517734528,0.5696388483047485,0.6662389636039734,0.23986028134822845,0.41100412607192993,0.6662389636039734,0.20316283404827118,0.4954058527946472,0.16642944514751434,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,1.0,0.285271555185318,0.39067012071609497,1.0,0.25985947251319885,0.5171257257461548,0.24458691477775574,0.22068053483963013
divisional,0.19920207560062408,0.22680401802062988,0.29866886138916016,0.23647022247314453,0.2060089260339737,0.3047286868095398,0.29866886138916016,0.1927962601184845,0.19302970170974731,0.29866886138916016,0.32206958532333374,0.23339633643627167,0.29003608226776123,0.08093056827783585
round,0.19122174382209778,0.11483433097600937,0.19933617115020752,0.3328535258769989,0.24258959293365479,0.15754494071006775,0.19933617115020752,0.24281927943229675,0.12289085239171982,0.19933617115020752,0.2565499246120453,0.23684285581111908,0.2820480763912201,0.17003268003463745
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24864837527275085,0.16025088727474213,0.4946078956127167,0.4933079481124878,0.2653886377811432,0.27714940905570984,0.4933079481124878,0.2558487057685852,0.6633074283599854,0.25601881742477417,0.31091248989105225
23–16,-0.0590292364358902,0.20060203969478607,0.0726022943854332,0.19483084976673126,0.14195455610752106,0.04004323109984398,0.0726022943854332,0.2442157119512558,0.01615992747247219,0.0726022943854332,0.4549325406551361,0.019760794937610626,0.3998437821865082,-0.04613818600773811
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24864837527275085,0.16025088727474213,0.4946078956127167,0.4933079481124878,0.2653886377811432,0.27714940905570984,0.4933079481124878,0.2558487057685852,0.6633074283599854,0.25601881742477417,0.31091248989105225
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.1934421956539154,0.19075021147727966,0.3646814823150635,0.4408751428127289,0.21372540295124054,0.28115302324295044,0.4408751428127289,0.11333504319190979,0.4289871156215668,0.14384756982326508,0.17966607213020325
scoring,0.18682323396205902,0.2038055658340454,0.2582377791404724,0.29587286710739136,0.5737931132316589,0.2550256550312042,0.2582377791404724,0.3741050362586975,0.14118804037570953,0.2582377791404724,0.3381083905696869,0.20668983459472656,0.3541170656681061,0.0971682071685791
11,0.0032819851767271757,0.08354385942220688,-0.0219515822827816,-0.09192678332328796,-0.06529316306114197,-0.022359032183885574,-0.0219515822827816,0.03408600389957428,-0.07620841264724731,-0.0219515822827816,-0.0632704421877861,0.052219830453395844,-0.02910909242928028,-0.04295448586344719
points,0.2184005230665207,0.13673242926597595,0.2560983896255493,0.2894635498523712,0.28972378373146057,0.20397144556045532,0.2560983896255493,0.3296988606452942,0.21257176995277405,0.2560983896255493,0.22998562455177307,0.2753230333328247,0.2903539836406708,0.11006313562393188
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.25512343645095825,0.13240541517734528,0.5696388483047485,0.6662389636039734,0.23986028134822845,0.41100412607192993,0.6662389636039734,0.20316283404827118,0.4954058527946472,0.16642944514751434,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,1.0,0.285271555185318,0.39067012071609497,1.0,0.25985947251319885,0.5171257257461548,0.24458691477775574,0.22068053483963013
final,0.20972409844398499,0.23547481000423431,0.3543182611465454,1.0000001192092896,0.31895413994789124,0.24563951790332794,0.3543182611465454,0.32037389278411865,0.24404267966747284,0.3543182611465454,0.2183726727962494,0.2635152339935303,0.19025731086730957,0.17315025627613068
three,0.24888746440410614,0.2748996615409851,0.43452659249305725,0.26128560304641724,0.18246787786483765,0.3844621181488037,0.43452659249305725,0.24410177767276764,0.3260507881641388,0.43452659249305725,0.23654358088970184,0.3826501965522766,0.25599342584609985,0.20928427577018738
minutes,0.20975765585899353,0.18689095973968506,0.20313966274261475,0.312528520822525,0.2750401794910431,0.14829446375370026,0.20313966274261475,0.260603129863739,0.2311551719903946,0.20313966274261475,0.17653882503509521,0.22819185256958008,0.20103470981121063,0.14419560134410858
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24563951790332794,0.1790168732404709,1.0,0.733189046382904,0.2298848181962967,0.3737983703613281,0.733189046382904,0.19310332834720612,0.5116966962814331,0.18995454907417297,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.3543182611465454,0.2042495757341385,0.733189046382904,1.0,0.285271555185318,0.39067012071609497,1.0,0.25985947251319885,0.5171257257461548,0.24458691477775574,0.22068053483963013
game,0.2246788740158081,0.2568269371986389,0.285271555185318,0.32037389278411865,0.3166070282459259,0.2298848181962967,0.285271555185318,0.9999998807907104,0.16681784391403198,0.285271555185318,0.32325026392936707,0.25192898511886597,0.2665574252605438,0.1829071193933487
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24325628578662872,0.17928162217140198,0.5352458953857422,0.5934505462646484,0.2581658959388733,0.30295518040657043,0.5934505462646484,0.2612393796443939,0.588965117931366,0.2890999913215637,0.4130953550338745
