,approximately,how,many,items,are,in,the,costume,collection,of,the,v,&,a,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.23580949008464813,0.40399202704429626,0.6662389636039734,1.0,0.2800344228744507,0.25281965732574463,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
costume,0.09619281440973282,0.17429088056087494,0.23587077856063843,0.239656001329422,0.1461467295885086,0.2057148814201355,0.2800344228744507,0.9999999403953552,0.2409714162349701,0.25538170337677,0.2800344228744507,0.14166998863220215,0.09632347524166107,0.23574097454547882,0.1820250153541565
collection,0.15115109086036682,0.11592676490545273,0.24966391921043396,0.38827261328697205,0.22862131893634796,0.23004686832427979,0.25281965732574463,0.2409714162349701,0.9999998807907104,0.2915455996990204,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.20069393515586853
is,0.2724578380584717,0.22544461488723755,0.2649032473564148,0.24396629631519318,0.5330929756164551,0.5394441485404968,0.5823672413825989,0.17486228048801422,0.21135231852531433,0.4854315221309662,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.22961433231830597
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.23580949008464813,0.40399202704429626,0.6662389636039734,1.0,0.2800344228744507,0.25281965732574463,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
most,0.27906009554862976,0.311336874961853,0.6236066222190857,0.24060913920402527,0.48698675632476807,0.41416558623313904,0.47635307908058167,0.2112903892993927,0.24239301681518555,0.4178851246833801,0.47635307908058167,0.14128151535987854,0.10219087451696396,0.3508910834789276,0.2107497900724411
comprehensive,0.1698753982782364,0.22440095245838165,0.2004193216562271,0.18451429903507233,0.24974794685840607,0.21318574249744415,0.24314838647842407,0.17048490047454834,0.29934996366500854,0.2892167866230011,0.24314838647842407,0.13318033516407013,0.17649617791175842,0.2721365988254547,0.28184229135513306
in,0.3145860731601715,0.2601168751716614,0.41474202275276184,0.2189844399690628,0.3841303884983063,1.0,0.6662389636039734,0.2057148814201355,0.23004686832427979,0.5696388483047485,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.20430970191955566
britain,0.17122909426689148,0.21808192133903503,0.31913602352142334,0.18306370079517365,0.19201767444610596,0.26246872544288635,0.29784059524536133,0.17913155257701874,0.1765190064907074,0.28899943828582764,0.29784059524536133,0.17508196830749512,0.14032991230487823,0.18575294315814972,0.1268460750579834
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.21073096990585327,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.22592635452747345,0.2277175933122635,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
containing,0.25807344913482666,0.18926005065441132,0.23557426035404205,0.36964863538742065,0.4119071066379547,0.2999787926673889,0.268460214138031,0.005311718676239252,0.31369683146476746,0.3227089047431946,0.268460214138031,0.09784503281116486,0.18217258155345917,0.2822553813457489,0.1655367761850357
over,0.41201671957969666,0.31446483731269836,0.47131630778312683,0.22679616510868073,0.2778770923614502,0.3605569899082184,0.39856547117233276,0.11400189250707626,0.21212655305862427,0.36136594414711,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.25742942094802856
"14,000",-0.1486332267522812,-0.004144410137087107,0.036896202713251114,-0.033813051879405975,-0.0558871328830719,0.07160147279500961,0.08103297650814056,0.13254199922084808,0.028875719755887985,0.10694579780101776,0.08103297650814056,-0.0322645902633667,0.0418524369597435,0.04249909892678261,-0.030015114694833755
outfits,0.15774737298488617,0.24997186660766602,0.23062291741371155,0.4607853889465332,0.20661261677742004,0.13833540678024292,0.224901482462883,0.4775499701499939,0.2790982127189636,0.21461322903633118,0.224901482462883,0.05763677507638931,0.11983978748321533,0.27882611751556396,0.1328054666519165
plus,0.2599433958530426,0.12272078543901443,0.19409812986850739,0.23329675197601318,0.23870092630386353,0.15751990675926208,0.2724461257457733,0.15564730763435364,0.33234769105911255,0.25934526324272156,0.2724461257457733,0.09151295572519302,0.10117106139659882,0.2122514247894287,0.143734410405159
accessories,0.11186094582080841,0.24278703331947327,0.2935023605823517,0.530590832233429,0.2892996072769165,0.13348199427127838,0.1778634786605835,0.3563060164451599,0.3082461655139923,0.1678343564271927,0.1778634786605835,0.12696604430675507,0.1788201630115509,0.18721705675125122,0.1819738894701004
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.21073096990585327,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.22592635452747345,0.2277175933122635,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
mainly,0.3426332473754883,0.29285627603530884,0.5025016665458679,0.22345809638500214,0.40445566177368164,0.353954017162323,0.3790479004383087,0.09333676844835281,0.20353619754314423,0.3325652480125427,0.3790479004383087,0.07376252859830856,0.13148339092731476,0.3235919773578644,0.07608037441968918
