,what,is,stage,1,in,the,life,of,a,bill,?
stage,0.15168409049510956,0.19676770269870758,1.0000001192092896,-0.14677542448043823,0.2011467069387436,0.22652170062065125,0.2743801176548004,0.1389172226190567,0.2036506086587906,0.24478907883167267,0.14916576445102692
1,-0.21266892552375793,-0.12491171807050705,-0.14677542448043823,1.0,-0.10660158097743988,-0.1554475575685501,-0.22231176495552063,-0.09473495930433273,-0.20817746222019196,-0.20772047340869904,-0.249979168176651
is,0.28837618231773376,1.0,0.19676770269870758,-0.12491171807050705,0.5394441485404968,0.5823672413825989,0.2110576033592224,0.4854315221309662,0.658733606338501,0.16088230907917023,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,0.22652170062065125,-0.1554475575685501,0.6662389636039734,1.0,0.23528170585632324,0.733189046382904,0.5829201340675354,0.24155211448669434,0.22068053483963013
first,0.28086137771606445,0.30889374017715454,0.22718806564807892,-0.26829156279563904,0.4127444326877594,0.49448907375335693,0.2095731794834137,0.3536086082458496,0.4287874400615692,0.21115930378437042,0.18701928853988647
",",0.3087472915649414,0.4691906273365021,0.2630990147590637,-0.15742997825145721,0.5201468467712402,0.4933079481124878,0.24050940573215485,0.4946078956127167,0.427140474319458,0.2472437173128128,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.1695668250322342,-0.21893133223056793,0.3586423695087433,0.4174870550632477,0.18162311613559723,0.3792596757411957,0.48853766918182373,0.1616130769252777,0.32389625906944275
introductory,0.21065180003643036,0.15123233199119568,0.12274128198623657,-0.21472732722759247,0.15536656975746155,0.21686407923698425,0.19317255914211273,0.18252691626548767,0.24238717555999756,0.12600861489772797,0.26533904671669006
stage,0.15168409049510956,0.19676770269870758,1.0000001192092896,-0.14677542448043823,0.2011467069387436,0.22652170062065125,0.2743801176548004,0.1389172226190567,0.2036506086587906,0.24478907883167267,0.14916576445102692
of,0.33290785551071167,0.4854315221309662,0.1389172226190567,-0.09473495930433273,0.5696388483047485,0.733189046382904,0.2788603901863098,1.0,0.5052502155303955,0.17127205431461334,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.22652170062065125,-0.1554475575685501,0.6662389636039734,1.0,0.23528170585632324,0.733189046382904,0.5829201340675354,0.24155211448669434,0.22068053483963013
bill,0.16425743699073792,0.16088230907917023,0.24478907883167267,-0.20772047340869904,0.1447519063949585,0.24155211448669434,0.06138730049133301,0.17127205431461334,0.24716360867023468,0.9999999403953552,0.12855131924152374
",",0.3087472915649414,0.4691906273365021,0.2630990147590637,-0.15742997825145721,0.5201468467712402,0.4933079481124878,0.24050940573215485,0.4946078956127167,0.427140474319458,0.2472437173128128,0.31091248989105225
where,0.4457937180995941,0.3586711287498474,0.1781195104122162,-0.12200809270143509,0.5344807505607605,0.5003893971443176,0.19339025020599365,0.38066378235816956,0.40997210144996643,0.07978735119104385,0.24793872237205505
the,0.42745697498321533,0.5823672413825989,0.22652170062065125,-0.1554475575685501,0.6662389636039734,1.0,0.23528170585632324,0.733189046382904,0.5829201340675354,0.24155211448669434,0.22068053483963013
minister,0.1705908179283142,0.15245889127254486,0.13419800996780396,-0.14866089820861816,0.19794908165931702,0.19297581911087036,0.10251561552286148,0.23343199491500854,0.1532600224018097,0.15441226959228516,0.10825661569833755
or,0.33867141604423523,0.41870999336242676,0.1695668250322342,-0.21893133223056793,0.3586423695087433,0.4174870550632477,0.18162311613559723,0.3792596757411957,0.48853766918182373,0.1616130769252777,0.32389625906944275
