,what,year,is,the,earliest,traces,of,the,color,crimson,at,harvard,?
the,0.42745697498321533,0.3609684407711029,0.5823672413825989,1.0,0.32825469970703125,0.281084805727005,0.733189046382904,1.0,0.21895472705364227,0.2852988541126251,0.457212895154953,0.24496200680732727,0.22068053483963013
color,0.2746529281139374,0.18704853951931,0.1656665951013565,0.21895472705364227,0.15718355774879456,0.22407929599285126,0.1876296103000641,0.21895472705364227,1.0,0.3956206142902374,0.16838783025741577,0.13708819448947906,0.21299609541893005
was,0.22111038863658905,0.3209837079048157,0.5810302495956421,0.48711544275283813,0.25501716136932373,0.20631249248981476,0.4069072902202606,0.48711544275283813,0.15961390733718872,0.16099616885185242,0.36707764863967896,0.2415156066417694,0.18412111699581146
unofficially,0.09324505925178528,0.15176711976528168,0.2801767587661743,0.3133772015571594,0.2001703530550003,0.08571580052375793,0.2390279769897461,0.3133772015571594,0.11055395752191544,0.16579027473926544,0.1927558332681656,0.11533891409635544,0.12564489245414734
adopted,0.1504661738872528,0.1990516185760498,0.1905336230993271,0.23462533950805664,0.21791893243789673,0.14862681925296783,0.25312307476997375,0.23462533950805664,0.11096284538507462,0.14232580363750458,0.10609892010688782,0.15536586940288544,0.14235380291938782
(,0.2411840260028839,0.2556702494621277,0.35393038392066956,0.33289089798927307,0.1286110132932663,0.1805899292230606,0.35032153129577637,0.33289089798927307,0.2203475683927536,0.20949357748031616,0.23315078020095825,0.2132066786289215,0.40561532974243164
in,0.30808621644973755,0.3359307050704956,0.5394441485404968,0.6662389636039734,0.3064194619655609,0.2099975049495697,0.5696388483047485,0.6662389636039734,0.10136925429105759,0.16905781626701355,0.4374977946281433,0.26072487235069275,0.20430970191955566
preference,0.3243120610713959,0.17898014187812805,0.20406411588191986,0.22293631732463837,0.1408892273902893,0.10948227345943451,0.17362302541732788,0.22293631732463837,0.2810683846473694,0.1997314840555191,0.2111537605524063,0.23945161700248718,0.35998260974884033
to,0.455847829580307,0.23523004353046417,0.42745086550712585,0.535392165184021,0.20613901317119598,0.2246864140033722,0.41548454761505127,0.535392165184021,0.2497486025094986,0.13994018733501434,0.36524343490600586,0.2043667882680893,0.29463258385658264
magenta,0.15628714859485626,0.16933804750442505,0.2128962129354477,0.20994964241981506,0.10182778537273407,0.2016422599554062,0.1748281866312027,0.20994964241981506,0.4792982041835785,0.3705630898475647,0.16933394968509674,0.16704730689525604,0.14678855240345
),0.26259949803352356,0.24282371997833252,0.37732169032096863,0.3456730246543884,0.15125347673892975,0.1795898824930191,0.3680361211299896,0.3456730246543884,0.219363734126091,0.21905642747879028,0.23338089883327484,0.226204052567482,0.42300865054130554
